source,target
ꢡꢸꢡ꣄ꢡꢥꢵꢔ꣄,துத்தநாக்3
ꢥꢵꢔ꣄,நாக்3
ꢭꢷꢡꢸ,லீது
ꢒꢱꣁ,கஸொ
ꢬꢸꢦ꣄ꢦꣁ,ருப்பொ
ꢒꣂꢜ꣄,கோட்
ꢒꢶꢡ꣄ꢒ,கித்க
ꢒꢶꢡ꣄ꢒꢫꣁ,கித்கயொ
ꢒꣂꢥ꣄,கோன்
ꢒꢶꢱꣁ,கிஸொ
ꢒꣂꢥꢒ꣄,கோனக்
ꢒꢶꢱꢵꢫꣁ,கிஸாயொகிஸாயெ
ꢒꢶꢱꢵꢫꢾ,கிஸாயொகிஸாயெ
ꢓꣁꢨ꣄ꢨꣁ,கொ2ப்3பொ3
ꢒꣁꢥ꣄ ꢣꢶꢥ꣄ꢥꢸ,கோன் தி3ன்னு
ꢒꢵꢫ꣄,காய்
ꢒꢵꢫꣁ,காயொ
ꢒꣂꢥꢾ,கோனெ
ꢒꣂꢥ꣄ꢫꢾ,கோன்யெ
ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄,அங்கீ3கார்
ꢂꢗ꣄ꢗꢸ,அச்சு
ꢜꢖ꣄ꢒꢸ,டங்கு
ꢦꢡ꣄ꢬꢮꢵꢲꢶꢥꢶ,பத்ரவாஹினி
ꢦꢡ꣄ꢬꢮꢵꢲꢒꣁ,பத்ரவாஹகொ
ꢦꢡ꣄ꢬꢮꢵꢲꣁ,பத்ரவாஹொ
ꢭꢿꢓꢸꢮꢵꢥ꣄,லேகு2வான்
ꢦꢡ꣄ꢬꢮꢵꢲ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,பத்ரவாஹ கார்யாலயொ
ꢒꣂꢰ꣄ꢜꢸ,கோஷ்டு
ꢆꢞ꣄ꢔꢞ꣄ꢠꢶ,உட்3க3ட்3ணி
ꢣꢪꢥꣁ,த3மனொ
ꢒꢸꢣꣁ,குதொ3
ꢓꢵꢭ꣄ꢣꢳ꣄ ꢓꢵꢭ꣄ꢣꢾꢳꢪ꣄,கா2ல்த3ள்
ꢃꢤꢵꢬꢸ ꢨꢵꢡ꣄ꢫꢡꣁ,ஆதா4ரு பா3த்யதொ
ꢱ꣄ꢬꢿꢠꢶꢗꢵꢭ꣄,ஸ்ரேணிசால்
ꢂꢡ꣄ꢒꢫꢵꢬ꣄,அத்க்யார்
ꢂꢡ꣄ꢒ꣄ꢫꢵꢬꢶ,அத்க்யாரி
ꢪꢥ꣄ꢡ꣄ꢬꢶ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,மந்த்ரிகார்யாலயொ
ꢪꢥ꣄ꢡ꣄ꢬꢶ,மந்த்ரி
ꢂꢪꢵꢡ꣄ꢫꣁ,அமாத்யொ
ꢪꢥ꣄ꢡ꣄ꢬꢶꢱꢨꣁ,மந்த்ரிஸபொ3
ꢯꢵꢥ꣄ꢡꢶ,ஶாந்தி
ꢱꢖ꣄ꢕꢜꢶꢒꣁ,ஸங்க4டிகொ
ꢱꢛ꣄ꢗꢭꢥꢒꢵꢬꣁ,ஸஞ்சலனகாரொ
ꢮꢶꢣꢿꢱ꣄,விதே3ஸ்
ꢩꢬꢳꢡꢿꢱ꣄,ப4ரளதே3ஸ்
ꢬꢙꣁ,ரஜொ
ꢬꢵꢜ꣄,ராட்
ꢩꢹꢦꣁ,பூ4பொ
ꢩꢹꢦꢡꢶ,பூ4பதி
ꢬꢠꢶ,ரணி
ꢬꢵꢜꢳꢶ,ராடளி
ꢱꢪ꣄ꢱ꣄ꢢꢵꢦꢥꣁ,ஸம்ஸ்தா2பனொ
ꢱꢪ꣄ꢮꢶꢤꢵ,ஸம்விதா4
ꢬꢵꢙꢥꢷꢡꢶꢮꢵꢥ꣄,ராஜநீதிவான்
ꢱꢬ꣄ꢒꢵꢬ꣄,ஸர்கார்
ꢬꢵꢙꢵꢖ꣄ꢔꢸ,ராஜாங்கு3
ꢬꢵꢙ꣄ꢩꢮꢥ꣄,ராஜ்ப4வன்
ꢬꢮꢸꢳ꣄,ரவுள்
ꢦ꣄ꢬꢵꢱꢵꢣꣁ,ப்ராஸாதொ3
ꢍꢒꢒ꣄,ஏகக்
ꢄꢒꢵꢫ꣄,இகாய்
ꢭꢵꢜ꣄,லாட்
ꢒꢵꢬ꣄ꢫꢵꢭꢫ ꢩꢰꣁ,கார்யாலய பா4ஷொ
ꢂꢡ꣄ꢒꢵꢬꢶ,அத்காரி
ꢂꢮ꣄ꢱꢬꢸ ꢱꢵꢱꢥꣁ,அவ்ஸரு ஸாஸனொ
ꢃꢦꢡ꣄ꢒꢵꢭꢸ ꢱꢵꢱꢥꣁ,ஆபத்காலு ஸாஸனொ
ꢂꢮ꣄ꢱꢬ꣄ꢱ꣄ꢢꢶꢡꢶ,அவ்ஸர் ஸ்தி2தி
ꢨꣁꢮ꣄ꢥꢶꢕꢵꢜ꣄,பொ3வ்நி கா4ட்
ꢦꢬꢶꢪꢵꢠ꣄,பரிமாண்
ꢦ꣄ꢬꢒꢜꢥꣁ,ப்ரகடனொ
ꢃꢮꢿꢣꢥꣁ,ஆவேத3னொ
ꢮꢶꢰꢫꢒꢳꢞ꣄ꢠꢶ,விஷயகளட்3ணி
ꢦ꣄ꢬꢒꢞ꣄ꢠꢵꢬ꣄,ப்ரகட்3ணார்
ꢦ꣄ꢬꢒꢞꢠꣁꢒꢾꢬ꣄ꢥꢵꢬ꣄,ப்ரகட3ணொ கெர்னார்
ꢮꢶꢰꢫꢸ ꢒꢳꢞ꣄ꢥꢵꢬ꣄,விஷயு களட்3னார்
ꢱꢹꢗꢥꢵ ꢦꣁꢭ꣄ꢒꣁ,ஸூசனாபொல்கொ
ꢂꢥꢸꢪꢡ꣄,அனுமத்
ꢂꢥꢸꢪꢡ꣄ ꢱꢹꢗꢶ,அனுமத்ஸூசி
ꢂꢥꢸꢩꢮ꣄,அனுப4வ்
ꢒꢨ꣄ꢙꣁ,கப்3ஜொ
ꢃꢒ꣄ꢬꢪꢠꣁ,ஆக்ரமணொ
ꢱꢵꢱꢥꣁ,ஸாஸனொ
ꢱꣃꢱꢱ꣄ꢡꢾ,ஸௌஸஸ்தே
ꢱꣃꢱꢶꢥꢶ,ஸௌஸினி
ꢬꢵꢙ꣄ꢫ ꢩꢰꣁ,ராஜ்யபா4ஷொ
ꢃꢙ꣄ꢛꢾ,ஆஜ்ஞொ
ꢥꢶꢫꣂꢔꣁ,நியோகொ3
ꢃꢫꣂꢔ꣄,ஆயோக்3
ꢥꢶꢫꣂꢔꢶ,நியோகி3
ꢃꢫꣂꢒꢶ,ஆயோகி3
ꢂꢣ꣄ꢭꢥ꣄,அத்3லன்
ꢂꢣ꣄ꢥꢶ,அத்3னி
ꢭꢵꢨ꣄,லாப்3
ꢂꢣꢵꢮ꣄,அதா3வ்
ꢦ꣄ꢬꢩꢸꢡ꣄ꢮꣁ,ப்ரபு4த்வொ
ꢂꢬ꣄ꢒ꣄ꢫꢵꢬ꣄,அர்க்யார்
ꢃꢤꢶꢦꢡ꣄ꢫꣁ,ஆதி4பத்யொ
ꢆꢡ꣄ꢦꢵꢣꢥꢱꢸꢭ꣄ꢒꣁ,உத்பாத3னஸுல்கொ
ꢱꢸꢭ꣄ꢒꣁ,ஸுல்கொ
ꢒꢬꣁ,கரொ
ꢃꢫꢸꢱ꣄ꢣꢠ꣄ꢞꢥꣁ,ஆயுஸ்த3ண்ட3னொ
ꢆꢡ꣄ꢱꢵꢲ꣄,உத்ஸாஹ்
ꢒꢮ꣄ꢡꢸꢒꣁ,கவ்துகொ
ꢃꢭꣂꢱꢥꣁ,ஆலோஸனொ
ꢂꢩꢶꢦ꣄ꢬꢵꢫꢸ,அபி4ப்ராயு
ꢭꢶꢓꢾꢦꢡ꣄ꢡꢬ꣄,லிகெ2பத்தர்
ꢭꢿꢓ ꢦ꣄ꢬꢪꢵꢠꣁ,லேக2 ப்ரமாணொ
ꢱꢵꢱꢥꢦꢒ꣄ꢰꣁ,ஸாஸனபக்ஷொ
ꢬꢵꢙ꣄ꢦꢵꢭ꣄,ராஜ்பால்
ꢬꢵꢙ꣄ꢦꢵꢭꢥꣁ,ராஜபாலனொ
ꢏꢦ꣄ꢦꢶꢭꢶꢥꢶ,ஒப்பிலினி
ꢱꢪ꣄ꢪꢡ꣄,ஸம்மத்
ꢒꢨꢥ꣄ꢣꢸꢱꢬ꣄ꢒꢵꢬ꣄,கப3ந்து3ஸர்கார்
ꢂꢥ꣄ꢡꢬ꣄ꢥꢶꢰꢾꢤ꣄,அந்தர்நிஷேத்4
ꢪꢴꢣ꣄ꢣꢶꢪꢸ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,ம:த்3தி3மு ஹிப்3ப3ட்3ணி
ꢣꢾꢬ꣄ꢒꢭꢶ,தெர்களி
ꢪꢴꢣ꣄ꢫꢮꢬ꣄ꢡꢶ,ம:த்3யவர்தி
ꢂꢮ꣄ꢞꢒꢵꢭꢸ ꢗꢸꢥꢵꢮ꣄,அவ்ட3காலுசுனாவ்
ꢪꢴꢣ꣄ꢣꢶꢪ꣄ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,ம:த்3தி3ம் ஹிப்3ப3ட்3ணி
ꢂꢮꢭꢪ꣄ꢨ꣄ꢥꣁ,அவலம்ப3னொ
ꢡꢡ꣄ꢒꢵꢭꢸ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,தத்காலு ஹிப்3ப3ட்3ணி
ꢌꢠ꣄ꢔꢶꢥꢶ,எண்கி3னி
ꢂꢥꢸꢬꢹꢦꢡꣁ,அனுரூபதொ
ꢱꢲ ꢪꢥ꣄ꢡꢶꢬꢶ,ஸஹ மந்திரி
ꢱꢾꢬ꣄ꢗꢥ꣄ꢩꢵꢰꣁ,செர்சன்பா4ஷொ
ꢱꢥ꣄ꢣꢶ ꢩꢵꢰꣁ,ஸந்தி3 பா4ஷொ
ꢱꢪ꣄ꢫꢸꢒ꣄ꢡ ꢱꢖ꣄ꢕꣁ,ஸம்யுக்த ஸங்கொ4
ꢱꢛ꣄ꢙꢶꢒꢾ,ஸஞ்ஜிகொ
ꢩꢵꢬꢡꢥꢶꢬ꣄ꢮꢵꢲꢸꢱꢿꢮꣁ,பா4ரதநிர்வாஹுஸேவொ
ꢩꢵꢬꢡ ꢂꢦꢬꢵꢤꢸ ꢱꢵꢱꢥꣁ,பா4ரதஅபராது4 ஸாஸனொ
ꢃꢥ꣄ꢣꣂꢭ꣄,ஆந்தோ3ல்
ꢒꢵꢬ꣄ꢫꢵꢭꢫ ꢱꢖ꣄ꢔꢪꣁ,கார்யாலய ஸங்க3மொ
ꢥꢶꢬ꣄ꢮꢵꢲꢶ,நிர்வாஹி
ꢥꢶꢬ꣄ꢣꢿꢱꢒ꣄,நிர்தே3ஸக்
ꢂꢤ꣄ꢫꢒ꣄ꢰꣁ,அத்4யக்ஷொ
ꢂꢣ꣄ꢫꢵꢫ꣄,அத்3யாய்
ꢗꢬ꣄ꢒꢵ,சர்கா
ꢆꢬꢵꢮ꣄ꢱꣁꢬꢵꢮ꣄,உராவ்ஸொராவ்
ꢭꢒ꣄ꢰꢫꣁ,லக்ஷ்யொ
ꢪꢸꢣ꣄ꢬꣁ,முத்3ரொ
ꢮꢶꢩꢵꢒ,விபா4க்3
ꢫꢸꢮꢬꢵꢜ꣄,யுவராட்
ꢫꢸꢮꢬꢵꢠꢶ,யுவராணி
ꢫꢸꢮꢬꢵꢙ꣄ꢛꢶ,யுவராஜ்ஞி
ꢲꢸꢡ꣄ꢡꢸꢬꢵꢮ꣄,ஹுத்துராவ்
ꢲꢸꢡ꣄ꢡꢸꢬꢵꢜ꣄,ஹுத்துராட்
ꢦ꣄ꢬꢡꢶ ꢧꣁꢳ꣄꣄,ப்ரதிபோ2ள்
ꢆꢖ꣄ꢙꢪꢶꢡꢶ,உஞ்சமிதி
ꢆꢳ꣄ꢳꢸ,உள்ளு
ꢱꢲꢗꢵꢬ꣄,ஸஹசார்
ꢱꢥ꣄ꢤꢶ,ஸந்தி4
ꢦꢬꢱ꣄ꢦꢬ ꢱꢪ꣄ꢪꢥ꣄ꢣꣁ,பரஸ்பர ஸம்மந்தொ3
ꢦꢬꢱ꣄ꢦꢬ ꢏꢱ꣄ꢡꢦꢥ꣄,பரஸ்பர ஒஸ்தபன்
ꢃꢲꢵꢬꢸ ꢮꢶꢩꢵꢔ꣄,ஆஹாரு விபா4க்3
ꢓꢥꢶ ꢮꢶꢩꢵꢔ꣄,க2னி விபா4க்3
ꢆꢡ꣄ꢡꢬꢮꢵꢣ꣄,உத்தரவாத்3
ꢃꢒ꣄ꢒꢸꢣꣁ,ஆக்குதொ
ꢱꢲꢒꢵꢬ꣄,ஸஹகார்
ꢱꢲꢵꢮ꣄,ஸஹாவ்
ꢆꢦ ꢪꢥ꣄ꢡꢶꢬꢶ,உப மந்திரி
ꢆꢦ ꢣꢹꢡ ꢥꢶꢮꢵꢱ꣄,உப தூ4தநிவாஸ்
ꢮꢿꢡꢥꣁ,வேதனொ
ꢆꢦꢶꢬ꣄,உபிர்
ꢮꢿꢥ꣄,வேன்
ꢂꢣ꣄ꢣꢶ,அத்3தி3
ꢂꢡꢶꢬꢶꢒ꣄ꢡ,அதிரிக்த
ꢄꢗ꣄ꢗꢵ ꢦꢡ꣄ꢡꢬ꣄,இச்சா பத்தர்
ꢂꢥꢸꢒ꣄ꢛꢵ ꢦꢸꢡ꣄ꢬꣁ,அனுக்ஞாபத்ரொ
ꢨꢵꢣ꣄ꢫꣁ,பா3த்3யொ
ꢨꢞ꣄ꢫꢮꢵꢥ꣄,பா3த்3யவான்
ꢙꢸꢥꢡ꣄ꢮꢵꢥ꣄,ஜுனத்வான்
ꢓꢿꢡꢶ,கே2தி
