o'ydapan,treatment
ho'gat,medicine
nhurunu huri,nursery school
vidyaarti,student
vidyaarttini,student
phailavargu,first class
pradhaano'ddi,principal
phailashreni,first rank
mai,ink
bhaasho',language
bhaashaa reeti,language style
bhaashaa marchini,translation
anuvaad,translation
bhaasaantar,translation
tarjamo',translation
bhaashaavignjaan,linguistics
varku,classroom
charitru,history
shabdu ha,word
vagnjaan,science
vagnjaani,scientist
sho'd'ni,leave
shod'u,leave
so'd'vaar,holiday
javaab,answer
vivaat,debate
prashno',question
pusini,question
prashna patro',question paper
ko'mmaa abhyaas,home work
je'lmin,aluminium
lho'gan,iron
ke'stul,lead
lohu,metal
panchalohu,"an alloy of iron, gold, silver, brass and copper"
addam,glass
hapaan,glass
davno',glass
mukro',glass
gaantam,magnet
tambe',copper
tamburam,copper
tal,tin
te'kat',tin
so'nno',gold
so'rnu,gold
apranji,gold
tuttanaag,zinc
naag,zinc
leetu,brass
kaso',bronze
ruppo',silver
kot',where
kitka,how many
kitkayo',how manieth
kon,how manieth
kiso',how
konak,how
kisaayo',what type of
kisaaye',what type of
kho'bbo',when
kiso',what way
ko'n dinnu,which day
kaay,what
kaayo',what
kone',what
konye',what
angeekaar,recognition
achchu,axis
t'anku,axis
patravaahini,post
patravaahako',postman
patravaaho',postman
lekhuvaan,postman
patravaaha kaaryaalayo',post office
kosht'u,"table, schedule"
ud'gad'ni,oppression
damano',oppression
kudo',pawn
kudo',mortgage
khaaldal' khaalde'l'am,basement
aadhaaru baatyato',fundamental right
srenichaal,parade
atkayaar,"power, authority"
atkyaari,officer
mantri kaaryaalayo',ministry
mantri,minister
amaatyo',minister
mantrisabo',cabinet
shaanti,peace
sanghat'iko',organizer
sanchalanakaaro',organizer
vides,foreign country
bharal'ates,foreign country
rajo',king
raat',king
bhoopo',king
bhoopati,king
rani,queen
raat'al'i,queen
samsthaapano',constitution
samvidhaa,constitution
raajaneetivaan,politician
sarkaar,government
raajaangu,government
raajbhavan,government house
ravul',palace
praasaado',palace
ekak,unit
ikaay,unit
laat',wave
kaaryaalaya bhasho',official language
atkaari,officer
avsaru saasano',emergency rule
aapatkaalu saasano',emergency rule
avsarsthiti,emergency
bo'vnighaat',calling bell
parimaan,size
prakat'ano',report
aavedano',report
vishayakal'ad'ni,report
prakad'naar,announcer
prakad'ano'ke'rnaar,announcer
vishayu kal'ad'naar,announcer
soochano',"notice, announcement"
soochanaa po'lko',notice board
anumat,permission
anumat soochi,permit
anubhav,experi ence
kabjo',encroachment
aakramano',encroachment
saasano',rule
sausaste',rule
sausini,rule
raajya bhasho',administrative language
aajnye',order
niyogo',commission
aayog,commission
niyogi,commissioner
aayoki,commissioner
adlan,support
adni,support
laab,profit
adaav,profit
prabhutvo',domination
arkyaar,domination
aadhipatyo',domination
utpaadanasulko',excise duty
sulko',tax
karo',tax
aayusdand'ano',life imprisonment
utsaah,zeal
kavtuko',zeal
aalosano',suggestion
abhipraayu,suggestion
likhe'pattar,record/document
lekha pramaano',record/document
saasanapaksho',ruling party
raajpaal,governor
raajpaalano',governance
o'ppilini,"consent, accord"
sammat,"consent, accord"
kabandusarkaar,interim government
antarnishe'dh,interim stay
mhaddimu hibbad'ni,interim stay
de'rkali,"middle man, broker"
mhadyavarti,"middle man, broker"
avd'akaalu chunaav,mid-term pole
mhaddim hibbad'ni,suspension/interruption
avalambno',suspension/interruption
tatkaalu hibbad'ni,suspension/interruption
e'ngini,accordance
anuroopato',accordance
saha mantiri,minister for state
se'rchanbhaasho',link language
sandi bhaasho',link language
samyukta sangho',federation
sanjike',issue
bhaaratanirvaahusevo',Indian Admini strative Service
bhaarata aparaadhu saasano',Indian Penal Code-IPC
aandol,movement
kaaryaalaya sangamo',directorate
nirvaahi,director
nirdesak,director
adhyaksho',director
adyaay,chapter
charkaa,charkha
uraavso'raav,"stock, balance"
lakshayo',target
mudro',"stamp, seal"
vibhaaka,department
yuvaraat',prince
yuvaraani,princess
yuvaraajnyi,princess
hutturaav,import
hutturaat',import
prati pho'l',compensation
ungjamiti,ceiling
ul'l'u,abetment
sahachaar,"agreement, treaty, pact"
sandhi,"agreement, treaty, pact"
paraspara sammando',co - relation
paraspara o'stapan,co - relation
aahaaru vibhaag,food department
khani vibhaag,food department
uttaravaad,guarantee
aakkudo',order
sahakaar,aid
sahaav,aid
upa mantiri,assistant minister
upa doota nivaas,consulate
vetano',stipend
upir,surplus
ven,surplus
addi,surplus
atirikta,surplus
ichchaa pattar,will
anuknjaa putro',licence
baadyo',right
bad'yavaan,"owner, proprietor"
junatvaan,farmer
kheti,farmer
graha vibhaag,home department
vishaya suchiko',content
antar raajji,local ad ministration
niveshyo',input
utpad,production
utpaadano',production
dhid'avaak,oath
angasthu,member
so'mbul'o',"salary, emo luments"
ve'tano',"salary, emo luments"
vaahano',vehicle
jaanvaas,procession
sobhaayaatro',procession
o'raat,procession
chut't'u,procession
giraamyo',rural
gaamanchan,curfew
sanchaaru nashedhano',curfew
panangchaayat raajji,panchayat
pangchaayatagher,panchayat union
brasht'aachaar,corruption
malinaachaar,corruption
sevo',service
sevako',servant
sevo' ke'rnaar,servant
sankhyaapo'lko',number plate
vibhakshu,opposition party
toksani,expectation
prateeksho',expectation
pratidhvani,echo
pratichaayaa,reflection
prati bimbu,reflection
ekaadhipati,autocrat
svechchaachaari,autocrat
e'lge',border
addu,border
seemo',border
seemaa te'guraal,border dispute
addu te'guraal,border dispute
lipiko',clerk
gumasto',clerk
che'duvu nyaan,literacy
lekhanasaamagri,stationary
lekhavastu,stationary
e'jamaan,master
mo'dral'i,master
svechchaachaar,autocracy
ekaadhipati,autocrat/ dictator
sarvaatikaari,autocrat/ dictator
anukramo',arrangement
sveekaar,acceptance
angeekaar,acceptance
o'ppilni,acceptance
ungcha khaal,fluctuation
hingaav,export
niryaat,export
hingaat',export
aikya raasht'ra samstaan,United Nations Organisation
aikya agrani,United Front
do'ppaa tho'vni,adjournment
sahakaar,co-operation
sahayog,co-operation
vibhaajano',allotment
paravaso' ke'rni,handover
o'ppanda soochano',tender
o'ppandam,contract
haatu akshar,signature
sveekarni,acknowledge ment
praapti sangini,acknowledge ment
letani,surrender
aikya bhaavano',integration
niyamo',regulation
dho'nine'rpini,broad casting
dho'ni prasaar,broad casting
roopu ne'rpini,telecasting
roopu prasaar,telecasting
lugjaani,spy
guptachaari,spy
gupto',spy
gud'aachaari,spy
kudvo',mortgage
changam,union
vaak,vote
matadaan,vote
vaagdaan,vote
vaak baatyo',franchise
visraanti,retiring
virati,retiring
kakshi,party
sulkam,fare
daro',fare
mol,fare
ke't't'o',bundle
niyamo',con trol
jala seno',naval force
reen,debt
reenubhaar,liabilities
se'vkan,peon
gavunji gavunjunaar,supervision
nireeshano',supervision
lhe'kakait,accountant
lhe'kko' he'd'ni,enumeration
ganano',enumeration
ganini,computer
heesunel,computer
lhe'kkani,computer
bandhu,"bandh, lock-out"
abhipraaya,"opinion, idea"
ooho',assumption
oohano',assumption
lhe'kkaav,calculator
po'kkisham,treasury
vittakosh,treasury
vidyaa mantri,education minister
vidyaa vibhaag,education department
misrano',adulteration
mista jaat,"cross-breed, hybrid"
udaaseen,negligence
upe'ksho',negligence
sabho',association
samsthaan,association
bhid'ni,discount
dhaatu,ore
khajaano',treasury
hannavu patatr,cheque
rashanakarni,insulation
rashana bharti,insurance
musini,termina tion
po'lisnireeksako',police inspector
thaanaa nirikshako',police inspector
rhakkait,watchman
rhakkuvaan,watchman
thaanaavibhaak,police department
thanaytu,policeman
kid'd'anki,godown
nhanapo'rse',hamlet
nhangaam,hamlet
nhan po't'kyaat',hamlet
gana tantru,"republic, democracy"
gana raajyu,"republic, democracy"
prajaa prabhutvo',"republic, democracy"
janaatipati,president of the country
prajaa baatyu,citizenship
naagarikato',citizenship
kut'umba nirot,family planning
kut'umba kshema vibhaag,family welfare department
o'tti,lease
gumsto',clerk
gumpu,group
aparaadh,accusation
chhukghalni,accusation
aparaadh,"default, fault"
chinhun,signs
gurtun,signs
sintusankhyo',index number
sinhu,"index, code"
gurtu,"index, code"
unna po'd'e'yo',minimum
unna pakshu,minimum
paksha aikyato',front
moogo',crowd
gumpumil'ni,crowd
mil'ni,crowd
magini,demand
khelu kriyo',entertainment
manoranjan,entertainment
haatu mago',handloom
bhandi,prisoner
tush prayog,misappropriation
reenubandi,bonded labour
dho'j,flag
dho'ja sthambu,flag post
lakshyu,policy
dhyeyu,policy
vibhaag,division
durug,fort
niyamo',policy
siddaantu,policy
kon,angle
ko'no',angle
drusht'ikon,angle
po'mat',file
makini,"demand, requisition"
ko'ri,"demand, requisition"
vargu,group
gosht'i,group
chakravartti,emperor
bhai-bhe'ynanupan,brotherhood
sangam,association
sangho',association
sat't'asabho',legisla tive assembly
vidhaan saudho',legisla tive assembly
vidhaanu saudho',legisla tive assembly
vidhaan sabho',legisla tive assembly
saasanamarchini,amendment
saasana tidtuval'ii,amendment
saasana soodhaar,amendment
saasano',"act, law"
vidhaan,"act, law"
sat't'asbho',le gislative assembly
satyaagraho',"satyagraha, protest"
se'ttar,choultry
sati,conspiracy
sabhaanaayako',assembly speaker
so'mpul'aa che't'ni,pay raise
so'mbul'o',salary
pagaar,salary
samaanupan,equality
saamaadaan,peace
samudaay,society
samoohu,society
sarvaadhikaar,dictatorship
sarvaadhikaari,dictator
ramaarami,average
se'lke',concession
sahaavu,concession
saadhano',achievement
upalabdhi,achievement
labinchini,achievement
samsyo',problem
prasno',problem
unnaves,"economy, thrift"
so't't'u,"economy, thrift"
vikaar,decay
nasinam,decay
sitil,decay
subarchi,recommendation
simhaasano',throne
simhoo aasano',throne
alpa sankhayo',minority
nhanna daavo',petty case
kaaraagra_u,"jail, prison"
je'yil,"jail, prison"
mudro',symbol
chinhu,symbol
vaakkucheet',ballot
sukarni,reformation
sudhaar,reformation
samaroopa vastar,uniform
sulkam,excise duty
sulko',excise duty
sutandaru,freedom
dushprayo'k,exploitation
sankshe'pu,abridgement
bheetur de'vsini,wall-poster
chut't'ur kal'ad'ni,circular
paripattar,circular
maraamattu,repair
sudharano',repair
chamskarano',repair
soochana vibhaag,information department
samaachchaaru vibhaag,information department
sachivaalayo',secretariate
kaaryadarsi,secretary
brabhaav,influence
vesun,items of expenditure
vesa,expenditure
de't't'u,intensity
kshati,damage
setaaram,spoilage
uraava,savings
senaadhipati,army chief
saykano',signal
samijnyu,signal
so'ttu,assets
vivaat,dispute
te'guraal,dispute
yogyato',"qualification, eligibility"
laagito',"qualification, eligibility"
t'ankanakarto',typist
maargu,route
aad'd'amun,obstacles
ad'd'in,obstacles
baadhaan,obstacles
dand'ano',"fine, penalty"
dand'ano',punishment
se'rkarani,audit
le'khko',audit
lhe'kkaa nireekshano',audit
lhe'kkaa sodhano',audit
te'raku hannav,brokerage
pakashavaanun,parties
sreni,"grade, standard"
unnati,"grade, standard"
virtaa bhunyi,wasteland
nista bhui~,wasteland
dal'apal'o',land army
dal'a se'no',land army
pada seno',land army
raajadhaani,capital city
agraasanupan,leadership
agraasano',leadership
agraasanaadhipati,"leader, president"
ribe't',"discount, rebate"
do'pbide'ni,"discount, rebate"
unna ke'rni,"discount, rebate"
upakarano',equipment
svaya ad'hikaar,autonomy
svachalni,automation
o'nt'iyaal',individual
o'nt'avyakti,individual
maar,attack
maatru bhaasho',mother tongue
yojanaa aayog,planning commission
yojano',plan
tinchini,imposition
adhiropano',imposition
divaal,insolvent
dhivaan,diwan
ugravaati,extremist
tirmaan,resolution
nirnayo',resolution
teervo',duty
uparaasht'rapati,vice-president
upavithi,by-law
nirmalikarano',sanitation
suddhi paalano',sanitation
taaru re'm,harbour
naavure'm,harbour
navkaa rem,harbour
dutanivaas,embassy
dooto',messenger
parisuddhi,cleanliness
nil'chini,stagnation
de'sabhakto',patriot
desabhakti,patriotism
raasht'ru,nation
de'su,nation
raasht'rajhand'aav,National Flag
raasht'ragaanam,National Anthem
de'sugeet,National Anthem
raasht'rabhaasho',National Language
chunaav,election
nirvaachan,election
paje'nto',need
nirvaachanu bhaag,constituency
sankalanako',compiler
vyaasikarto',compiler
sankalano',compilation
vyaas,compilation
ro'kkam,amount
dhanaraashi,amount
se'vkan,volunteer
doora likhni,telegram
kaaryo',labour
kaam,labour
kaaryavaan,labourer
kaamke'rto',labourer
kaaryastho',labourer
kaamu po't't'e't',industrial estate
kaaryaghano',industrial estate
udde's,approximation
saameepyato',approximation
unna upir,approximation
singait,comrade
se'ngati,comrade
sahavaasi,comrade
se'ngavi,comrade
nagarasabho',municipality
graama sangho',municipality
nagara paaliko',municipality
chaalchalan,movement
kriyaakramo',action
madhya sarkaar,Central Government
ulaasuvaat',pavement
chalanvaat',pavement
ne'sht'i nivaarano',compensation
naagreeg,civilization
samskruti,civilization
dinnu so'mbul'o',daily wage
graamyajaat,local race
sthaleeyajaat,local race
raasht'ra jhand'av,National Flag
de'su jhand'aav,National Flag
raasht'rageet',National Anthem
de'sugeet',National Anthem
raasht'ra bhakti,patriotism
de'subhakti,patriotism
naagareekato',citizenship / nationality
de'siyato',citizenship / nationality
lok sabho',parliament
raasht'ru,country
de's,country
kaarya chaalano',event
vaibhav,event
kaaryakramo',"agenda, programme"
hannavu,fund
nighi,fund
niti vibhaaga,finance department
nipandano',condition
nirvaah,administration
kramo',series/sequence
nirupano',proof
pramaan,proof
rooju,proof
sreni,range
thaamu karo',land tax
sthaapano',institute
yokyato',merit
neetipati,judge
niyaayaadhipati,judge
neetisthal,court
upayogu vastun,consumer`s goods
nugan vastun,consumer`s goods
upayoga,consumption
nugini,consumption
turni,entry
pre'vsh,entry
irkat',crisis
sangat',crisis
vago' pari sodano',analysis
sahayo'g,contribution
vat'o',share
dugaal'u hannav,dearness allowance
dugaal'u bharto',dearness allowance
dugaal',famine
seno',army
pal'o',army
bil,bill
raseetu,bill
jaapito',list
japto',list
sambhavano',allowance
hani,"attack, aggression"
jhe'd'aa aydu,arms
senaa dal'avaad'un,arms
senaapati,army chief
dalakarto',army chief
denaa dal',regiment
padaarthun,commodity
bho'nnamun,commodity
kalaachaar,culture
samskruti,culture
udyog,profession
kaam he'd'ni,dismissal
kama marchini,transfer
kaamu jesht'apan,seniority
kaaryaavaan,employees
padavi,"position, job"
padavi hutraav,demotion
padavi hingaav,promotion
padavikhal'l'ini,sworn in
padavi kaala,tenure
jhat'thi,editor
o'ddi,editor
nimpini,edition
samskarano',edition
nimpini baadhyato',copy right
bharti,substitute
bo'dul,substitute
panchiko',registration
nirdeso',registration
panchiko' pattar,register
se'ttar,travellers bungalow
bho'gunaar,beneficiary
sikshaa maadyo',medium of education
paripaalano',maintenance
pariseelano',consideration
suparchi,recommendation
parivartano',exchange
nidhi unno',"shortage, deficit"
phuro' phurnaaste',"shortage, deficit"
parru,debit
jani,debit
apaharano',seize
pani sinchaav,irrigation
rakshano',defence
loksabho',parliament
doot utpaadanasaalo',dairy
chunaavu prachaar,election campaign
jameena,surety
bharti,bail
pradhaan mantiri,prime minister
bo'dul vaati,representative
pratesu,territory
prabhu,lord
prajo',citizen
vibhaaga,cell
anubandhu,appendix
paskat'vargu samoohu,backward class people
paskat' po'd'e' samoohu,backward class people
janmaandaramu,birth rate
paskad'usamoohu,back ward
pukaar,complaint
abhiyoga,complaint
no'vvakarano',renewal
no'vvake'rni,renewal
kraanti,revolution
vadanti,rumour
vichaarano',investigation
anvesano',investigation
sarkaaru thaam,government land
vistaar,amplifier
vilaas,amplifier
bahu sankhyato',majority
adhikato',maximum
upir,maximum
raajaadhirajo',emperor
mhaaraat',emperor
saamraat',emperor
chakravarti,emperor
laamraajyu,empire
saamraajyu,empire
mahaa sabho',general body
nagarapaaliko',municipality
le'd'jar,ledger
vyakti lhe'kkaa pustav,ledger
pe'ret',ledger
saadhaaranasabho',public meeting
saarvajanik sabho',public meeting
saarvajanik vibhaag,public sector
lo'ka vibhaag,public sector
loka granthaalayo',public library
saadhaarana viraam,public holiday
aarthika sthiti,economy
kaaryabhaar,incharge
jani,trend
pravarti,trend
spardhan,competition
yuddhu,war
aarbhaat'o',agitation
aarbhaat'o' ke'rnaar,fighter
yo'ddhu,fighter
jana sankhyo',population
madhyasarkaar,Central Government
kendra sarkaar,Central Government
aakalano',"estimate, assessment"
moolya nirdhaarano',value
parisraama sulko',honorarium
sambhaavano',honorarium
madhu niro'dhano',prohibition
sachivo',minister
nhaame'nni,denial
punarphulano',renaissance
punar jeevano',rehabilitation
raat'a,king
piraarthanaa patru,application
ko'ri patru,application
mahaa nagarapaaliko',corporation
sammelano',conferance
raajya sarkaar,state government
praantu,state
saamraat'a,emperor
saamyavaad,Marxism
jillo',district
maanyam,grant
punar praapti,recovery
kavni,balance
uraav,balance
ko'v daayo',balance
ses,balance
pratinit'i,agent
saamraat'u paalano',monarchy
mudro',"seal, stamp"
mooludhan,capital
mukya mantiri,chief minister
mooladhanavaan,capitalists
dhanavaanupan,capitalism
punar vichaara praartano',appeal
praakprati,advance copy
poorvaanumaan,forecast
phaila baatyato',priority
abhiviruddhi,progress
moolavastu,raw material
aangarakshako',body guard
mit't'o',stage
manchu,stage
vediko',stage
abhivruddhi,development
met'inu vidhaan sabho',legislative council
uncha adhikaari,superior officer
nirvaah,management
niyantro',management
prabandhako',manager
me't'u nivaahi,manager
uchcha ajnyaakaar,high command
uddharano',quotation
ulle'hano',quotation
avataarano',quotation
avataarita vaakyu,quotation
tade'va,ditto
anuvaadako',translator
tarjamo' ke'rnaar,translator
jhe'd'o',war
maar,war
raani,queen
palo',army
raaja durohi,traitor
raajaya sabho',upper house of the Parliament
me't'u sabho',upper house of the Parliament
rajinamo',resignation
raasht'rapati,president of the country
maamool,bribe
le'ncham,bribe
lo'k sabho',parliament
vittako'sh,bank
hannavu sankrahano',collection
vasul,collection
taalookaa,taluk
daasildaar,tahsildar
piraantyu,region
piraantiya bhaasho',regional language
bhiyaar,trade
vaanijyo',trade
bhiyaaru vitta ko'sh,commercial bank
vanika vitta ko'sh,commercial bank
bhiyaaru sulko',commercial tax
vanika sulko',commercial tax
kimvadanti,rumour
janasruti,rumour
bhyaar,trade
avni,credit
toran,rank
kramo',rank
sreni,rank
sulkanirnayu,taxation
uchlaav,income
jo'd'umbul,income
uchlaavu sulko',income tax
uchlaavu karo',income tax
raajya aadaayu,revenue
nyantrano',restrictions
pratibandhu,restrictions
vago'to'go',restrictions
vitta lekhu,draft
praak le'khano',draft
nipuno',expert
jaina phirni,clockwise turn
pradakshano',clockwise turn
vakkeel,lawyer
rood'hi,usage
maarkadarsi,guide
vaat' de'kkad'naar,guide
ke'ranvaat',process
tugaal',drought
daridrato',poverty
de'ld'iripan,poverty
ugrapan,violence
vaak de'naar,voter
matadaato',voter
vot',vote
vaaku patru,ballot paper
bat'ke',house rent
vaati,plaintiff
vaarsu,heir
utraadhikaari,heir
samiti,board/ corporation
anupaat,ratio
uvichaarano',enquiry
svaatantru,independence
so'd'ni,leave
so'd'vaar,leave
sod'i,holiday
vipattu,accident
vaayuse'no',air force
phaad',crack
billo',badge
mo'lu japto',price index
mo'lu at't'avano',price index
vivaad,"discussion, debate"
vaagvivaad,"discussion, debate"
utsav,function
vaibhav,function
pratishat,percent
pratisho'tu,percent
vijnyaapano',advertisement
prakaarashano',advertisement
vikkini karo',sales tax
daro',rate
abhe'kshako',candidate
abhe'kshu,candidature
kaam hibbat'ni,strike
krushi,agriculture
vinyaas,fixed deposit
lo'ka tantru,democracy
prajaa tantru,democracy
jana tantru,democracy
janaadipati,president
o'nno',beans
allo',ginger
dhurul'u mool',potato
vangi,brinjal
kailake'sur,vegetable
bhajji,greens
mo'l'kal',ama ranthus
dhe'yal'o',ama ranthus
kaarat',carrot
jinnavre',cluster beans
dhaniyo',coriander leaves
se'kkarke'l'angu,sweet potato
kho'vl'o',ash gourd
bho'vl'o',bottle gourd
suran,yam
sepamool',colocasia
takkaali,tomato
cho'vl'o',cow pea
ambl'o',goose berry
kachche' mirikkailo',green chilly
pat't'aani,pea
po'skaay,pumpkin
kallo',bitter gourd
vadunaa bhajji,mint
po't'gulo',snake gourd
kaaliphil'avar,cauliflower
khe'vlo',pum pkin
lo'san,garlic
kaulake'sur,vegetable
che'kkar kil'angu,tapioca
aalval'ik kil'ankuv,tapioca
kachchambo',mango
mut't'aikos,cabbage
se'vkaa kailo',drumstick
mul'o',raddish
kachche'ke'l'o',unripe plantain
bhe'nd'ikailo',lady`s finger
agastir,lady`s finger
valko',cucumber
amaas,new moon
varaa kaal,autumn
sabdu,sound
prakaash,light
vaataavaran,weather
vel',season
kaal,season
himus,chill/coldness
himl'o',winter season
himusoo kaal,winter season
hoonukaal,summer season
greeshma kaal,summer season
hoonno',heat
sil'l'o',cold
sheetal',cold
seetoshno',climate/weather
mukul varo',southwind/ breeze
rutu,season
rutu po'vs,monsoon
himuskaal,winter
humal'o',winter
punnim,full moon
poornimo',full moon
vasanta kaal,spring season
vasanta rutu,spring season
o'staa varo',northwind
hunno',heat
hoonu kaal,summer season
greeshma rutu,summer season
ammo',chickenpox
khavjaav,itching
khaas,itching
chinahu,sign
phat'ini,operation
ajeernu,indigestion
saukyam,health
aspattiri,hospital
aasu bhadri,hospital
kho'vlo',cough
savriyam,health
ke'nt'aapeel,sprain
inkini,sprain
bhurubhuraal,itching
paruke'rni,reaction
jaal',burning
hat'ko' mud'ini,fracture
ho'naaste',allergy
che'rnaaste',allergy
dhe'rnaaste',allergy
vami,vomitting
o'gari,vomitting
vaandi,vomitting
re'gat ge'l'ni,bleeding
do'l'aa duvno',pink-eye
ge'ral',phlegm
garbhu haani,abortion
garbhu niro'd,contraception
lavan ho'gat,ointment
seen,fatigue
hat'ko tijayni,tuberculosis
kaanu duvno',ear ache
kamaal,jaundice
aangu hunno',fever
taap,fever
paai~ aani,corns
kri'mi naasini,anti septic
piso',lunacy
antraamu khajju,ulcer
vaami,nausea
o'gari,nausea
go'l'i,"tablet, pill"
peep,puss
po't'se',cold
sikitso',treatment
khajju,scabies
de'vi,small pox
malapravaaham,dysentery
peepu ge'd'd'o',abscess
se'vakee,nurse
susruso' ke'rnaar,nurse
khaaspo't't'u,scabies
khaaskhajju,scabies
phugni,"hives, swelling"
jaakrata sivi ho'kat,preventive injections
jaakrata ho'kat,vaccine
do'skaa duvno',headache
sigir,sneezing
sigur,sneezing
seek,sneezing
sivni,suture
te'yl,medicated oil
ro'g pe'rpini,infection
dhe'lni vyaadhi,contagious disease
ke'nd'aa rok,skin disease
se'kkaru ko'l'aar,diabetes
viyaadisthu,patient
rogi,patient
rog grasti,patient
duvno',pain
parsa vaayu,paralysis
paarsva vaayu,paralysis
kit'aachut't'u,ring worm
khaas,eczema
mo'd'me',pimple
mo'nme',pimple
daadu duvno',tooth-ache
daadu po'llam,tooth cavity
pe'yttu,bile
jarke'm,delivery
jarke'muduvno',labour pain
pallini duvno',labour pain
prasava ve'dano',labour pain
upabhaadho',side effect
ubaadhako',side effect
upaadho',side effect
phalchaa baadho',side effect
khajju,"sore, wound"
piso',"lunacy, madness"
chunt'ul,dandruff
leek,"Perlice, louse"
mo'skal,morning sickness
me'nkini,"drowsiness, fainting"
vaidyam,treatment
vadya shaalo',hospital
mala bandham,constipation
mo'nnu ko'l'aar,"lunacy, hysteria"
go'l'i,tablet
bharaat' pisatte',menstruation
door rhani,menstruation
hemu duvno',chest pain
gunt'e'm ghaam,heart attack
phailo' o'ytappan,first-aid
mud'ni,fracture
gud'kaam duvno',arthritis
moolamu ko'l'aar,piles
re'gat veg,blood pressure
ro'madu bisso',blood pressure
re'gatu heen,anaemia
lekiyam,health tonic
valiv,fits
mo'l'ii duvno',rheumatism
mulamuk ko'l'aar,piles
vamni,vomitting
tonookhajju,sore mouth
vaayoo,flatulence
iski,hic-cough
soot,"Swelling, boil"
burud'o',"Swelling, boil"
phugni,"Swelling, boil"
baado',pain
hira,orange
nattal,blood red
ko'mbal'avani,light colour
ko'mbal'a po'lso',light green
je'mbl'a,violet
kal'o',dark
nil'o',dark blue
ghe'd'i po'lso',dark green
kal'a,black
kaasht'u,saffron
ramaa po'lso',parrot green
sirkkan,sandal/ cream
dhoomvani,ash colour
lho'vvo',red
vani,colour
shyaamo',blue
nila,blue
po'lso',green
al'd'uno',yellow
ujaal',white
apase'gun,ill omen
amankalu,inauspicious
mangala hin,inauspicious
bo'vni patriko',invitation card
svaagata patriko',invitation card
nimantrana patriko',invitation card
bo'vni,invitation
achaar,custom
deevano',blessing
aasirvaad,blessing
upavaas,fasting
o'gat,fasting
go'ru dhe'rni,bull fight
do'l'aa disht'i,evil eye
dri'sht'i,evil eye
do'la po'd'aste',evil eye
ho'raat',marriage
vivaaho',marriage
paani gri'hano',marriage
jo'val',ear boring ceremony
kaan vi,ear boring ceremony
ma intini,ear boring ceremony
mhoortu khaampu sthaapano',planting a small branch of a banyan tree to grow as a symbol of marriage
kula vo'ghalaste',the oral sound made during important occasions
jhand'av hingad'ni,flag hoisting ceremony of a temple
muggu,floor decoration with rice or stone powder
