alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence,category,source
திக்கெ,tikke,"காரம், உறைப்பு",Pungent,வேன் திக்கெ அந்த்ராம் க2ஜ்ஜு அவத்தக் ஹேது ஹோயி,vEn tikke antraam khajju avattak hEtu hOyi,அதிகப்படியான காரம் குடல் புண்கள் தோன்ற காரணம் ஆகும்,Excess pungent is the cause of intestinal ulcers,taste,corpus_sourashtradictionary
கா2ர்,khaar,உறைப்பு,"Pungent, Spicy",மிர்க்கய்லொகின் அல்லொ கா2ர்கன் ஸே,mirkkaylokin allo khaarkan sE,மிளகாய் மற்றும் இஞ்சி காரமான சுவை கொண்டது,Chili and ginger have a spicy taste,taste,corpus_sourashtradictionary
கொம்மன்,komman,புளிக்காத ஒருவித இளஞ்சுவை,Taste of unfermented curd,எல்லீரும் பனி கொம்மன் ருச்சிகன் ர்ஹாயி,elleerum pani komman ruccikan rhaayi,இளநீரின் சுவை இளஞ்சுவையாக இருக்கும்,The tender coconut has a mild unfermented taste,taste,corpus_sourashtradictionary
கெனர்,kenar,காரல் வாசனை,Rancid,லொனி நஜ்ஜியெத் கெனர் வஸுனொ அவயி,loni najjiyet kenar vasuno avayi,வெண்ணெய் கெட்டுப் போனால் காரல் வாசனை வரும்,Rancid is the odor of spoiled butter,taste,corpus_sourashtradictionary
திச்சன்,ticcan,"சுவையற்ற, சுவை இல்லாது",Tasteless,கெட்டு பிள்சார் திச்சன் ஹொதெ3ஸ்,keTTu piLcaar ticcan hodes,பருப்பு ரசம் சுவையற்று இருந்தது,The Indian lentle soup was tasteless,taste,corpus_sourashtradictionary
ப3த்3து3,baddu,மளிகை,Grocery,,,,,grocery,corpus_sourashtradictionary
அங்கி3டி3,anggiDi,கடை,"Shop, Store",,,,,grocery,corpus_sourashtradictionary
பொந்து,pontu,கடை,"Shop, Store",,,,,grocery,corpus_sourashtradictionary
ப4ண்டா3ர்,bhaNDaar,பொருள்கள் சேர்த்து வைக்கும் இடம்,"Store, Godown",,,,,grocery,corpus_sourashtradictionary
பணொ,paNo,வியாபார சரக்கு,Commodity,,,,,grocery,corpus_sourashtradictionary
பணாயி,paNaayi,சந்தை,"Market, Bazaar",,,,,grocery,corpus_sourashtradictionary
ஹடொ,haTo,சந்தை,"Market, Bazaar",,,,,grocery,corpus_sourashtradictionary
ஹாடி,haaTi,சந்தை,"Market, Bazaar",,,,,grocery,corpus_sourashtradictionary
ஸாத்,saat,சந்தை,"Market, Bazaar",,,,,grocery,corpus_sourashtradictionary
விபணி,vipaNi,கடைத்தெரு,Market street,,,,,grocery,corpus_sourashtradictionary
தோ3வு,dOvu,பேரங்காடி,"Big market, Mall, Store",,,,,grocery,corpus_sourashtradictionary
தெ4டொ / தெ4டொ3,dheTo / dheDo,தராசு,"Scale, Balance, Weighing Machine",,,,,grocery,corpus_sourashtradictionary
நரசி / நராஜி,naraci / naraaji,தராசு,"Scale, Balance, Weighing Machine",,,,,grocery,corpus_sourashtradictionary
ஜோக்,jOk,"நிறுவை, தராசு","Scale, Balance, Weighing Machine",,,,,grocery,corpus_sourashtradictionary
ஹள்வொ,haLvo,லேசான,Light (in weight),,,,,grocery,corpus_sourashtradictionary
சிஸ்லொ / சி2ஸ்லொ,cislo / chislo,"பலசரக்கு, மளிகை பொருட்கள்",Grocery,,,,,grocery,corpus_sourashtradictionary
ரஸ்து,rastu,பொருள்,Materials,,,,,grocery,corpus_sourashtradictionary
தஸ்துன்,tastun,சரக்கு,Goods,,,,,grocery,corpus_sourashtradictionary
லிந்து3,lindu,பற்றுவரவு,Account,,,,,grocery,corpus_sourashtradictionary
ஸாள்,saaL,நெல்,Paddy,,,,,grocery,corpus_sourashtradictionary
தந்து3,tandu,அரிசி,Rice,,,,,grocery,corpus_sourashtradictionary
கஸ்தந்து3,kastandu,பச்சரிசி,Raw Rice,,,,,grocery,corpus_sourashtradictionary
ஹுடொதந்து3,huTotandu,புழுங்கரிசி,Boiled Rice,,,,,grocery,corpus_sourashtradictionary
ஹுஸ்தந்து3,hustandu,புழுங்கலரிசி,Boiled rice,,,,,grocery,corpus_sourashtradictionary
நிப்3ப3ரி,nibbari,புல்லரிசி,Rye Grain,,,,,grocery,corpus_sourashtradictionary
ஸாபு3தா3னொ,saabudaano,ஜவ்வரிசி,Sago,,,,,grocery,corpus_sourashtradictionary
கென்னி,kenni,குருணை,Rice Granule,,,,,grocery,corpus_sourashtradictionary
பெரால்,peraal,பொரி,Puffed rice,,,,,grocery,corpus_sourashtradictionary
லஸ்னி,lasni,பொரி,Puffed rice,,,,,grocery,corpus_sourashtradictionary
பொ3ர்க்குல்,borkkul,பொரி,Puffed rice,,,,,grocery,corpus_sourashtradictionary
அட்குல்,aTkul,அவல்,Flattened Rice,,,,,grocery,corpus_sourashtradictionary
சிப்டொ,cipTo,அவல்,Flattened Rice,,,,,grocery,corpus_sourashtradictionary
கொண்டொ3,koNDo,தவிடு,Bran,,,,,grocery,corpus_sourashtradictionary
உங்கொ3,unggo,உமி,Husk,,,,,grocery,corpus_sourashtradictionary
து3ஸொ,duso,உமி,Husk,,,,,grocery,corpus_sourashtradictionary
கோ4ம தந்து3,ghOma tandu,கோதுமை,Wheat,,,,,grocery,corpus_sourashtradictionary
கோ4மு,ghOmu,கோதுமை,Wheat,,,,,grocery,corpus_sourashtradictionary
போ2மு,phOmu,ரவை (அரைத்த கோதுமை),Semolina,,,,,grocery,corpus_sourashtradictionary
ஶெவ்யொ,ssevyo,சேமியா,Vermicelli,,,,,grocery,corpus_sourashtradictionary
பொ2ன்னிஞ்சென்னொ,phonninjcenno,"சோளம், மக்காச்சோளம்","Maise, Maize, Corn",,,,,grocery,corpus_sourashtradictionary
ஜொ2ள்ளொ,jhoLLo,கம்பு,Millet,,,,,grocery,corpus_sourashtradictionary
ர்ஹகி,rhaki,"கேழ்வரகு, கேப்பை, ராகி",Finger millet,,,,,grocery,corpus_sourashtradictionary
தா3ல்,daal,பருப்பு,Lentil,,,,,grocery,corpus_sourashtradictionary
பெ3ளொ,beLo,பருப்பு வகைகள்,Lentils,,,,,grocery,corpus_sourashtradictionary
சென்னொ,cenno,"கொண்டைக்கடலை, பட்டாணி, பீன்ஸ் போன்ற பருப்பு வகைகள்","Pulses such as Chickpeas, Peas, Beans",,,,,grocery,corpus_sourashtradictionary
கென்னுன்,kennun,தானியங்கள்,"Grains, Cereals",,,,,grocery,corpus_sourashtradictionary
ஶிம்பு3,ssimbu,தானியங்கள்,"Grains, Cereals",,,,,grocery,corpus_sourashtradictionary
ஸஸ்யொ,sasyo,தானியங்கள்,"Grains, Cereals",,,,,grocery,corpus_sourashtradictionary
தோ2ரு பெ3ளொ,thOru beLo,துவரம் பருப்பு,Red Gram,,,,,grocery,corpus_sourashtradictionary
உடி3த்,uDit,கருப்பு உளுந்து,Black gram (with skin),,,,,grocery,corpus_sourashtradictionary
உடி3து3 பெ3ளொ,uDidu beLo,உளுத்தம் பருப்பு,Black Gram,,,,,grocery,corpus_sourashtradictionary
நிளமு பெ3ளொ,niLamu beLo,பச்சைப்பயறு,Green Gram,,,,,grocery,corpus_sourashtradictionary
ஶிலம்,ssilam,பாசி பருப்பு,"Moong gram, Moong dal",,,,,grocery,corpus_sourashtradictionary
கச்சென்னா பெ3ளொ,kaccennaa beLo,கடலை பருப்பு,Bengal Gram,,,,,grocery,corpus_sourashtradictionary
தோ4ரு,dhOru,கடலை பருப்பு,Bengal gram,,,,,grocery,corpus_sourashtradictionary
வடாணி,vaTaaNi,பட்டாணி,Pea,,,,,grocery,corpus_sourashtradictionary
சென்னொ,cenno,பொட்டுக்கடலை,Fried Gram,,,,,grocery,corpus_sourashtradictionary
ஹுஜால் கச்சென்னொ,hujaal kaccenno,"கொண்டைக்கடலை, கொண்டக்கடலை",Chickpeas,,,,,grocery,corpus_sourashtradictionary
களொ கச்சென்னொ,kaLo kaccenno,கருப்பு கொண்டைக்கடலை,Black Chickpeas,,,,,grocery,corpus_sourashtradictionary
பு4ய்ஞ்சென்னொ,bhuynjcenno,"நிலக்கடலை, வேர்க்கடலை","Groundnut, Ground Nut, Peanut",,,,,grocery,corpus_sourashtradictionary
கென்னு,kennu,மொச்சை பயறு,White Lima Beans,,,,,grocery,corpus_sourashtradictionary
சொவ்ளொ,covLo,"தட்டாம் பயறு, சிவப்பு காராமணி","Red cowpea, Black-eyed pea",,,,,grocery,corpus_sourashtradictionary
தெ3ளி / தெ3ளெ பீட்,deLi / deLe peeT,கடலை மாவு,Gram flour,,,,,grocery,corpus_sourashtradictionary
கச்சென்னா பீட்,kaccennaa peeT,கடலை மாவு,Gram flour,,,,,grocery,corpus_sourashtradictionary
தேல்,tEl,எண்ணெய்,Oil,,,,,grocery,corpus_sourashtradictionary
சோட்தேல்,cOTtEl,நல்லெண்ணை,Gingerly Oil,,,,,grocery,corpus_sourashtradictionary
கட3லதேல்,kaDalatEl,கடலெண்ணெய்,Groundnut Oil,,,,,grocery,corpus_sourashtradictionary
நரெலுதூப்,narelutoop,தேங்காய் எண்ணெய்,Coconut oil,,,,,grocery,corpus_sourashtradictionary
நலர்தேல்,nalartEl,தேங்காய் எண்ணெய்,Coconut Oil,,,,,grocery,corpus_sourashtradictionary
அந்தெ3ம்,andem,விளக்கெண்ணெய்,Castor Oil,,,,,grocery,corpus_sourashtradictionary
கெஷன்,keshan,புண்ணாக்கு,Oil cake,,,,,grocery,corpus_sourashtradictionary
பேண்,pEN,புண்ணாக்கு,Oil cake,,,,,grocery,corpus_sourashtradictionary
க4னொ,ghano,எண்ணெய்ச் செக்கு,Oil Expeller,,,,,grocery,corpus_sourashtradictionary
பெண்க4னொ,peNghano,எண்ணெய்ச் செக்கு,Oil Expeller,,,,,grocery,corpus_sourashtradictionary
மீட்,meeT,உப்பு,Salt,,,,,grocery,corpus_sourashtradictionary
சீஸ்,cees,புளி,Tamarind,,,,,grocery,corpus_sourashtradictionary
ஸெக்கர்,sekkar,சர்க்கரை,Sugar,,,,,grocery,corpus_sourashtradictionary
ஸுரொ,suro,கற்கண்டு,White candy sugar,,,,,grocery,corpus_sourashtradictionary
கு3ள்ளு,guLLu,"கருப்பட்டி, வெல்லம்","Coconut palm sugar, Jaggery",,,,,grocery,corpus_sourashtradictionary
அச்சு கு3ள்ளு,accu guLLu,அச்சு வெல்லம்,Boxed Jaggery,,,,,grocery,corpus_sourashtradictionary
தாடி3 கு3ள்ளு,taaDi guLLu,பனை வெல்லம்,Palm Jaggery,,,,,grocery,corpus_sourashtradictionary
ஹிங்கு3,hinggu,பெருங்காயம்,Asafoetida,,,,,grocery,corpus_sourashtradictionary
ஜிரொ,jiro,சீரகம்,Cumin,,,,,grocery,corpus_sourashtradictionary
ம்ஹொடொ3ஜிரொ,mhoDojiro,பெருஞ்சீரகம்,Fennel,,,,,grocery,corpus_sourashtradictionary
ஈரு,eeru,பெருஞ்சீரகம்,Fennel,,,,,grocery,corpus_sourashtradictionary
பு2ம்பு,phumpu,சோம்பு,Anise,,,,,grocery,corpus_sourashtradictionary
மித்தி,mitti,வெந்தயம்,Fenugreek,,,,,grocery,corpus_sourashtradictionary
தீக்,teek,சிவப்பு மிளகாய்,Red chilli,,,,,grocery,corpus_sourashtradictionary
திக்னொ,tikno,சிவப்பு மிளகாய்,Red chilli,,,,,grocery,corpus_sourashtradictionary
தீள்,teeL,கருப்பு எள்ளு,Black sesame,,,,,grocery,corpus_sourashtradictionary
பீ2ள்,pheeL,வெள்ளை எள்ளு,White sesame seed,,,,,grocery,corpus_sourashtradictionary
குளித்,kuLit,கொள்ளு,Horse gram,,,,,grocery,corpus_sourashtradictionary
ம்ஹுரி,mhuri,கடுகு,Mustard,,,,,grocery,corpus_sourashtradictionary
மிரி,miri,மிளகு,Pepper,,,,,grocery,corpus_sourashtradictionary
ஹலத்,halat,மஞ்சள்,Turmeric,,,,,grocery,corpus_sourashtradictionary
தா4யி,dhaayi,"மல்லி, தனியா",Coriander seed,,,,,grocery,corpus_sourashtradictionary
த4னெ,dhane,"மல்லி, தனியா",Coriander seed,,,,,grocery,corpus_sourashtradictionary
சிங்க்3ளொ,cinggLo,முந்திரிப்பருப்பு,Cashew nut,,,,,grocery,corpus_sourashtradictionary
கிஸ்மிஸ்,kismis,உலர் திராட்சை,Raisin,,,,,grocery,corpus_sourashtradictionary
எளொ,eLo,ஏலக்காய்,Cardamom,,,,,grocery,corpus_sourashtradictionary
லொம்பூ2ல்,lomphool,கிராம்பு,Clove,,,,,grocery,corpus_sourashtradictionary
லவங்கொ3,lavanggo,லவங்கம்,Cinnamon,,,,,grocery,corpus_sourashtradictionary
ஸிகா3ய்,sigaay,சீயக்காய்,Shikakai Acacia,,,,,grocery,corpus_sourashtradictionary
ஶெர்கி,sserki,பருத்திக்கொட்டை,Cotton seed,,,,,grocery,corpus_sourashtradictionary
கு3லுகு3ஞ்ஜி,gulugunjji,குன்றிமணி,Rosary Pea,,,,,grocery,corpus_sourashtradictionary
ஸொண்டி / ஸொம்டி,soNTi / somTi,சுக்கு,Dried Ginger,,,,,grocery,corpus_sourashtradictionary
பிம்பள்,pimpaL,திப்பிலி,Long pepper,,,,,grocery,corpus_sourashtradictionary
ஜெஷ்டிமது,jeshTimatu,அதிமதுரம்,Licorice,,,,,grocery,corpus_sourashtradictionary
ராஸ்னு,raasnu,சித்தரத்தை,Lesser Galangal,,,,,grocery,corpus_sourashtradictionary
து3ம்ப3ராஷ்டு,dumbaraashTu,பேரரத்தை,Greater Galangal,,,,,grocery,corpus_sourashtradictionary
ஹெக3ண்,hegaN,வசம்பு,"Calamus, Sweet flag",,,,,grocery,corpus_sourashtradictionary
அக்ரார்,akraar,அக்கரகாரம்,Akarkara Root,,,,,grocery,corpus_sourashtradictionary
பாட2ஶாலொ,paaThassaalo,பள்ளிக்கூடம்,School,,,,,school,corpus_sourashtradictionary
ஹுரி,huri,பள்ளிக்கூடம்,School,,,,,school,corpus_sourashtradictionary
இந்து3,indu,பள்ளி,School,,,,,school,corpus_sourashtradictionary
பொள்டம்,poLTam,பள்ளிக்கூடம்,School,,,,,school,corpus_sourashtradictionary
ஹொள்டா ஹுரி,hoLTaa huri,திண்ணைப் பள்ளி,Veranda School,,,,,school,corpus_sourashtradictionary
பா3லஹுரி,baalahuri,பாலர் பள்ளி,Play / Pre Nursery School,,,,,school,corpus_sourashtradictionary
பில்லல்னு ஹுரி,pillalnu huri,மழலையர் பள்ளி,Kindergarten / Nursery School,,,,,school,corpus_sourashtradictionary
ஹர்ம்ப3 ஸ்தர் ஹுரி,harmba star huri,ஆரம்பநிலைப் பள்ளி,Elementary / Primary School,,,,,school,corpus_sourashtradictionary
மத்3ய ஸ்தர் ஹுரி,madya star huri,நடுநிலைப் பள்ளி,High School,,,,,school,corpus_sourashtradictionary
உஞ்சா ஸ்தர் ஹுரி,unjcaa star huri,மேல்நிலைப் பள்ளி,Higher Secondary School,,,,,school,corpus_sourashtradictionary
தந்த்ரஞான் வித்3யாலயொ,tantranjaan vidyaalayo,தொழில்நுட்பக் கல்லூரி,Polytechnique,,,,,school,corpus_sourashtradictionary
மஹா வித்3யாலயொ,mahaa vidyaalayo,கல்லூரி,College,,,,,school,corpus_sourashtradictionary
அபி4யாந்த்ரிக் வித்3யாலயொ,abhiyaantrik vidyaalayo,பொறியியல் கல்லூரி,Engineering College,,,,,school,corpus_sourashtradictionary
கலா & விஞான் வித்3யாலயொ,kalaa & vinjaan vidyaalayo,கலை & அறிவியல் கல்லூரி,Arts & Science College,,,,,school,corpus_sourashtradictionary
ஸர்வகலா வித்3யாலயொ,sarvakalaa vidyaalayo,பல்கலைக்கழகம்,University,,,,,school,corpus_sourashtradictionary
விஶ்வ வித்3யாலயொ,vissva vidyaalayo,பல்கலைக்கழகம்,University,,,,,school,corpus_sourashtradictionary
புஸ்தகஶாலொ,pustakassaalo,நூலகம்,Library,,,,,school,corpus_sourashtradictionary
வாசகஶாலொ,vaacakassaalo,நூலகம்,Library,,,,,school,corpus_sourashtradictionary
ஶிக்ஷகொ,ssikshako,ஆசிரியர்,Teacher,,,,,school,corpus_sourashtradictionary
ஒத்3தி3,oddi,ஆசிரியர்,Teacher,,,,,school,corpus_sourashtradictionary
வத்3தி3,vaddi,ஆசிரியர்,Teacher,,,,,school,corpus_sourashtradictionary
உபாத்4யாயொ,upaadhyaayo,ஆசிரியர்,Male teacher,,,,,school,corpus_sourashtradictionary
உபாத்4யாயி,upaadhyaayi,ஆசிரியை,Female teacher,,,,,school,corpus_sourashtradictionary
மஹா ஒத்3தி3,mahaa oddi,பேராசிரியர்,Professor,,,,,school,corpus_sourashtradictionary
ஶிக்ஷணொ,ssikshaNo,தனிப்போதனை,Tuition,,,,,school,corpus_sourashtradictionary
ஶிக்கட்3னி,ssikkaDni,கற்பித்தல்,"Teaching, Instruction",,,,,school,corpus_sourashtradictionary
அலக்3கொ3 ஶிக்கட்3னி,alaggo ssikkaDni,தனியாக கற்பித்தல்,Tuition,,,,,school,corpus_sourashtradictionary
ஶிக்3டொ3,ssigDo,கற்பவர்,"Learner, Student",,,,,school,corpus_sourashtradictionary
இக்லொ,iklo,மாணவர்,Student,,,,,school,corpus_sourashtradictionary
ஶிகார்,ssikaar,மாணவர்,Student,,,,,school,corpus_sourashtradictionary
மாணவ்,maaNav,மாணவர்,Student,,,,,school,corpus_sourashtradictionary
ஸுடபொ3ட்டொ,suTaboTTo,சீருடை,Uniform,,,,,school,corpus_sourashtradictionary
ஒண்ட்டே தா4னு,oNTTE dhaanu,ஒரேவிதமான,Uniform,,,,,school,corpus_sourashtradictionary
அவாரு,avaaru,தங்கும் விடுதி,Hostel,,,,,school,corpus_sourashtradictionary
ஈகு3,eegu,"கல்வி, படிப்பு","Education, Study",,,,,school,corpus_sourashtradictionary
இக3த்தெ,igatte,"கற்றல், படித்தல்","Learning, Reading",,,,,school,corpus_sourashtradictionary
இக3த்தெனு,igattenu,"கற்பவர், படிப்பவர்","Learner, Reader",,,,,school,corpus_sourashtradictionary
ஈவி,eevi,"பயிலு, படி",Study,,,,,school,corpus_sourashtradictionary
இக்லொ,iklo,"கற்பவர், மாணவன், மாணவி","Learner, Student",,,,,school,corpus_sourashtradictionary
சொவ்து3னாருன்,covdunaarun,மாணவர்கள்,Students,,,,,school,corpus_sourashtradictionary
வித்3யொ,vidyo,கல்வி,Education,,,,,school,corpus_sourashtradictionary
சொவ்து3,ceaavdu,"கல்வி, படிப்பு","Education, Study",,,,,school,corpus_sourashtradictionary
சொவ்து3தெ4ரெ,covdudhere,கல்விசார்,Educational,,,,,school,corpus_sourashtradictionary
ஞான்,njaan,அறிவு,Knowledge,,,,,school,corpus_sourashtradictionary
ஹொட்3வினி,hoDvini,வளர்த்தல் (அறிவு),Development,,,,,school,corpus_sourashtradictionary
ஒர்கு3,orgu,வகுப்பு,"Class, Grade",,,,,school,corpus_sourashtradictionary
வர்கு3,vargu,வகுப்பு,"Class, Grade",,,,,school,corpus_sourashtradictionary
வர்கு3 ஸிங்க3ய்த்,vargu singgayt,வகுப்புத் தோழன்,"Classmate, Class mate",,,,,school,corpus_sourashtradictionary
பட2ன்,paThan,பாடம்,Lesson,,,,,school,corpus_sourashtradictionary
க3த்3யொ,gadyo,உரை நடை,Prose,,,,,school,corpus_sourashtradictionary
பத்3யம்,padyam,செய்யுள்,Poetry,,,,,school,corpus_sourashtradictionary
கவிதொ,kavito,கவிதை,Poem,,,,,school,corpus_sourashtradictionary
படி2னி,paThini,"படித்தல், வாசித்தல்",Reading,,,,,school,corpus_sourashtradictionary
அர்த்து,arttu,பொருள்,Meaning,,,,,school,corpus_sourashtradictionary
அர்து2,arthu,பொருள்,Means,,,,,school,corpus_sourashtradictionary
அர்த்துந்ஹாத்த,arttunhaatta,பொருளற்ற,Meaningless,,,,,school,corpus_sourashtradictionary
குண்டு,kuNTu,பிழை,Error,,,,,school,corpus_sourashtradictionary
மொந்து,montu,பிழை,Error,,,,,school,corpus_sourashtradictionary
மித்தம,mittama,பிழையுள்ள,With Error,,,,,school,corpus_sourashtradictionary
திரிதம்,tiritam,திருத்தம்,"Correction, Debugging",,,,,school,corpus_sourashtradictionary
புஸாவ் / புஸ்னி,pusaav / pusni,கேள்வி,Question,,,,,school,corpus_sourashtradictionary
ஜவாப்3 / ஜவ்நி,javaab / javni,பதில்,Answer,,,,,school,corpus_sourashtradictionary
ஒங்கு,ongku,எண்,Number,,,,,school,corpus_sourashtradictionary
லிக்கினி,likkini,எழுத்து,Letter,,,,,school,corpus_sourashtradictionary
அக்ஷர்,akshar,எழுத்து,Letter,,,,,school,corpus_sourashtradictionary
ஜுடி3,juDi,சொல்,Word,,,,,school,corpus_sourashtradictionary
வத்தொ,vatto,சொல்,Word,,,,,school,corpus_sourashtradictionary
பங்தி,pangti,வரி,Line,,,,,school,corpus_sourashtradictionary
புடொ,puTo,பக்கம்,Page,,,,,school,corpus_sourashtradictionary
ஒஸொ,oso,பக்கம்,Page,,,,,school,corpus_sourashtradictionary
புஸ்தகு,pustaku,புத்தகம்,Book,,,,,school,corpus_sourashtradictionary
பொ3க்3கு,bogku,புத்தகம்,Book,,,,,school,corpus_sourashtradictionary
பொதி,poti,"புத்தகம், சிறு புத்தகம்","Book, Booklet",,,,,school,corpus_sourashtradictionary
பாட2க்ரமொ,paaThakramo,பாடத்திட்டங்கள்,Syllabus,,,,,school,corpus_sourashtradictionary
க்3ரந்து,grantu,"நூல், கட்டுரை","Book, Article",,,,,school,corpus_sourashtradictionary
பீடி2கொ,peeThiko,"முன்னுரை, முகவுரை","Preface, Preamble",,,,,school,corpus_sourashtradictionary
ஸூசிகொ,soociko,அட்டவணை,Index,,,,,school,corpus_sourashtradictionary
விஷய ஸூசிகொ,vishaya soociko,பொருளடக்கம்,Index,,,,,school,corpus_sourashtradictionary
விஷயம்,vishayam,தலைப்பு,Topic,,,,,school,corpus_sourashtradictionary
ஶீர்ஷக்,sseershak,தலைப்பு,"Title, Heading, Header",,,,,school,corpus_sourashtradictionary
அத்4யாயம்,adhyaayam,அத்தியாயம்,Chapter,,,,,school,corpus_sourashtradictionary
ரசனொ கெரத்தெ,racano keratte,இயற்றுதல்,Composing,,,,,school,corpus_sourashtradictionary
லேகு2,lEkhu,கடிதம்,Letter,,,,,school,corpus_sourashtradictionary
வத்தா ப4ந்தி3னி,vattaa bhandini,கட்டுரை,Composition,,,,,school,corpus_sourashtradictionary
அக்ஷர்ஸங்கி3,aksharsanggi,எழுத்தைச் சொல்,Spell,,,,,school,corpus_sourashtradictionary
வத்தாக்ஷர்னு,vattaaksharnu,வார்த்தையின் எழுத்துக்கள்,Spelling,,,,,school,corpus_sourashtradictionary
நிரஸ்து,nirastu,விரைவுமொழி,Pronounced hurriedly,,,,,school,corpus_sourashtradictionary
ஶிலா பொல்கொ,ssilaa polko,சிலேட்டுப் பலகை,Slate,,,,,school,corpus_sourashtradictionary
ஶிலா க2ட்டி,ssilaa khaTTi,"கல்குச்சி, பல்பம்",Slate Pencil,,,,,school,corpus_sourashtradictionary
கொட்னி,koTni,பல்பம்,Slate-pencil,,,,,school,corpus_sourashtradictionary
பௌ3லம்,baulam,"மாக்கல், பலப்பம், சிலேட்டுக் குச்சி","Slate rock, Slate pencil",,,,,school,corpus_sourashtradictionary
ஸை,sai,மை,Ink,,,,,school,corpus_sourashtradictionary
ஸைநிடி,sainiTi,மைக்கூடு,Ink bottle,,,,,school,corpus_sourashtradictionary
லிக்லாணி,liklaaNi,எழுத்தாணி,Iron Stylus,,,,,school,corpus_sourashtradictionary
ஸுரி,suri,எழுத்தாணி,Iron Stylus,,,,,school,corpus_sourashtradictionary
தாளு பான்,taaLu paan,பனை ஓலை,Palm leaf (used for writing),,,,,school,corpus_sourashtradictionary
தி3ன்சரி,dincari,குறிப்பேடு,Notebook,,,,,school,corpus_sourashtradictionary
ஸௌக்3ஞ,saugnja,குறிப்பு,Note,,,,,school,corpus_sourashtradictionary
லிக்லொ,liklo,பேனா,Pen,,,,,school,corpus_sourashtradictionary
பெய்னொ,peyno,பேனா,Pen,,,,,school,corpus_sourashtradictionary
சக3ரால்,cagaraal,கையெழுத்து,Signature,,,,,school,corpus_sourashtradictionary
ஹாதக்ஷர்,haatakshar,கையெழுத்து,Signature,,,,,school,corpus_sourashtradictionary
பெ3த்தம்,bettam,பிரம்பு,"Cane, Rattan",,,,,school,corpus_sourashtradictionary
து3மட்3,dumaD,பயிற்சி,"Exercise, Training, Practice",,,,,school,corpus_sourashtradictionary
அப்4யாஸ்,abhyaas,பயிற்சி,"Exercise, Training, Practice",,,,,school,corpus_sourashtradictionary
கெரிஸனி,kerisani,செய்முறை,"Practical, Recipe",,,,,school,corpus_sourashtradictionary
