source,target
ꢪꢸꢒ꣄ꢬꣁ,mukro'
ꢔꢵꢥ꣄ꢡꢪ꣄,gaantam
ꢡꢪ꣄ꢨꢾ,tambe'
ꢡꢪ꣄ꢨꢸꢬꢪ꣄,tamburam
ꢡꢭ꣄,tal
ꢡꢾꢒꢜ꣄,te'kat'
ꢱꣁꢥ꣄ꢥꣁ,so'nno'
ꢱꣁꢬ꣄ꢠꢸ,so'rnu
ꢂꢦ꣄ꢬꢛ꣄ꢙꢶ,apranji
ꢡꢸꢡ꣄ꢡꢥꢵꢔ꣄,tuttanaag
ꢥꢵꢔ꣄,naag
ꢭꢷꢡꢸ,leetu
ꢒꢱꣁ,kaso'
ꢬꢸꢦ꣄ꢦꣁ,ruppo'
ꢒꣂꢜ꣄,kot'
ꢒꢶꢡ꣄ꢒ,kitka
ꢒꢶꢡ꣄ꢒꢫꣁ,kitkayo'
ꢒꣂꢥ꣄,kon
ꢒꢶꢱꣁ,kiso'
ꢒꣂꢥꢒ꣄,konak
ꢒꢶꢱꢵꢫꣁ,kisaayo'
ꢒꢶꢱꢵꢫꢾ,kisaaye'
ꢓꣁꢨ꣄ꢨꣁ,kho'bbo'
ꢒꣁꢥ꣄ ꢣꢶꢥ꣄ꢥꢸ,ko'n dinnu
ꢒꢵꢫ꣄,kaay
ꢒꢵꢫꣁ,kaayo'
ꢒꣂꢥꢾ,kone'
ꢒꣂꢥ꣄ꢫꢾ,konye'
ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄,angeekaar
ꢂꢗ꣄ꢗꢸ,achchu
ꢜꢖ꣄ꢒꢸ,t'anku
ꢦꢡ꣄ꢬꢮꢵꢲꢶꢥꢶ,patravaahini
ꢦꢡ꣄ꢬꢮꢵꢲꢒꣁ,patravaahako'
ꢦꢡ꣄ꢬꢮꢵꢲꣁ,patravaaho'
ꢭꢿꢓꢸꢮꢵꢥ꣄,lekhuvaan
ꢦꢡ꣄ꢬꢮꢵꢲ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,patravaaha kaaryaalayo'
ꢒꣂꢰ꣄ꢜꢸ,kosht'u
ꢆꢞ꣄ꢔꢞ꣄ꢠꢶ,ud'gad'ni
ꢣꢪꢥꣁ,damano'
ꢒꢸꢣꣁ,kudo'
ꢓꢵꢭ꣄ꢣꢳ꣄ ꢓꢵꢭ꣄ꢣꢾꢳꢪ꣄,khaaldal' khaalde'l'am
ꢃꢤꢵꢬꢸ ꢨꢵꢡ꣄ꢫꢡꣁ,aadhaaru baatyato'
ꢱ꣄ꢬꢿꢠꢶꢗꢵꢭ꣄,srenichaal
ꢂꢡ꣄ꢒꢫꢵꢬ꣄,atkayaar
ꢂꢡ꣄ꢒ꣄ꢫꢵꢬꢶ,atkyaari
ꢪꢥ꣄ꢡ꣄ꢬꢶ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,mantri kaaryaalayo'
ꢪꢥ꣄ꢡ꣄ꢬꢶ,mantri
ꢂꢪꢵꢡ꣄ꢫꣁ,amaatyo'
ꢪꢥ꣄ꢡ꣄ꢬꢶꢱꢨꣁ,mantrisabo'
ꢯꢵꢥ꣄ꢡꢶ,shaanti
ꢱꢖ꣄ꢕꢜꢶꢒꣁ,sanghat'iko'
ꢱꢛ꣄ꢗꢭꢥꢒꢵꢬꣁ,sanchalanakaaro'
ꢮꢶꢣꢿꢱ꣄,vides
ꢩꢬꢳꢡꢿꢱ꣄,bharal'ates
ꢬꢙꣁ,rajo'
ꢬꢵꢜ꣄,raat'
ꢩꢹꢦꣁ,bhoopo'
ꢩꢹꢦꢡꢶ,bhoopati
ꢬꢠꢶ,rani
ꢬꢵꢜꢳꢶ,raat'al'i
ꢱꢪ꣄ꢱ꣄ꢢꢵꢦꢥꣁ,samsthaapano'
ꢱꢪ꣄ꢮꢶꢤꢵ,samvidhaa
ꢬꢵꢙꢥꢷꢡꢶꢮꢵꢥ꣄,raajaneetivaan
ꢱꢬ꣄ꢒꢵꢬ꣄,sarkaar
ꢬꢵꢙꢵꢖ꣄ꢔꢸ,raajaangu
ꢬꢵꢙ꣄ꢩꢮꢥ꣄,raajbhavan
ꢬꢮꢸꢳ꣄,ravul'
ꢦ꣄ꢬꢵꢱꢵꢣꣁ,praasaado'
ꢍꢒꢒ꣄,ekak
ꢄꢒꢵꢫ꣄,ikaay
ꢭꢵꢜ꣄,laat'
ꢒꢵꢬ꣄ꢫꢵꢭꢫ ꢩꢰꣁ,kaaryaalaya bhasho'
ꢂꢡ꣄ꢒꢵꢬꢶ,atkaari
ꢂꢮ꣄ꢱꢬꢸ ꢱꢵꢱꢥꣁ,avsaru saasano'
ꢃꢦꢡ꣄ꢒꢵꢭꢸ ꢱꢵꢱꢥꣁ,aapatkaalu saasano'
ꢂꢮ꣄ꢱꢬ꣄ꢱ꣄ꢢꢶꢡꢶ,avsarsthiti
ꢨꣁꢮ꣄ꢥꢶꢕꢵꢜ꣄,bo'vnighaat'
ꢦꢬꢶꢪꢵꢠ꣄,parimaan
ꢦ꣄ꢬꢒꢜꢥꣁ,prakat'ano'
ꢃꢮꢿꢣꢥꣁ,aavedano'
ꢮꢶꢰꢫꢒꢳꢞ꣄ꢠꢶ,vishayakal'ad'ni
ꢦ꣄ꢬꢒꢞ꣄ꢠꢵꢬ꣄,prakad'naar
ꢦ꣄ꢬꢒꢞꢠꣁꢒꢾꢬ꣄ꢥꢵꢬ꣄,prakad'ano'ke'rnaar
ꢮꢶꢰꢫꢸ ꢒꢳꢞ꣄ꢥꢵꢬ꣄,vishayu kal'ad'naar
ꢱꢹꢗꢥꢵ ꢦꣁꢭ꣄ꢒꣁ,soochanaa po'lko'
ꢂꢥꢸꢪꢡ꣄,anumat
ꢂꢥꢸꢪꢡ꣄ ꢱꢹꢗꢶ,anumat soochi
ꢂꢥꢸꢩꢮ꣄,anubhav
ꢒꢨ꣄ꢙꣁ,kabjo'
ꢃꢒ꣄ꢬꢪꢠꣁ,aakramano'
ꢱꢵꢱꢥꣁ,saasano'
ꢱꣃꢱꢱ꣄ꢡꢾ,sausaste'
ꢱꣃꢱꢶꢥꢶ,sausini
ꢬꢵꢙ꣄ꢫ ꢩꢰꣁ,raajya bhasho'
ꢃꢙ꣄ꢛꢾ,aajnye'
ꢥꢶꢫꣂꢔꣁ,niyogo'
ꢃꢫꣂꢔ꣄,aayog
ꢥꢶꢫꣂꢔꢶ,niyogi
ꢃꢫꣂꢒꢶ,aayoki
ꢂꢣ꣄ꢭꢥ꣄,adlan
ꢂꢣ꣄ꢥꢶ,adni
ꢭꢵꢨ꣄,laab
ꢂꢣꢵꢮ꣄,adaav
ꢦ꣄ꢬꢩꢸꢡ꣄ꢮꣁ,prabhutvo'
ꢂꢬ꣄ꢒ꣄ꢫꢵꢬ꣄,arkyaar
ꢃꢤꢶꢦꢡ꣄ꢫꣁ,aadhipatyo'
ꢆꢡ꣄ꢦꢵꢣꢥꢱꢸꢭ꣄ꢒꣁ,utpaadanasulko'
ꢱꢸꢭ꣄ꢒꣁ,sulko'
ꢒꢬꣁ,karo'
ꢃꢫꢸꢱ꣄ꢣꢠ꣄ꢞꢥꣁ,aayusdand'ano'
ꢆꢡ꣄ꢱꢵꢲ꣄,utsaah
ꢒꢮ꣄ꢡꢸꢒꣁ,kavtuko'
ꢃꢭꣂꢱꢥꣁ,aalosano'
ꢂꢩꢶꢦ꣄ꢬꢵꢫꢸ,abhipraayu
ꢭꢶꢓꢾꢦꢡ꣄ꢡꢬ꣄,likhe'pattar
ꢭꢿꢓ ꢦ꣄ꢬꢪꢵꢠꣁ,lekha pramaano'
ꢱꢵꢱꢥꢦꢒ꣄ꢰꣁ,saasanapaksho'
ꢬꢵꢙ꣄ꢦꢵꢭ꣄,raajpaal
ꢬꢵꢙ꣄ꢦꢵꢭꢥꣁ,raajpaalano'
ꢏꢦ꣄ꢦꢶꢭꢶꢥꢶ,o'ppilini
ꢱꢪ꣄ꢪꢡ꣄,sammat
ꢒꢨꢥ꣄ꢣꢸꢱꢬ꣄ꢒꢵꢬ꣄,kabandusarkaar
ꢂꢥ꣄ꢡꢬ꣄ꢥꢶꢰꢾꢤ꣄,antarnishe'dh
ꢪꢴꢣ꣄ꢣꢶꢪꢸ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,mhaddimu hibbad'ni
ꢣꢾꢬ꣄ꢒꢭꢶ,de'rkali
ꢪꢴꢣ꣄ꢫꢮꢬ꣄ꢡꢶ,mhadyavarti
ꢂꢮ꣄ꢞꢒꢵꢭꢸ ꢗꢸꢥꢵꢮ꣄,avd'akaalu chunaav
ꢪꢴꢣ꣄ꢣꢶꢪ꣄ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,mhaddim hibbad'ni
ꢂꢮꢭꢪ꣄ꢨ꣄ꢥꣁ,avalambno'
ꢡꢡ꣄ꢒꢵꢭꢸ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,tatkaalu hibbad'ni
ꢌꢠ꣄ꢔꢶꢥꢶ,e'ngini
ꢂꢥꢸꢬꢹꢦꢡꣁ,anuroopato'
ꢱꢲ ꢪꢥ꣄ꢡꢶꢬꢶ,saha mantiri
ꢱꢾꢬ꣄ꢗꢥ꣄ꢩꢵꢰꣁ,se'rchanbhaasho'
ꢱꢥ꣄ꢣꢶ ꢩꢵꢰꣁ,sandi bhaasho'
ꢱꢪ꣄ꢫꢸꢒ꣄ꢡ ꢱꢖ꣄ꢕꣁ,samyukta sangho'
ꢱꢛ꣄ꢙꢶꢒꢾ,sanjike'
ꢩꢵꢬꢡꢥꢶꢬ꣄ꢮꢵꢲꢸꢱꢿꢮꣁ,bhaaratanirvaahusevo'
ꢩꢵꢬꢡ ꢂꢦꢬꢵꢤꢸ ꢱꢵꢱꢥꣁ,bhaarata aparaadhu saasano'
ꢃꢥ꣄ꢣꣂꢭ꣄,aandol
ꢒꢵꢬ꣄ꢫꢵꢭꢫ ꢱꢖ꣄ꢔꢪꣁ,kaaryaalaya sangamo'
ꢥꢶꢬ꣄ꢮꢵꢲꢶ,nirvaahi
ꢥꢶꢬ꣄ꢣꢿꢱꢒ꣄,nirdesak
ꢂꢤ꣄ꢫꢒ꣄ꢰꣁ,adhyaksho'
ꢂꢣ꣄ꢫꢵꢫ꣄,adyaay
ꢗꢬ꣄ꢒꢵ,charkaa
ꢆꢬꢵꢮ꣄ꢱꣁꢬꢵꢮ꣄,uraavso'raav
ꢭꢒ꣄ꢰꢫꣁ,lakshayo'
ꢪꢸꢣ꣄ꢬꣁ,mudro'
ꢮꢶꢩꢵꢒ,vibhaaka
ꢫꢸꢮꢬꢵꢜ꣄,yuvaraat'
ꢫꢸꢮꢬꢵꢠꢶ,yuvaraani
ꢫꢸꢮꢬꢵꢙ꣄ꢛꢶ,yuvaraajnyi
ꢲꢸꢡ꣄ꢡꢸꢬꢵꢮ꣄,hutturaav
ꢲꢸꢡ꣄ꢡꢸꢬꢵꢜ꣄,hutturaat'
ꢦ꣄ꢬꢡꢶ ꢧꣁꢳ꣄꣄,prati pho'l'
ꢆꢖ꣄ꢙꢪꢶꢡꢶ,ungjamiti
ꢆꢳ꣄ꢳꢸ,ul'l'u
ꢱꢲꢗꢵꢬ꣄,sahachaar
ꢱꢥ꣄ꢤꢶ,sandhi
ꢦꢬꢱ꣄ꢦꢬ ꢱꢪ꣄ꢪꢥ꣄ꢣꣁ,paraspara sammando'
ꢦꢬꢱ꣄ꢦꢬ ꢏꢱ꣄ꢡꢦꢥ꣄,paraspara o'stapan
ꢃꢲꢵꢬꢸ ꢮꢶꢩꢵꢔ꣄,aahaaru vibhaag
ꢓꢥꢶ ꢮꢶꢩꢵꢔ꣄,khani vibhaag
ꢆꢡ꣄ꢡꢬꢮꢵꢣ꣄,uttaravaad
ꢃꢒ꣄ꢒꢸꢣꣁ,aakkudo'
ꢱꢲꢒꢵꢬ꣄,sahakaar
ꢱꢲꢵꢮ꣄,sahaav
ꢆꢦ ꢪꢥ꣄ꢡꢶꢬꢶ,upa mantiri
ꢆꢦ ꢣꢹꢡ ꢥꢶꢮꢵꢱ꣄,upa doota nivaas
ꢮꢿꢡꢥꣁ,vetano'
ꢆꢦꢶꢬ꣄,upir
ꢮꢿꢥ꣄,ven
ꢂꢣ꣄ꢣꢶ,addi
ꢂꢡꢶꢬꢶꢒ꣄ꢡ,atirikta
ꢄꢗ꣄ꢗꢵ ꢦꢡ꣄ꢡꢬ꣄,ichchaa pattar
ꢂꢥꢸꢒ꣄ꢛꢵ ꢦꢸꢡ꣄ꢬꣁ,anuknjaa putro'
ꢨꢵꢣ꣄ꢫꣁ,baadyo'
ꢨꢞ꣄ꢫꢮꢵꢥ꣄,bad'yavaan
ꢙꢸꢥꢡ꣄ꢮꢵꢥ꣄,junatvaan
ꢓꢿꢡꢶ,kheti
ꢔ꣄ꢬꢲ ꢮꢶꢩꢵꢔ꣄,graha vibhaag
ꢮꢶꢰꢫ ꢱꢸꢗꢶꢒꣁ,vishaya suchiko'
ꢂꢥ꣄ꢡꢬ꣄ ꢬꢵꢙ꣄ꢙꢶ,antar raajji
ꢥꢶꢮꢿꢰ꣄ꢫꣁ,niveshyo'
ꢆꢡ꣄ꢦꢣ꣄,utpad
ꢆꢡ꣄ꢦꢵꢣꢥꣁ,utpaadano'
ꢤꢶꢞꢮꢵꢒ꣄,dhid'avaak
ꢂꢖ꣄ꢔꢱ꣄ꢢꢸ,angasthu
ꢱꣁꢪ꣄ꢨꢸꢳꣁ,so'mbul'o'
ꢮꢾꢡꢥꣁ,ve'tano'
ꢮꢵꢲꢥꣁ,vaahano'
ꢙꢵꢥ꣄ꢮꢵꢱ꣄,jaanvaas
ꢱꣂꢩꢵꢫꢵꢡ꣄ꢬꣁ,sobhaayaatro'
ꢏꢬꢵꢡ꣄,o'raat
ꢗꢸꢜ꣄ꢜꢸ,chut't'u
ꢔꢶꢬꢵꢪ꣄ꢫꣁ,giraamyo'
ꢔꢵꢪꢠ꣄ꢗꢥ꣄,gaamanchan
ꢱꢛ꣄ꢗꢵꢬꢸ ꢥꢰꢿꢤꢥꣁ,sanchaaru nashedhano'
ꢦꢠꢖ꣄ꢗꢵꢫꢡ꣄ ꢬꢵꢙ꣄ꢙꢶ,panangchaayat raajji
ꢦꢖ꣄ꢗꢵꢫꢡꢕꢿꢬ꣄,pangchaayatagher
ꢨ꣄ꢬꢰ꣄ꢜꢵꢗꢵꢬ꣄,brasht'aachaar
ꢪꢭꢶꢥꢵꢗꢵꢬ꣄,malinaachaar
ꢱꢿꢮꣁ,sevo'
ꢱꢿꢮꢒꣁ,sevako'
ꢱꢿꢮꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄,sevo' ke'rnaar
ꢱꢖ꣄ꢓ꣄ꢫꢵꢦꣁꢭ꣄ꢒꣁ,sankhyaapo'lko'
ꢮꢶꢩꢒ꣄ꢰꢸ,vibhakshu
ꢡꣂꢒ꣄ꢱꢥꢶ,toksani
ꢦ꣄ꢬꢡꢷꢒ꣄ꢰꣁ,prateeksho'
ꢦ꣄ꢬꢡꢶꢤ꣄ꢮꢥꢶ,pratidhvani
ꢦ꣄ꢬꢡꢶꢗꢵꢫꢵ,pratichaayaa
ꢦ꣄ꢬꢡꢶ ꢨꢶꢪ꣄ꢨꢸ,prati bimbu
ꢍꢒꢵꢤꢶꢦꢡꢶ,ekaadhipati
ꢱ꣄ꢮꢿꢗ꣄ꢗꢵꢗꢵꢬꢶ,svechchaachaari
ꢌꢭ꣄ꢔꢾ,e'lge'
ꢂꢣ꣄ꢣꢸ,addu
ꢱꢷꢪꣁ,seemo'
ꢱꢷꢪꢵ ꢡꢾꢔꢸꢬꢵꢭ꣄,seemaa te'guraal
ꢂꢣ꣄ꢣꢸ ꢡꢾꢔꢸꢬꢵꢭ꣄,addu te'guraal
ꢭꢶꢦꢶꢒꣁ,lipiko'
