sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard-kyoto,iast,ipa,meaning_english,meaning_tamil,category,source
ꢔ꣄ꢣ꣄ꢫꣁ,गद्या॑,க3த்3யொ,gdyo',gdyO,gdyŏ,gd̪jo,prose,உரைநடை,Education,words
ꢱꢪ꣄ꢩꢵꢰꢠꣁ,सम्भाषणा॑,ஸம்பா4ஷணொ,sambhaashano',sambhASaNO,sambhāṣaṇŏ,s̪əmbʰɑːʂəɳo,conversation,உரையாடல்,Education,words
ꢭꢶꢓ꣄꣄ꢭꣁ,लिख्ला॑,லிக்2லொ,likhlo',likhlO,likhlŏ,lɪkʰlo,"pen, pencil",எழுதுகோல்,Education,words
ꢡꢬꢾ,तरा॑,கரொ,tare',tarE,tarĕ,t̪əɾe,fee,கட்டணம்,Education,words
ꢮ꣄ꢫꢵꢱꣁ,व्यासा॑,வ்யாஸொ,vyaaso',vyAsO,vyāsŏ,ʋjɑːs̪o,essay,கட்டுரை,Education,words
ꢭꢾꢓꢸ,लेखु,லேகு2,le'khu,lEkhu,lĕkhu,lekʰu,letter,கடிதம்,Education,words
ꢭꢴꢾꢓꣁ,ल्ह॑खा॑,லெ:கொ2,lhe'kho',lhEkhO,lhĕkhŏ,lɦekʰo,"arithmetic, account",கணக்கு,Education,words
ꢲꢷꢱꢸ,हीसु,ஹீஸு,heesu,hIsu,hīsu,ɦiːs̪u,"arithmetic, account",கணக்கு,Education,words
ꢔꢠꢶꢶꢡ꣄,गणित्,க3ணித்,ganiit,gaNiit,gaṇiit,gəɳɪɪt̪,mathematics,கணிதம்,Education,words
ꢓꢾꢥꢶ,ख॑नि,கெ2னி,khe'ni,khEni,khĕni,kʰen̪ɪ,story,கதை,Education,words
ꢓꢾꢡꣁ,ख॑ता॑,கெ2தொ,khe'to',khEtO,khĕtŏ,kʰet̪o,story,கதை,Education,words
ꢂꢩꢶꢦ꣄ꢬꢵꢫꢸ ꢱꢣꢱ꣄,अभिप्रायु सदस,அபி4ப்ராயு ஸத3ஸ்,abhipraayu sadas,abhiprAyu sadas,abhiprāyu sadas,əbʰɪpɾɑːju s̪əd̪əs̪,seminar,கருத்தரங்கு,Education,words
ꢒꢭꢵ ꢱꢵꢭꣁ,कलासाला॑,கலாஸாலொ,kalaa saalo',kalA sAlO,kalā sālŏ,kəlɑː s̪ɑːlo,college,கல்லூரி,Education,words
ꢅꢔꢸ ꢮꢶꢣ꣄ꢫꣁ ꢗꢾꢣꢸꢮ꣄,ईगु,ஈகு3,eegu vidyo' che'duv,Igu vidyO cEduv,īgu vidyŏ cĕduv,iːgu ʋɪd̪jo t͡ʃed̪uʋ,education,கல்வி,Education,words
ꢒꢮꢶ,कवि,கவி,kavi,kavi,kavi,kəʋɪ,poet,கவி / கவிஞன்,Education,words
ꢒꢮꢶꢡꣁ,कविता॑,கவிதொ,kavito',kavitO,kavitŏ,kəʋɪt̪o,"song, poem",கவிதை,Education,words
ꢄꢔꢞꢱ꣄ꢡꢿ,इगडस्ते,இக3ட3ஸ்தே,igad'aste,igaDaste,igaḍaste,ɪgəɖəs̪t̪eː,teaching,கற்பித்தல்,Education,words
ꢗꢾꢮ꣄ꢣꢶꢥꢶ,च॑व्दिनि,செவ்தி3னி,che'vdini,cEvdini,cĕvdini,t͡ʃeʋd̪ɪn̪ɪ,learning,கற்றல்,Education,words
ꢱꢶꢒ꣄ꢒꢶꢥꢶ,सिक्किनि,ஸிக்கினி,sikkini,sikkini,sikkini,s̪ɪkkɪn̪ɪ,learning,கற்றல்,Education,words
ꢒꢳ꣄꣄ꢙꢪ꣄,कळ्जम्,கள்ஜம்,kal'jam,kaLjam,kal̤jam,kəɭd͡ʒəm,paper,காகிதம்,Education,words
ꢒꢵꢮ꣄ꢫꣁ,काव्या॑,காவ்யொ,kaavyo',kAvyO,kāvyŏ,kɑːʋjo,epic,காப்பியம் / காவியம்,Education,words
ꢱꢹꢗꢥꣁ,सूचना॑,ஸூசனொ,soochano',sUcanO,sūcanŏ,s̪uːt͡ʃən̪o,notes,குறிப்பு,Education,words
ꢱꢹꢗꢥꢵꢦꣁꢡꢶ,सूचनापा॑ति,ஸூசனாபொதி,soochanaapo'ti,sUcanApOti,sūcanāpŏti,s̪uːt͡ʃən̪ɑːpot̪ɪ,notebook,குறிப்பேடு,Education,words
ꢎꢒꢶ ꢭꢶꢓꢶꢥꢶ,ऐकि लिखिनि,ஐகி லிகி2னி,aiki likhini,aiki likhini,aiki likhini,əɪkɪ lɪkʰɪn̪ɪ,dictation,கேட்டெழுதுதல்,Education,words
ꢦꢸꢱ꣄ꢥꢶ,पुस्नि,புஸ்னி,pusni,pusni,pusni,pus̪n̪ɪ,question,கேள்வி,Education,words
ꢦꢸꢱꢵꢮ꣄,पुसाव्,புஸாவ்,pusaav,pusAv,pusāv,pus̪ɑːʋ,question,கேள்வி,Education,words
ꢲꢵꢡꢰꢬ꣄,हातक्षर्,ஹாதக்ஷர்,haatashar,hAtaSar,hātaṣar,ɦɑːt̪əʂəɾ,"handwriting, signature",கையெழுத்து / கையொப்பம்,Education,words
ꢲꢵꢡꢸꢦꣁꢡꢶ,हातुपोति,ஹாதுபொதி,haatupo'ti,hAtupOti,hātupŏti,ɦɑːt̪upot̪ɪ,handbook,கையேடு,Education,words
ꢲꢱ꣄ꢡꢰꢬ꣄,हस्तक्षर्,ஹஸ்தக்ஷர்,hastashar,hastaSar,hastaṣar,ɦəs̪t̪əʂəɾ,,,Education,words
ꢥꢷꢡꢶꢥꢶꢫꢪꣁ,नीतिनियमा॑,நீதிநியமொ,neetiniyamo',nItiniyamO,nītiniyamŏ,n̪iːt̪ɪn̪ɪjəmo,policy,கொள்கை,Education,words
ꢱꢶꢣ꣄ꢤꢵꢥ꣄ꢡꢸ,सिद्धान्दु,ஸித்3தா4ந்து,siddhaantu,siddhAntu,siddhāntu,s̪ɪd̪d̪ʰɑːn̪t̪u,theory,கோட்பாடு,Education,words
ꢗꢶꢡ꣄ꢬꢸ,चित्रु,சித்ரு,chitru,citru,citru,t͡ʃɪt̪ɾu,picture,சித்திரம்,Education,words
ꢭꣂꢱꢸ,लोसु,லோஸு,losu,losu,losu,loːs̪u,picture,சித்திரம்,Education,words
ꢗꢶꢡ꣄ꢡꢬ꣄,चित्तर्,சித்தர்,chittar,cittar,cittar,t͡ʃɪt̪t̪əɾ,picture,சித்திரம்,Education,words
ꢫꣂꢗꢥꣁ,योच,யோசனொ,yochano',yocanO,yocanŏ,joːt͡ʃən̪o,thought,சிந்தனை,Education,words
ꢥꢥ꣄ꢓꢾꢥꢶ,न:न्खेनि,ந:ன்கெ2னி,nankhe'ni,nankhEni,nankhĕni,n̪ən̪kʰen̪ɪ,short story,சிறுகதை,Education,words
ꢭꣀꢒꢵꢱꢸꢒꢳ꣄ꢙꢾꢪ꣄,लौकासु कळ्जम्,லௌகாஸு கள்ஜெம்,laikaasukal'je'm,laikAsukaLjEm,laikāsukal̤jĕm,ləɪkɑːs̪ukəɭd͡ʒem,newspaper,செய்தித்தாள்,Education,words
ꢱꢪꢵꢗꢵꢬꢸꢦꢡ꣄ꢬꣁ,समाचारुपत्रा॑,ஸமாசாருபத்ரொ,samaachaarupatro',samAcArupatrO,samācārupatrŏ,s̪əmɑːt͡ʃɑːɾupət̪ɾo,newspaper,செய்தித்தாள்,Education,words
ꢔꢮ꣄ꢥꣁ,गव्नो,க3வ்னொ,gavno',gavnO,gavnŏ,gəʋn̪o,poetry,செய்யுள்,Education,words
ꢦꢣ꣄ꢫꢪ꣄,पद्यम,பத்3யம்,padyam,padyam,padyam,pəd̪jəm,poetry,செய்யுள்,Education,words
ꢱ꣄ꢭꣂꢒ꣄,स्लोक्,ஸ்லோக்,slok,slok,slok,s̪loːk,poetry,செய்யுள்,Education,words
ꢮꢡ꣄ꢡꣁ,वत्ता॑,வத்தொ,vatto',vattO,vattŏ,ʋət̪t̪o,word,சொல்,Education,words
ꢒꣁꢰ꣄,कोष,கோஷ்,ko'sh,kOS,kŏṣ,koʂ,lexicon,சொற்களஞ்சியம்,Education,words
ꢱꢨ꣄ꢣ ꢩꢠ꣄ꢞꢵꢬ꣄,सब्द पण्डार,ஸப்3த3 ப4ண்டா3ர்,sabda bhand'aar,sabda bhaNDAr,sabda bhaṇḍār,s̪əbd̪ə bʰəɳɖɑːɾ,lexicon,சொற்களஞ்சியம்,Education,words
ꢱꣁꢤꢥꣁ,सोधना॑,ஸோத4னொ,so'dhano',sOdhanO,sŏdhanŏ,s̪od̪ʰən̪o,test,சோதனை,Education,words
ꢦꢬꢷꢒ꣄ꢰꣁ,परीक्षो,பரீக்ஷொ,pareeksho',parIkSO,parīkṣŏ,pəɾiːkʂo,test,சோதனை,Education,words
ꢪꢥ꣄ꢡꢸ,मन्तु,மந்து,mantu,mantu,mantu,mən̪t̪u,mistake,தவறு,Education,words
ꢗꢹꢒ꣄,छूक्,சூக்,chook,cUk,cūk,t͡ʃuːk,mistake,தவறு,Education,words
ꢒꢸꢠ꣄ꢜꢸ,कुण्टु,குண்டு,kunt'u,kuNTu,kuṇṭu,kuɳʈu,mistake,தவறு,Education,words
ꢪꢵꢫ꣄ ꢩꢵꢰꣁ,माय्भाषा॑,மாய்பா4ஷொ,maay bhaasho',mAy bhASO,māy bhāṣŏ,mɑːj bʰɑːʂo,mother tongue,தாய்மொழி,Education,words
ꢪꢵꢡ꣄ꢬꢸꢩꢵꢰꣁ,मात्रुभाषा॑,மாத்ருபா4ஷொ,maatrubhaasho',mAtrubhASO,mātrubhāṣŏ,mɑːt̪ɾubʰɑːʂo,mother tongue,தாய்மொழி,Education,words
ꢒꢭ꣄ꢙꢾꢪ꣄,कल्जेम्,கள்ஜம்,kalje'm,kaljEm,kaljĕm,kəld͡ʒem,paper,தாள்,Education,words
ꢥꣀꢦꢸꢠ꣄ꢫ,नैपुण्य,நைபுண்ய,naipunya,naipuNya,naipuṇya,n̪əɪpuɳjə,skill,திறன்,Education,words
ꢮꢶꢪꢬ꣄ꢱꢥꣁ,विमर्सना॑,விமர்ஸனொ,vimarsano',vimarsanO,vimarsanŏ,ʋɪməɾs̪ən̪o,criticism,திறனாய்வு,Education,words
ꢔꢸꢠꢣꣂꢰ ꢮꢶꢗꢵꢬ꣄,गुणदोष विचार,கு3ணதோ3ஷ விசார்,gunadosha vichaar,guNadoSa vicAr,guṇadoṣa vicār,guɳəd̪oːʂə ʋɪt͡ʃɑːɾ,criticism,திறனாய்வு,Education,words
ꢮꢶꢩꢵꢔ꣄,विभाग्,விபா4க்3,vibhaag,vibhAg,vibhāg,ʋɪbʰɑːg,department,துறை,Education,words
ꢦꢬꢷꢰꢾ,परीक्षे,பரீக்ஷொ,pareeshe',parISE,parīṣĕ,pəɾiːʂe,examination,தேர்வு,Education,words
ꢦꢬꢷꢰꢵ ꢢꢵꢪ꣄,परीक्षा थाम्,பரீக்ஷா தா2ம்,pareeshaa thaam,parISA thAm,parīṣā thām,pəɾiːʂɑː t̪ʰɑːm,examination centre,தேர்வுமையம்,Education,words
ꢃꢬꢪ꣄ꢩ ꢲꢸꢬꢶ,आरम्ब हुरि,ஆரம்ப4ஹுரி,aarambha huri,Arambha huri,ārambha huri,ɑːɾəmbʰə ɦuɾɪ,primary school,தொடக்கப்பள்ளி,Education,words
ꢮꢡ꣄ꢡꢵ ꢡꣁꢬꢠ꣄,वत्ताता॑रण,வத்தாதொரண்,vattaa to'ran,vattA tOraN,vattā tŏraṇ,ʋət̪t̪ɑː t̪oɾəɳ,sentence,தொடரன்,Education,words
ꢗꢵꢭ꣄ꢗꢭꢥ꣄,चाल्चलन्,சால்சலன்,chaalchalan,cAlcalan,cālcalan,t͡ʃɑːlt͡ʃələn̪,behaviour,நடத்தை,Education,words
ꢗꢭ꣄ꢥꢶ,चल्नि,சல்னி,chalni,calni,calni,t͡ʃəln̪ɪ,behaviour,நடத்தை,Education,words
ꢥꢜꢥꣁ,नटना॑,நடனொ,nat'ano',naTanO,naṭanŏ,n̪əʈən̪o,dance,நடனம்,Education,words
ꢥꢵꢗꢸ,नाचु,நாசு,naachu,nAcu,nācu,n̪ɑːt͡ʃu,drama,நாடகம்,Education,words
ꢭꣁꢒ꣄ꢓꢾꢥꢶ,लोक्ख॑नि,லோக்கெ2னி,lo'kkhe'ni,lOkkhEni,lŏkkhĕni,lokkʰen̪ɪ,folk tale,நாடோடிக் கதை,Education,words
ꢭꣂꢒ꣄ꢔꢷꢡ꣄,लोक्गीत्,லோக்கீ3த்,lokgeet,lokgIt,lokgīt,loːkgiːt̪,folk song,நாடோடிப் பாடல்,Education,words
ꢣꢿꢱꢶꢔꢷꢡ꣄,देसिगीत,தே3ஸிகீ3த்,desigeet,desigIt,desigīt,d̪eːs̪ɪgiːt̪,folk song,நாடோடிப் பாடல்,Education,words
ꢦꣁꢡꢶ,पा॑ति,பொதி,po'ti,pOti,pŏti,pot̪ɪ,book,நூல்,Education,words
ꢦꢸꢱ꣄ꢡꢮ꣄,पुस्तव्,புஸ்தவ்,pustav,pustav,pustav,pus̪t̪əʋ,book,நூல்,Education,words
ꢦꢸꢱ꣄ꢡꢶꢒꣁ,पुस्तिका॑,புஸ்திகொ,pustiko',pustikO,pustikŏ,pus̪t̪ɪko,book,நூல்,Education,words
ꢦꣁꢡꢶꢔ꣄ꢕꢿꢬ꣄,पा॑तिघेर्,பொதிகே4ர்,po'tiggher,pOtiggher,pŏtiggher,pot̪ɪggʰeːɾ,library,நூலகம்,Education,words
ꢩꢠ꣄ꢞꢵꢬꢸꢕꢿꢬ꣄,भण्डारुघेर्,ப4ண்டா3ருகே4ர்,bhand'aarugher,bhaNDArugher,bhaṇḍārugher,bʰəɳɖɑːɾugʰeːɾ,library,நூலகம்,Education,words
ꢮꢬ꣄ꢠꢪꢵꢭꣁ,वर्णमाला॑,வர்ணமாலொ,varnamaalo',varNamAlO,varṇamālŏ,ʋəɾɳəmɑːlo,alphabet,நெடுங்கணக்கு,Education,words
ꢭꢒ꣄ꢰ꣄꣄ꢫꣁ,लक्ष्या॑,லக்ஷ்யொ,lakshyo',lakSyO,lakṣyŏ,ləkʂjo,aim,நோக்கம்,Education,words
ꢤ꣄ꢫꢾꢫꢸ,ध्येयु,த்4யேயு,dhye'yu,dhyEyu,dhyĕyu,d̪ʰjeju,aim,நோக்கம்,Education,words
ꢦꣁꢒ꣄,पोक्,போக்,po'k,pOk,pŏk,pok,page,பக்கம்,Education,words
ꢦꢸꢜꣁ,पुटा॑,புடொ,put'o',puTO,puṭŏ,puʈo,page,பக்கம்,Education,words
ꢱ꣄ꢥꢵꢡꢒꣁ,स्नातका॑,ஸ்னாதகொ,snaatako',snAtakO,snātakŏ,s̪n̪ɑːt̪əko,graduate,பட்டதாரி,Education,words
ꢆꢦꢵꢤꢶ,उपाधि,உபாதி4,upaadhi,upAdhi,upādhi,upɑːd̪ʰɪ,degree,பட்டம்,Education,words
ꢗ꣄qꢡꢸꢮ꣄ ꢒꣁꢜ꣄ꢜꣁ ꢮꢵꢗꢒꢱꢵꢭꣁ,च॑तुव्का॑ट्टा॑ वाचकसाला॑,செது3வ்கொ2ட்டொ,chqtuv ko't't'o' vaachakasaalo',cqtuv kOTTO vAcakasAlO,cqtuv kŏṭṭŏ vācakasālŏ,t͡ʃqt̪uʋ koʈʈo ʋɑːt͡ʃəkəs̪ɑːlo,reading room/library,படிப்பகம் /நூலகம்,Education,words
ꢗꢾꢣꢸꢮ꣄,च॑दुव्,செது3வ்,che'duv,cEduv,cĕduv,t͡ʃed̪uʋ,studies,படிப்பு,Education,words
ꢅꢔ꣄,ईग्,ஈக்3,eeg,Ig,īg,iːg,studies,படிப்பு,Education,words
ꢧꢬꢪ꣄,फरम्,ப2ரம்,pharam,pharam,pharam,pʰəɾəm,form,படிவம்,Education,words
ꢬꢱꢶꢥꢶ,रचिनि,ரசினி,rasini,rasini,rasini,ɾəs̪ɪn̪ɪ,creative work,படைப்பு,Education,words
ꢱꢛ꣄ꢗꢶꢒꣁ,सञ्चिका॑,ஸஞ்சிகொ,sanchiko',saJcikO,sañcikŏ,s̪əɲt͡ʃɪko,magazine,பத்திரிகை,Education,words
ꢙꢾꢮꢵꢦ꣄,ज॑वाप्,ஜெவாப்,je'vaap,jEvAp,jĕvāp,d͡ʒeʋɑːp,answer,பதில்,Education,words
ꢂꢩ꣄ꢫꢵꢱ꣄,अभ्यास्,அப்4யாஸ்,abhyaas,abhyAs,abhyās,əbʰjɑːs̪,learning,பயில்தல்,Education,words
ꢙꢿꢪ꣄,जेम्,ஜேம்,jem,jem,jem,d͡ʒeːm,prize,பரிசு,Education,words
ꢦꢵꢬꢶꢡꣂꢱꢶꢒꣁ,पारितोसिका॑,பாரிதோஸிகொ,paaritosiko',pAritosikO,pāritosikŏ,pɑːɾɪt̪oːs̪ɪko,prize,பரிசு,Education,words
ꢦꢬꢶꢱꣁꢤꢥꣁ,परिसोधना॑,பரிஸோத4னொ,pariso'dhano',parisOdhanO,parisŏdhanŏ,pəɾɪs̪od̪ʰən̪o,experiment,பரிசோதனை,Education,words
ꢦꢬ꣄ꢒ꣄ꢰꣁ,परिक्षो,பரிக்ஷொ,parksho',parkSO,parkṣŏ,pəɾkʂo,examinations,பரிட்சை,Education,words
ꢱꢬ꣄ꢮꢒꢭꢵꢱꢵꢭꣁ,सर्वकलासाला॑,ஸர்வகலாஸாலொ,sarvakalaasaalo',sarvakalAsAlO,sarvakalāsālŏ,s̪əɾʋəkəlɑːs̪ɑːlo,university,பல்கலைக் கழகம்,Education,words
ꢲꢸꢬꢶ,हुरि,ஹுரி,huri,huri,huri,ɦuɾɪ,school,பள்ளி / பள்ளிக்கூடம்,Education,words
ꢙꢸꢥ꣄ꢥꢮꢵꢗꢸ,जुन्नवाचु,ஜுன்னவாசு,junnavaachu,junnavAcu,junnavācu,d͡ʒun̪n̪əʋɑːt͡ʃu,proverb,பழமொழி,Education,words
ꢦ꣄ꢬꢵꢮꢵꢗꢸ,प्रावाचु,ப்ராவாசு,praavaachu,prAvAcu,prāvācu,pɾɑːʋɑːt͡ʃu,proverb,பழமொழி,Education,words
ꢔꢷꢡ꣄,गीत्,கீ3த்,geet,gIt,gīt,giːt̪,song,பாட்டு,Education,words
ꢦꢵꢝꢮꢶꢮꢬꢠꣁ,पाठविवरणा॑,பாட2விவரணொ,paat'havivarano',pAThavivaraNO,pāṭhavivaraṇŏ,pɑːʈʰəʋɪʋəɾəɳo,syllabus,பாடத்திட்டம்,Education,words
ꢦꢵꢝꢦꢸꢱ꣄ꢡꢮ꣄,पाठ्पुस्तव्,பாட2புஸ்தவ்,paat'hapustav,pAThapustav,pāṭhapustav,pɑːʈʰəpus̪t̪əʋ,textbook,பாடப்புத்தகம்,Education,words
ꢦꢵꢝ꣄,फठ,பாட்2,paat'h,pATh,pāṭh,pɑːʈʰ,lesson,பாடம்,Education,words
ꢦꣁꢬꣁ,पा॑रा॑,பொரொ,po'ro',pOrO,pŏrŏ,poɾo,error,பிழை,Education,words
ꢪꢥ꣄ꢡꢸ,मन्तु,மந்து,mantu,mantu,mantu,mən̪t̪u,error,பிழை,Education,words
ꢭꢵꢪ꣄ꢓꢾꢥꢶ,लाम्ख॑नि,லாம்கெ2னி,laamkhe'ni,lAmkhEni,lāmkhĕni,lɑːmkʰen̪ɪ,novel,புதினம்,Education,words
ꢥꣁꢮ꣄ꢮꢒꢮꢶꢡꣁ,ना॑व्वकविता॑,நொவ்வ கவிதொ,no'vvakavito',nOvvakavitO,nŏvvakavitŏ,n̪oʋʋəkəʋɪt̪o,"modern poetry, free verse",புதுக்கவிதை,Education,words
ꢦꢸꢬꢵꢠꣁ,पुराणा॑,புராணொ,puraano',purANO,purāṇŏ,puɾɑːɳo,mythology,புராணம்,Education,words
ꢪꢴꢵ ꢏꢣ꣄ꢣꢶ,म्हा आ॑द्दि,மா: ஒத்3தி3,mhaa o'ddi,mhA Oddi,mhā ŏddi,mɦɑː od̪d̪ɪ,professor,பேராசிரியர்,Education,words
ꢭꢶꢒ꣄ꢭꣁ,लिक्ला॑,லிக்லொ,liklo',liklO,liklŏ,lɪklo,pen,பேனா,Education,words
ꢮꢶꢰꢫꢸ,विषयु,விஷயு,vishayu,viSayu,viṣayu,ʋɪʂəju,subject,பொருள்,Education,words
ꢫꢥ꣄ꢡ꣄ꢬꢸꢮꢶꢣ꣄ꢫꣁ,यन्त्रु विद्या॑,யந்த்ருவித்3யொ,yantruvidyo',yantruvidyO,yantruvidyŏ,jən̪t̪ɾuʋɪd̪jo,engineering,பொறியியல்,Education,words
