ꢦꢣ꣄ꢫꢪ꣄,poetry
ꢱ꣄ꢭꣂꢒ꣄,poetry
ꢮꢡ꣄ꢡꣁ,word
ꢒꣁꢰ꣄,lexicon
ꢱꢨ꣄ꢣ ꢩꢠ꣄ꢞꢵꢬ꣄,lexicon
ꢱꣁꢤꢥꣁ,test
ꢦꢬꢷꢒ꣄ꢰꣁ,test
ꢪꢥ꣄ꢡꢸ,mistake
ꢗꢹꢒ꣄,mistake
ꢒꢸꢠ꣄ꢜꢸ,mistake
ꢪꢵꢫ꣄ ꢩꢵꢰꣁ,mother tongue
ꢪꢵꢡ꣄ꢬꢸꢩꢵꢰꣁ,mother tongue
ꢒꢭ꣄ꢙꢾꢪ꣄,paper
ꢥꣀꢦꢸꢠ꣄ꢫ,skill
ꢮꢶꢪꢬ꣄ꢱꢥꣁ,criticism
ꢔꢸꢠꢣꣂꢰ ꢮꢶꢗꢵꢬ꣄,criticism
ꢮꢶꢩꢵꢔ꣄,department
ꢦꢬꢷꢰꢾ,examination
ꢦꢬꢷꢰꢵ ꢢꢵꢪ꣄,examination centre
ꢃꢬꢪ꣄ꢩ ꢲꢸꢬꢶ,primary school
ꢮꢡ꣄ꢡꢵ ꢡꣁꢬꢠ꣄,sentence
ꢗꢵꢭ꣄ꢗꢭꢥ꣄,behaviour
ꢗꢭ꣄ꢥꢶ,behaviour
ꢥꢜꢥꣁ,dance
ꢥꢵꢗꢸ,drama
ꢭꣁꢒ꣄ꢓꢾꢥꢶ,folk tale
ꢭꣂꢒ꣄ꢔꢷꢡ꣄,folk song
ꢣꢿꢱꢶꢔꢷꢡ꣄,folk song
ꢦꣁꢡꢶ,book
ꢦꢸꢱ꣄ꢡꢮ꣄,book
ꢦꢸꢱ꣄ꢡꢶꢒꣁ,book
ꢦꣁꢡꢶꢔ꣄ꢕꢿꢬ꣄,library
ꢩꢠ꣄ꢞꢵꢬꢸꢕꢿꢬ꣄,library
ꢮꢬ꣄ꢠꢪꢵꢭꣁ,alphabet
ꢭꢒ꣄ꢰ꣄꣄ꢫꣁ,aim
ꢤ꣄ꢫꢾꢫꢸ,aim
ꢦꣁꢒ꣄,page
ꢦꢸꢜꣁ,page
ꢱ꣄ꢥꢵꢡꢒꣁ,graduate
ꢆꢦꢵꢤꢶ,degree
ꢗ꣄qꢡꢸꢮ꣄ ꢒꣁꢜ꣄ꢜꣁ ꢮꢵꢗꢒꢱꢵꢭꣁ,reading room/library
ꢗꢾꢣꢸꢮ꣄,studies
ꢅꢔ꣄,studies
ꢧꢬꢪ꣄,form
ꢬꢱꢶꢥꢶ,creative work
ꢱꢛ꣄ꢗꢶꢒꣁ,magazine
ꢙꢾꢮꢵꢦ꣄,answer
ꢂꢩ꣄ꢫꢵꢱ꣄,learning
ꢙꢿꢪ꣄,prize
ꢦꢵꢬꢶꢡꣂꢱꢶꢒꣁ,prize
ꢦꢬꢶꢱꣁꢤꢥꣁ,experiment
ꢦꢬ꣄ꢒ꣄ꢰꣁ,examinations
ꢱꢬ꣄ꢮꢒꢭꢵꢱꢵꢭꣁ,university
ꢲꢸꢬꢶ,school
ꢙꢸꢥ꣄ꢥꢮꢵꢗꢸ,proverb
ꢦ꣄ꢬꢵꢮꢵꢗꢸ,proverb
ꢔꢷꢡ꣄,song
ꢦꢵꢝꢮꢶꢮꢬꢠꣁ,syllabus
ꢦꢵꢝꢦꢸꢱ꣄ꢡꢮ꣄,textbook
ꢦꢵꢝ꣄,lesson
ꢦꣁꢬꣁ,error
ꢪꢥ꣄ꢡꢸ,error
ꢭꢵꢪ꣄ꢓꢾꢥꢶ,novel
ꢥꣁꢮ꣄ꢮꢒꢮꢶꢡꣁ,"modern poetry, free verse"
ꢦꢸꢬꢵꢠꣁ,mythology
ꢪꢴꢵ ꢏꢣ꣄ꢣꢶ,professor
ꢭꢶꢒ꣄ꢭꣁ,pen
ꢮꢶꢰꢫꢸ,subject
ꢫꢥ꣄ꢡ꣄ꢬꢸꢮꢶꢣ꣄ꢫꣁ,engineering
ꢫꢥ꣄ꢡ꣄ꢬꢸ ꢮꢶꢔ꣄ꢛꢵꢥ꣄,engineering
ꢦꣁꢥ꣄ꢡꢶ,competition
ꢱ꣄ꢦꢬ꣄ꢤꣁ,competition
ꢏꢫ꣄ꢣꢦꢥ꣄,treatment
ꢲꣁꢔꢡ꣄,medicine
ꢥꢴꢸꢬꢸꢥꢸ ꢲꢸꢬꢶ,nursery school
ꢮꢶꢣ꣄ꢫꢵꢬ꣄ꢡꢶ,student
ꢮꢶꢣ꣄ꢫꢵꢬ꣄ꢡ꣄ꢡꢶꢥꢶ,student
ꢧꣀꢭꢮꢬ꣄ꢔꢸ,first class
ꢦ꣄ꢬꢤꢵꢥꣁꢣ꣄ꢣꢶ,principal
ꢧꣀꢭꢯ꣄꣄ꢬꢿꢥꢶ,first rank
ꢪꣀ,ink
ꢩꢵꢰꣁ,language
ꢩꢵꢰꢵ ꢬꢷꢡꢶ,language style
ꢩꢵꢰꢵ ꢪꢬ꣄ꢗꢶꢥꢶ,translation
ꢂꢥꢸꢮꢵꢣ꣄,translation
ꢩꢵꢱꢵꢥ꣄ꢡꢬ꣄,translation
ꢡꢬ꣄ꢙꢪꣁ,translation
ꢩꢵꢰꢵꢮꢶꢔ꣄ꢛꢵꢥ꣄,linguistics
ꢮꢬ꣄ꢒꢸ,classroom
ꢗꢬꢶꢡ꣄ꢬꢸ,history
ꢯꢨ꣄ꢣꢸ ꢴ,word
ꢮꢔ꣄ꢛꢵꢥ꣄,science
ꢮꢔ꣄ꢛꢵꢥꢶ,scientist
ꢯꣁꢞ꣄ꢠꢶ,leave
ꢯꣂꢞꢸ,leave
ꢱꣁꢞ꣄ꢮꢵꢬ꣄,holiday
ꢙꢮꢵꢨ꣄,answer
ꢮꢶꢮꢵꢡ꣄,debate
ꢦ꣄ꢬꢰ꣄ꢥꣁ,question
ꢦꢸꢱꢶꢥꢶ,question
ꢦ꣄ꢬꢰ꣄ꢥ ꢦꢡ꣄ꢬꣁ,question paper
ꢒꣁꢪ꣄ꢪꢵ ꢂꢩ꣄ꢫꢵꢱ꣄,home work
ꢙꢾꢭ꣄ꢪꢶꢥ꣄,aluminium
ꢭꢴꣁꢔꢠ꣄,iron
ꢒꢾꢱ꣄ꢡꢸꢭ꣄,lead
ꢭꣂꢲꢸ,metal
ꢦꢛ꣄ꢗꢭꣂꢲꢸ,"an alloy of iron, gold, silver, brass and copper"
ꢂꢣ꣄ꢣꢪ꣄,glass
ꢲꢦꢵꢥ꣄,glass
ꢣꢮ꣄ꢥꣁ,glass
ꢪꢸꢒ꣄ꢬꣁ,glass
ꢔꢵꢥ꣄ꢡꢪ꣄,magnet
ꢡꢪ꣄ꢨꢾ,copper
ꢡꢪ꣄ꢨꢸꢬꢪ꣄,copper
ꢡꢭ꣄,tin
ꢡꢾꢒꢜ꣄,tin
ꢱꣁꢥ꣄ꢥꣁ,gold
ꢱꣁꢬ꣄ꢠꢸ,gold
ꢂꢦ꣄ꢬꢛ꣄ꢙꢶ,gold
ꢡꢸꢡ꣄ꢡꢥꢵꢔ꣄,zinc
ꢥꢵꢔ꣄,zinc
ꢭꢷꢡꢸ,brass
ꢒꢱꣁ,bronze
ꢬꢸꢦ꣄ꢦꣁ,silver
ꢒꣂꢜ꣄,where
ꢒꢶꢡ꣄ꢒ,how many
ꢒꢶꢡ꣄ꢒꢫꣁ,how manieth
ꢒꣂꢥ꣄,how manieth
ꢒꢶꢱꣁ,how
ꢒꣂꢥꢒ꣄,how
ꢒꢶꢱꢵꢫꣁ,what type of
ꢒꢶꢱꢵꢫꢾ,what type of
ꢓꣁꢨ꣄ꢨꣁ,when
ꢒꢶꢱꣁ,what way
ꢒꣁꢥ꣄ ꢣꢶꢥ꣄ꢥꢸ,which day
ꢒꢵꢫ꣄,what
ꢒꢵꢫꣁ,what
ꢒꣂꢥꢾ,what
ꢒꣂꢥ꣄ꢫꢾ,what
ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄,recognition
ꢂꢗ꣄ꢗꢸ,axis
ꢜꢖ꣄ꢒꢸ,axis
ꢦꢡ꣄ꢬꢮꢵꢲꢶꢥꢶ,post
ꢦꢡ꣄ꢬꢮꢵꢲꢒꣁ,postman
ꢦꢡ꣄ꢬꢮꢵꢲꣁ,postman
ꢭꢿꢓꢸꢮꢵꢥ꣄,postman
ꢦꢡ꣄ꢬꢮꢵꢲ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,post office
ꢒꣂꢰ꣄ꢜꢸ,"table, schedule"
ꢆꢞ꣄ꢔꢞ꣄ꢠꢶ,oppression
ꢣꢪꢥꣁ,oppression
ꢒꢸꢣꣁ,pawn
ꢒꢸꢣꣁ,mortgage
ꢓꢵꢭ꣄ꢣꢳ꣄ ꢓꢵꢭ꣄ꢣꢾꢳꢪ꣄,basement
ꢃꢤꢵꢬꢸ ꢨꢵꢡ꣄ꢫꢡꣁ,fundamental right
ꢱ꣄ꢬꢿꢠꢶꢗꢵꢭ꣄,parade
ꢂꢡ꣄ꢒꢫꢵꢬ꣄,"power, authority"
ꢂꢡ꣄ꢒ꣄ꢫꢵꢬꢶ,officer
ꢪꢥ꣄ꢡ꣄ꢬꢶ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,ministry
ꢪꢥ꣄ꢡ꣄ꢬꢶ,minister
ꢂꢪꢵꢡ꣄ꢫꣁ,minister
ꢪꢥ꣄ꢡ꣄ꢬꢶꢱꢨꣁ,cabinet
ꢯꢵꢥ꣄ꢡꢶ,peace
ꢱꢖ꣄ꢕꢜꢶꢒꣁ,organizer
ꢱꢛ꣄ꢗꢭꢥꢒꢵꢬꣁ,organizer
ꢮꢶꢣꢿꢱ꣄,foreign country
ꢩꢬꢳꢡꢿꢱ꣄,foreign country
ꢬꢙꣁ,king
ꢬꢵꢜ꣄,king
ꢩꢹꢦꣁ,king
ꢩꢹꢦꢡꢶ,king
ꢬꢠꢶ,queen
ꢬꢵꢜꢳꢶ,queen
ꢱꢪ꣄ꢱ꣄ꢢꢵꢦꢥꣁ,constitution
ꢱꢪ꣄ꢮꢶꢤꢵ,constitution
ꢬꢵꢙꢥꢷꢡꢶꢮꢵꢥ꣄,politician
ꢱꢬ꣄ꢒꢵꢬ꣄,government
ꢬꢵꢙꢵꢖ꣄ꢔꢸ,government
ꢬꢵꢙ꣄ꢩꢮꢥ꣄,government house
ꢬꢮꢸꢳ꣄,palace
ꢦ꣄ꢬꢵꢱꢵꢣꣁ,palace
ꢍꢒꢒ꣄,unit
ꢄꢒꢵꢫ꣄,unit
ꢭꢵꢜ꣄,wave
ꢒꢵꢬ꣄ꢫꢵꢭꢫ ꢩꢰꣁ,official language
ꢂꢡ꣄ꢒꢵꢬꢶ,officer
ꢂꢮ꣄ꢱꢬꢸ ꢱꢵꢱꢥꣁ,emergency rule
ꢃꢦꢡ꣄ꢒꢵꢭꢸ ꢱꢵꢱꢥꣁ,emergency rule
ꢂꢮ꣄ꢱꢬ꣄ꢱ꣄ꢢꢶꢡꢶ,emergency
ꢨꣁꢮ꣄ꢥꢶꢕꢵꢜ꣄,calling bell
ꢦꢬꢶꢪꢵꢠ꣄,size
ꢦ꣄ꢬꢒꢜꢥꣁ,report
ꢃꢮꢿꢣꢥꣁ,report
ꢮꢶꢰꢫꢒꢳꢞ꣄ꢠꢶ,report
ꢦ꣄ꢬꢒꢞ꣄ꢠꢵꢬ꣄,announcer
ꢦ꣄ꢬꢒꢞꢠꣁꢒꢾꢬ꣄ꢥꢵꢬ꣄,announcer
ꢮꢶꢰꢫꢸ ꢒꢳꢞ꣄ꢥꢵꢬ꣄,announcer
ꢱꢹꢗꢥꣁ,"notice, announcement"
ꢱꢹꢗꢥꢵ ꢦꣁꢭ꣄ꢒꣁ,notice board
ꢂꢥꢸꢪꢡ꣄,permission
ꢂꢥꢸꢪꢡ꣄ ꢱꢹꢗꢶ,permit
ꢂꢥꢸꢩꢮ꣄,experi ence
ꢒꢨ꣄ꢙꣁ,encroachment
ꢃꢒ꣄ꢬꢪꢠꣁ,encroachment
ꢱꢵꢱꢥꣁ,rule
ꢱꣃꢱꢱ꣄ꢡꢾ,rule
ꢱꣃꢱꢶꢥꢶ,rule
ꢬꢵꢙ꣄ꢫ ꢩꢰꣁ,administrative language
ꢃꢙ꣄ꢛꢾ,order
ꢥꢶꢫꣂꢔꣁ,commission
ꢃꢫꣂꢔ꣄,commission
ꢥꢶꢫꣂꢔꢶ,commissioner
ꢃꢫꣂꢒꢶ,commissioner
ꢂꢣ꣄ꢭꢥ꣄,support
ꢂꢣ꣄ꢥꢶ,support
ꢭꢵꢨ꣄,profit
ꢂꢣꢵꢮ꣄,profit
ꢦ꣄ꢬꢩꢸꢡ꣄ꢮꣁ,domination
ꢂꢬ꣄ꢒ꣄ꢫꢵꢬ꣄,domination
ꢃꢤꢶꢦꢡ꣄ꢫꣁ,domination
ꢆꢡ꣄ꢦꢵꢣꢥꢱꢸꢭ꣄ꢒꣁ,excise duty
ꢱꢸꢭ꣄ꢒꣁ,tax
ꢒꢬꣁ,tax
ꢃꢫꢸꢱ꣄ꢣꢠ꣄ꢞꢥꣁ,life imprisonment
ꢆꢡ꣄ꢱꢵꢲ꣄,zeal
ꢒꢮ꣄ꢡꢸꢒꣁ,zeal
ꢃꢭꣂꢱꢥꣁ,suggestion
ꢂꢩꢶꢦ꣄ꢬꢵꢫꢸ,suggestion
ꢭꢶꢓꢾꢦꢡ꣄ꢡꢬ꣄,record/document
ꢭꢿꢓ ꢦ꣄ꢬꢪꢵꢠꣁ,record/document
ꢱꢵꢱꢥꢦꢒ꣄ꢰꣁ,ruling party
ꢬꢵꢙ꣄ꢦꢵꢭ꣄,governor
ꢬꢵꢙ꣄ꢦꢵꢭꢥꣁ,governance
ꢏꢦ꣄ꢦꢶꢭꢶꢥꢶ,"consent, accord"
ꢱꢪ꣄ꢪꢡ꣄,"consent, accord"
ꢒꢨꢥ꣄ꢣꢸꢱꢬ꣄ꢒꢵꢬ꣄,interim government
ꢂꢥ꣄ꢡꢬ꣄ꢥꢶꢰꢾꢤ꣄,interim stay
ꢪꢴꢣ꣄ꢣꢶꢪꢸ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,interim stay
ꢣꢾꢬ꣄ꢒꢭꢶ,"middle man, broker"
ꢪꢴꢣ꣄ꢫꢮꢬ꣄ꢡꢶ,"middle man, broker"
ꢂꢮ꣄ꢞꢒꢵꢭꢸ ꢗꢸꢥꢵꢮ꣄,mid-term pole
ꢪꢴꢣ꣄ꢣꢶꢪ꣄ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,suspension/interruption
ꢂꢮꢭꢪ꣄ꢨ꣄ꢥꣁ,suspension/interruption
ꢡꢡ꣄ꢒꢵꢭꢸ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,suspension/interruption
ꢌꢠ꣄ꢔꢶꢥꢶ,accordance
ꢂꢥꢸꢬꢹꢦꢡꣁ,accordance
ꢱꢲ ꢪꢥ꣄ꢡꢶꢬꢶ,minister for state
ꢱꢾꢬ꣄ꢗꢥ꣄ꢩꢵꢰꣁ,link language
ꢱꢥ꣄ꢣꢶ ꢩꢵꢰꣁ,link language
ꢱꢪ꣄ꢫꢸꢒ꣄ꢡ ꢱꢖ꣄ꢕꣁ,federation
ꢱꢛ꣄ꢙꢶꢒꢾ,issue
ꢩꢵꢬꢡꢥꢶꢬ꣄ꢮꢵꢲꢸꢱꢿꢮꣁ,Indian Admini strative Service
ꢩꢵꢬꢡ ꢂꢦꢬꢵꢤꢸ ꢱꢵꢱꢥꣁ,Indian Penal Code-IPC
ꢃꢥ꣄ꢣꣂꢭ꣄,movement
ꢒꢵꢬ꣄ꢫꢵꢭꢫ ꢱꢖ꣄ꢔꢪꣁ,directorate
ꢥꢶꢬ꣄ꢮꢵꢲꢶ,director
ꢥꢶꢬ꣄ꢣꢿꢱꢒ꣄,director
ꢂꢤ꣄ꢫꢒ꣄ꢰꣁ,director
ꢂꢣ꣄ꢫꢵꢫ꣄,chapter
ꢗꢬ꣄ꢒꢵ,charkha
ꢆꢬꢵꢮ꣄ꢱꣁꢬꢵꢮ꣄,"stock, balance"
ꢭꢒ꣄ꢰꢫꣁ,target
ꢪꢸꢣ꣄ꢬꣁ,"stamp, seal"
ꢮꢶꢩꢵꢒ,department
ꢫꢸꢮꢬꢵꢜ꣄,prince
ꢫꢸꢮꢬꢵꢠꢶ,princess
ꢫꢸꢮꢬꢵꢙ꣄ꢛꢶ,princess
ꢲꢸꢡ꣄ꢡꢸꢬꢵꢮ꣄,import
ꢲꢸꢡ꣄ꢡꢸꢬꢵꢜ꣄,import
ꢦ꣄ꢬꢡꢶ ꢧꣁꢳ꣄꣄,compensation
ꢆꢖ꣄ꢙꢪꢶꢡꢶ,ceiling
ꢆꢳ꣄ꢳꢸ,abetment
ꢱꢲꢗꢵꢬ꣄,"agreement, treaty, pact"
ꢱꢥ꣄ꢤꢶ,"agreement, treaty, pact"
ꢦꢬꢱ꣄ꢦꢬ ꢱꢪ꣄ꢪꢥ꣄ꢣꣁ,co - relation
ꢦꢬꢱ꣄ꢦꢬ ꢏꢱ꣄ꢡꢦꢥ꣄,co - relation
ꢃꢲꢵꢬꢸ ꢮꢶꢩꢵꢔ꣄,food department
ꢓꢥꢶ ꢮꢶꢩꢵꢔ꣄,food department
ꢆꢡ꣄ꢡꢬꢮꢵꢣ꣄,guarantee
ꢃꢒ꣄ꢒꢸꢣꣁ,order
ꢱꢲꢒꢵꢬ꣄,aid
ꢱꢲꢵꢮ꣄,aid
ꢆꢦ ꢪꢥ꣄ꢡꢶꢬꢶ,assistant minister
ꢆꢦ ꢣꢹꢡ ꢥꢶꢮꢵꢱ꣄,consulate
ꢮꢿꢡꢥꣁ,stipend
ꢆꢦꢶꢬ꣄,surplus
ꢮꢿꢥ꣄,surplus
ꢂꢣ꣄ꢣꢶ,surplus
ꢂꢡꢶꢬꢶꢒ꣄ꢡ,surplus
ꢄꢗ꣄ꢗꢵ ꢦꢡ꣄ꢡꢬ꣄,will
ꢂꢥꢸꢒ꣄ꢛꢵ ꢦꢸꢡ꣄ꢬꣁ,licence
ꢨꢵꢣ꣄ꢫꣁ,right
ꢨꢞ꣄ꢫꢮꢵꢥ꣄,"owner, proprietor"
ꢙꢸꢥꢡ꣄ꢮꢵꢥ꣄,farmer
ꢓꢿꢡꢶ,farmer
ꢔ꣄ꢬꢲ ꢮꢶꢩꢵꢔ꣄,home department
ꢮꢶꢰꢫ ꢱꢸꢗꢶꢒꣁ,content
ꢂꢥ꣄ꢡꢬ꣄ ꢬꢵꢙ꣄ꢙꢶ,local ad ministration
ꢥꢶꢮꢿꢰ꣄ꢫꣁ,input
ꢆꢡ꣄ꢦꢣ꣄,production
ꢆꢡ꣄ꢦꢵꢣꢥꣁ,production
ꢤꢶꢞꢮꢵꢒ꣄,oath
ꢂꢖ꣄ꢔꢱ꣄ꢢꢸ,member
ꢱꣁꢪ꣄ꢨꢸꢳꣁ,"salary, emo luments"
ꢮꢾꢡꢥꣁ,"salary, emo luments"
ꢮꢵꢲꢥꣁ,vehicle
ꢙꢵꢥ꣄ꢮꢵꢱ꣄,procession
ꢱꣂꢩꢵꢫꢵꢡ꣄ꢬꣁ,procession
ꢏꢬꢵꢡ꣄,procession
ꢗꢸꢜ꣄ꢜꢸ,procession
ꢔꢶꢬꢵꢪ꣄ꢫꣁ,rural
ꢔꢵꢪꢠ꣄ꢗꢥ꣄,curfew
ꢱꢛ꣄ꢗꢵꢬꢸ ꢥꢰꢿꢤꢥꣁ,curfew
ꢦꢠꢖ꣄ꢗꢵꢫꢡ꣄ ꢬꢵꢙ꣄ꢙꢶ,panchayat
ꢦꢖ꣄ꢗꢵꢫꢡꢕꢿꢬ꣄,panchayat union
ꢨ꣄ꢬꢰ꣄ꢜꢵꢗꢵꢬ꣄,corruption
ꢪꢭꢶꢥꢵꢗꢵꢬ꣄,corruption
ꢱꢿꢮꣁ,service
ꢱꢿꢮꢒꣁ,servant
ꢱꢿꢮꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄,servant
ꢱꢖ꣄ꢓ꣄ꢫꢵꢦꣁꢭ꣄ꢒꣁ,number plate
ꢮꢶꢩꢒ꣄ꢰꢸ,opposition party
ꢡꣂꢒ꣄ꢱꢥꢶ,expectation
ꢦ꣄ꢬꢡꢷꢒ꣄ꢰꣁ,expectation
ꢦ꣄ꢬꢡꢶꢤ꣄ꢮꢥꢶ,echo
ꢦ꣄ꢬꢡꢶꢗꢵꢫꢵ,reflection
ꢦ꣄ꢬꢡꢶ ꢨꢶꢪ꣄ꢨꢸ,reflection
ꢍꢒꢵꢤꢶꢦꢡꢶ,autocrat
ꢱ꣄ꢮꢿꢗ꣄ꢗꢵꢗꢵꢬꢶ,autocrat
ꢌꢭ꣄ꢔꢾ,border
ꢂꢣ꣄ꢣꢸ,border
ꢱꢷꢪꣁ,border
ꢱꢷꢪꢵ ꢡꢾꢔꢸꢬꢵꢭ꣄,border dispute
ꢂꢣ꣄ꢣꢸ ꢡꢾꢔꢸꢬꢵꢭ꣄,border dispute
ꢭꢶꢦꢶꢒꣁ,clerk
ꢔꢸꢪꢱ꣄ꢡꣁ,clerk
ꢗꢾꢣꢸꢮꢸ ꢛꢵꢥ꣄,literacy
ꢭꢿꢓꢥꢱꢵꢪꢔ꣄ꢬꢶ,stationary
ꢭꢿꢓꢮꢱ꣄ꢡꢸ,stationary
ꢌꢙꢪꢵꢥ꣄,master
ꢪꣁꢣ꣄ꢬꢳꢶ,master
ꢱ꣄ꢮꢿꢗ꣄ꢗꢵꢗꢵꢬ꣄,autocracy
ꢍꢒꢵꢤꢶꢦꢡꢶ,autocrat/ dictator
ꢱꢬ꣄ꢮꢵꢡꢶꢒꢵꢬꢶ,autocrat/ dictator
ꢂꢥꢸꢒ꣄ꢬꢪꣁ,arrangement
ꢱ꣄ꢮꢷꢒꢵꢬ꣄,acceptance
ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄,acceptance
ꢏꢦ꣄ꢦꢶꢭ꣄ꢥꢶ,acceptance
ꢆꢖ꣄ꢗ ꢓꢵꢭ꣄,fluctuation
ꢲꢶꢖ꣄ꢔꢵꢮ꣄,export
ꢥꢶꢬ꣄ꢫꢵꢡ꣄,export
ꢲꢶꢖ꣄ꢔꢵꢜ꣄,export
ꢎꢒ꣄ꢫ ꢬꢵꢰ꣄ꢜ꣄ꢬ ꢱꢪ꣄ꢱ꣄ꢡꢵꢥ꣄,United Nations Organisation
ꢎꢒ꣄ꢫ ꢂꢔ꣄ꢬꢠꢶ,United Front
ꢣꣁꢦ꣄ꢦꢵ ꢢꣁꢮ꣄ꢥꢶ,adjournment
ꢱꢲꢒꢵꢬ꣄,co-operation
ꢱꢲꢫꣂꢔ꣄,co-operation
ꢮꢶꢩꢵꢙꢥꣁ,allotment
ꢦꢬꢮꢱꣁ ꢒꢾꢬ꣄ꢥꢶ,handover
ꢏꢦ꣄ꢦꢥ꣄ꢣ ꢱꢹꢗꢥꣁ,tender
ꢏꢦ꣄ꢦꢥ꣄ꢣꢪ꣄,contract
ꢲꢵꢡꢸ ꢂꢒ꣄ꢰꢬ꣄,signature
ꢱ꣄ꢮꢷꢒꢬ꣄ꢥꢶ,acknowledge ment
ꢦ꣄ꢬꢵꢦ꣄ꢡꢶ ꢱꢖ꣄ꢔꢶꢥꢶ,acknowledge ment
