source,target
ꢔ꣄ꢣ꣄ꢫꣁ,உரைநடை
ꢱꢪ꣄ꢩꢵꢰꢠꣁ,உரையாடல்
ꢭꢶꢓ꣄꣄ꢭꣁ,எழுதுகோல்
ꢡꢬꢾ,கட்டணம்
ꢮ꣄ꢫꢵꢱꣁ,கட்டுரை
ꢭꢾꢓꢸ,கடிதம்
ꢭꢴꢾꢓꣁ,கணக்கு
ꢲꢷꢱꢸ,கணக்கு
ꢔꢠꢶꢶꢡ꣄,கணிதம்
ꢓꢾꢥꢶ,கதை
ꢓꢾꢡꣁ,கதை
ꢂꢩꢶꢦ꣄ꢬꢵꢫꢸ ꢱꢣꢱ꣄,கருத்தரங்கு
ꢒꢭꢵ ꢱꢵꢭꣁ,கல்லூரி
ꢅꢔꢸ ꢮꢶꢣ꣄ꢫꣁ ꢗꢾꢣꢸꢮ꣄,கல்வி
ꢒꢮꢶ,கவி / கவிஞன்
ꢒꢮꢶꢡꣁ,கவிதை
ꢄꢔꢞꢱ꣄ꢡꢿ,கற்பித்தல்
ꢗꢾꢮ꣄ꢣꢶꢥꢶ,கற்றல்
ꢱꢶꢒ꣄ꢒꢶꢥꢶ,கற்றல்
ꢒꢳ꣄꣄ꢙꢪ꣄,காகிதம்
ꢒꢵꢮ꣄ꢫꣁ,காப்பியம் / காவியம்
ꢱꢹꢗꢥꣁ,குறிப்பு
ꢱꢹꢗꢥꢵꢦꣁꢡꢶ,குறிப்பேடு
ꢎꢒꢶ ꢭꢶꢓꢶꢥꢶ,கேட்டெழுதுதல்
ꢦꢸꢱ꣄ꢥꢶ,கேள்வி
ꢦꢸꢱꢵꢮ꣄,கேள்வி
ꢲꢵꢡꢰꢬ꣄,கையெழுத்து / கையொப்பம்
ꢲꢵꢡꢸꢦꣁꢡꢶ,கையேடு
ꢥꢷꢡꢶꢥꢶꢫꢪꣁ,கொள்கை
ꢱꢶꢣ꣄ꢤꢵꢥ꣄ꢡꢸ,கோட்பாடு
ꢗꢶꢡ꣄ꢬꢸ,சித்திரம்
ꢭꣂꢱꢸ,சித்திரம்
ꢗꢶꢡ꣄ꢡꢬ꣄,சித்திரம்
ꢫꣂꢗꢥꣁ,சிந்தனை
ꢥꢥ꣄ꢓꢾꢥꢶ,சிறுகதை
ꢭꣀꢒꢵꢱꢸꢒꢳ꣄ꢙꢾꢪ꣄,செய்தித்தாள்
ꢱꢪꢵꢗꢵꢬꢸꢦꢡ꣄ꢬꣁ,செய்தித்தாள்
ꢔꢮ꣄ꢥꣁ,செய்யுள்
ꢦꢣ꣄ꢫꢪ꣄,செய்யுள்
ꢱ꣄ꢭꣂꢒ꣄,செய்யுள்
ꢮꢡ꣄ꢡꣁ,சொல்
ꢒꣁꢰ꣄,சொற்களஞ்சியம்
ꢱꢨ꣄ꢣ ꢩꢠ꣄ꢞꢵꢬ꣄,சொற்களஞ்சியம்
ꢱꣁꢤꢥꣁ,சோதனை
ꢦꢬꢷꢒ꣄ꢰꣁ,சோதனை
ꢪꢥ꣄ꢡꢸ,தவறு
ꢗꢹꢒ꣄,தவறு
ꢒꢸꢠ꣄ꢜꢸ,தவறு
ꢪꢵꢫ꣄ ꢩꢵꢰꣁ,தாய்மொழி
ꢪꢵꢡ꣄ꢬꢸꢩꢵꢰꣁ,தாய்மொழி
ꢒꢭ꣄ꢙꢾꢪ꣄,தாள்
ꢥꣀꢦꢸꢠ꣄ꢫ,திறன்
ꢮꢶꢪꢬ꣄ꢱꢥꣁ,திறனாய்வு
ꢔꢸꢠꢣꣂꢰ ꢮꢶꢗꢵꢬ꣄,திறனாய்வு
ꢮꢶꢩꢵꢔ꣄,துறை
ꢦꢬꢷꢰꢾ,தேர்வு
ꢦꢬꢷꢰꢵ ꢢꢵꢪ꣄,தேர்வுமையம்
ꢃꢬꢪ꣄ꢩ ꢲꢸꢬꢶ,தொடக்கப்பள்ளி
ꢮꢡ꣄ꢡꢵ ꢡꣁꢬꢠ꣄,தொடரன்
ꢗꢵꢭ꣄ꢗꢭꢥ꣄,நடத்தை
ꢗꢭ꣄ꢥꢶ,நடத்தை
ꢥꢜꢥꣁ,நடனம்
ꢥꢵꢗꢸ,நாடகம்
ꢭꣁꢒ꣄ꢓꢾꢥꢶ,நாடோடிக் கதை
ꢭꣂꢒ꣄ꢔꢷꢡ꣄,நாடோடிப் பாடல்
ꢣꢿꢱꢶꢔꢷꢡ꣄,நாடோடிப் பாடல்
ꢦꣁꢡꢶ,நூல்
ꢦꢸꢱ꣄ꢡꢮ꣄,நூல்
ꢦꢸꢱ꣄ꢡꢶꢒꣁ,நூல்
ꢦꣁꢡꢶꢔ꣄ꢕꢿꢬ꣄,நூலகம்
ꢩꢠ꣄ꢞꢵꢬꢸꢕꢿꢬ꣄,நூலகம்
ꢮꢬ꣄ꢠꢪꢵꢭꣁ,நெடுங்கணக்கு
ꢭꢒ꣄ꢰ꣄꣄ꢫꣁ,நோக்கம்
ꢤ꣄ꢫꢾꢫꢸ,நோக்கம்
ꢦꣁꢒ꣄,பக்கம்
ꢦꢸꢜꣁ,பக்கம்
ꢱ꣄ꢥꢵꢡꢒꣁ,பட்டதாரி
ꢆꢦꢵꢤꢶ,பட்டம்
ꢗ꣄qꢡꢸꢮ꣄ ꢒꣁꢜ꣄ꢜꣁ ꢮꢵꢗꢒꢱꢵꢭꣁ,படிப்பகம் /நூலகம்
ꢗꢾꢣꢸꢮ꣄,படிப்பு
ꢅꢔ꣄,படிப்பு
ꢧꢬꢪ꣄,படிவம்
ꢬꢱꢶꢥꢶ,படைப்பு
ꢱꢛ꣄ꢗꢶꢒꣁ,பத்திரிகை
ꢙꢾꢮꢵꢦ꣄,பதில்
ꢂꢩ꣄ꢫꢵꢱ꣄,பயில்தல்
ꢙꢿꢪ꣄,பரிசு
ꢦꢵꢬꢶꢡꣂꢱꢶꢒꣁ,பரிசு
ꢦꢬꢶꢱꣁꢤꢥꣁ,பரிசோதனை
ꢦꢬ꣄ꢒ꣄ꢰꣁ,பரிட்சை
ꢱꢬ꣄ꢮꢒꢭꢵꢱꢵꢭꣁ,பல்கலைக் கழகம்
ꢲꢸꢬꢶ,பள்ளி / பள்ளிக்கூடம்
ꢙꢸꢥ꣄ꢥꢮꢵꢗꢸ,பழமொழி
ꢦ꣄ꢬꢵꢮꢵꢗꢸ,பழமொழி
ꢔꢷꢡ꣄,பாட்டு
ꢦꢵꢝꢮꢶꢮꢬꢠꣁ,பாடத்திட்டம்
ꢦꢵꢝꢦꢸꢱ꣄ꢡꢮ꣄,பாடப்புத்தகம்
ꢦꢵꢝ꣄,பாடம்
ꢦꣁꢬꣁ,பிழை
ꢪꢥ꣄ꢡꢸ,பிழை
ꢭꢵꢪ꣄ꢓꢾꢥꢶ,புதினம்
ꢥꣁꢮ꣄ꢮꢒꢮꢶꢡꣁ,புதுக்கவிதை
ꢦꢸꢬꢵꢠꣁ,புராணம்
ꢪꢴꢵ ꢏꢣ꣄ꢣꢶ,பேராசிரியர்
ꢭꢶꢒ꣄ꢭꣁ,பேனா
ꢮꢶꢰꢫꢸ,பொருள்
ꢫꢥ꣄ꢡ꣄ꢬꢸꢮꢶꢣ꣄ꢫꣁ,பொறியியல்
ꢫꢥ꣄ꢡ꣄ꢬꢸ ꢮꢶꢔ꣄ꢛꢵꢥ꣄,பொறியியல்
ꢦꣁꢥ꣄ꢡꢶ,போட்டி
ꢱ꣄ꢦꢬ꣄ꢤꣁ,போட்டி
ꢏꢫ꣄ꢣꢦꢥ꣄,மருத்துவம்
ꢲꣁꢔꢡ꣄,மருந்து
ꢥꢴꢸꢬꢸꢥꢸ ꢲꢸꢬꢶ,மழலைப்பள்ளி
ꢮꢶꢣ꣄ꢫꢵꢬ꣄ꢡꢶ,மாணவன்
ꢮꢶꢣ꣄ꢫꢵꢬ꣄ꢡ꣄ꢡꢶꢥꢶ,மாணவி
ꢧꣀꢭꢮꢬ꣄ꢔꢸ,முதல் வகுப்பு
ꢦ꣄ꢬꢤꢵꢥꣁꢣ꣄ꢣꢶ,முதல்வர்
ꢧꣀꢭꢯ꣄꣄ꢬꢿꢥꢶ,முதலிடம்
ꢪꣀ,மை
ꢩꢵꢰꣁ,மொழி
ꢩꢵꢰꢵ ꢬꢷꢡꢶ,மொழிநடை
ꢩꢵꢰꢵ ꢪꢬ꣄ꢗꢶꢥꢶ,மொழிபெயர்ப்பு
ꢂꢥꢸꢮꢵꢣ꣄,மொழிபெயர்ப்பு
ꢩꢵꢱꢵꢥ꣄ꢡꢬ꣄,மொழிபெயர்ப்பு
ꢡꢬ꣄ꢙꢪꣁ,மொழிபெயர்ப்பு
ꢩꢵꢰꢵꢮꢶꢔ꣄ꢛꢵꢥ꣄,மொழியியல்
ꢮꢬ꣄ꢒꢸ,வகுப்பு
ꢗꢬꢶꢡ꣄ꢬꢸ,வரலாறு
ꢯꢨ꣄ꢣꢸ ꢴ,வார்த்தை
ꢮꢔ꣄ꢛꢵꢥ꣄,விஞ்ஞானம்
ꢮꢔ꣄ꢛꢵꢥꢶ,விஞ்ஞானி
ꢯꣁꢞ꣄ꢠꢶ,விடுப்பு
ꢯꣂꢞꢸ,விடுப்பு
ꢱꣁꢞ꣄ꢮꢵꢬ꣄,விடுமுறை
ꢙꢮꢵꢨ꣄,விடை
ꢮꢶꢮꢵꢡ꣄,விவாதம்
ꢦ꣄ꢬꢰ꣄ꢥꣁ,வினா
ꢦꢸꢱꢶꢥꢶ,வினா
ꢦ꣄ꢬꢰ꣄ꢥ ꢦꢡ꣄ꢬꣁ,வினாத்தாள்
ꢒꣁꢪ꣄ꢪꢵ ꢂꢩ꣄ꢫꢵꢱ꣄,வீட்டுப்பாடம்
ꢙꢾꢭ꣄ꢪꢶꢥ꣄,அலுமினியம்
ꢭꢴꣁꢔꢠ꣄,இரும்பு / உருக்கு
ꢒꢾꢱ꣄ꢡꢸꢭ꣄,"ஈயம், காரீயம்"
ꢭꣂꢲꢸ,உலோகம்
ꢦꢛ꣄ꢗꢭꣂꢲꢸ,ஐம்பொன் பஞ்சலோகம்
ꢂꢣ꣄ꢣꢪ꣄,கண்ணாடி
ꢲꢦꢵꢥ꣄,கண்ணாடி
ꢣꢮ꣄ꢥꣁ,கண்ணாடி
ꢪꢸꢒ꣄ꢬꣁ,கண்ணாடி
ꢔꢵꢥ꣄ꢡꢪ꣄,காந்தம்
ꢡꢪ꣄ꢨꢾ,செம்பு
ꢡꢪ꣄ꢨꢸꢬꢪ꣄,செம்பு
ꢡꢭ꣄,தகரம்
ꢡꢾꢒꢜ꣄,தகரம்
ꢱꣁꢥ꣄ꢥꣁ,தங்கம்
ꢱꣁꢬ꣄ꢠꢸ,தங்கம்
ꢂꢦ꣄ꢬꢛ꣄ꢙꢶ,தங்கம்
ꢡꢸꢡ꣄ꢡꢥꢵꢔ꣄,துத்தநாகம்
ꢥꢵꢔ꣄,நாகம்
ꢭꢷꢡꢸ,பித்தளை
ꢒꢱꣁ,வெண்கலம்
ꢬꢸꢦ꣄ꢦꣁ,வெள்ளி
ꢒꣂꢜ꣄,எங்கே
ꢒꢶꢡ꣄ꢒ,எத்தனை
ꢒꢶꢡ꣄ꢒꢫꣁ,எத்தனையாவது
ꢒꣂꢥ꣄,எத்தனையாவது
ꢒꢶꢱꣁ,எப்படி
ꢒꣂꢥꢒ꣄,எப்படி
ꢒꢶꢱꢵꢫꣁ,எப்படிப்பட்ட
ꢒꢶꢱꢵꢫꢾ,எப்படிப்பட்ட
ꢓꣁꢨ꣄ꢨꣁ,எப்போது
ꢒꢶꢱꣁ,எவ்வாறு
ꢒꣁꢥ꣄ ꢣꢶꢥ꣄ꢥꢸ,என்று
ꢒꢵꢫ꣄,என்ன
ꢒꢵꢫꣁ,என்ன
ꢒꣂꢥꢾ,எந்த
ꢒꣂꢥ꣄ꢫꢾ,எந்த
ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄,அங்கீகாரம்
ꢂꢗ꣄ꢗꢸ,அச்சு
ꢜꢖ꣄ꢒꢸ,அச்சு
ꢦꢡ꣄ꢬꢮꢵꢲꢶꢥꢶ,அஞ்சல்
ꢦꢡ꣄ꢬꢮꢵꢲꢒꣁ,அஞ்சல்காரர்
ꢦꢡ꣄ꢬꢮꢵꢲꣁ,அஞ்சல்காரர்
ꢭꢿꢓꢸꢮꢵꢥ꣄,அஞ்சல்காரர்
ꢦꢡ꣄ꢬꢮꢵꢲ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,அஞ்சலகம்
ꢒꣂꢰ꣄ꢜꢸ,அட்டவணை
ꢆꢞ꣄ꢔꢞ꣄ꢠꢶ,அடக்குமுறை
ꢣꢪꢥꣁ,அடக்குமுறை
ꢒꢸꢣꣁ,அடகு
ꢒꢸꢣꣁ,அடமானம்
ꢓꢵꢭ꣄ꢣꢳ꣄ ꢓꢵꢭ꣄ꢣꢾꢳꢪ꣄,அடித்தளம்
ꢃꢤꢵꢬꢸ ꢨꢵꢡ꣄ꢫꢡꣁ,அடிப்படையுரிமை
ꢱ꣄ꢬꢿꢠꢶꢗꢵꢭ꣄,அணிவகுப்பு
ꢂꢡ꣄ꢒꢫꢵꢬ꣄,அதிகாரம்
ꢂꢡ꣄ꢒ꣄ꢫꢵꢬꢶ,அதிகாரி
ꢪꢥ꣄ꢡ꣄ꢬꢶ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,அமைச்சகம்
ꢪꢥ꣄ꢡ꣄ꢬꢶ,அமைச்சர்
ꢂꢪꢵꢡ꣄ꢫꣁ,அமைச்சர்
ꢪꢥ꣄ꢡ꣄ꢬꢶꢱꢨꣁ,அமைச்சரவை
ꢯꢵꢥ꣄ꢡꢶ,அமைதி
ꢱꢖ꣄ꢕꢜꢶꢒꣁ,அமைப்பாளர்
ꢱꢛ꣄ꢗꢭꢥꢒꢵꢬꣁ,அமைப்பாளர்
ꢮꢶꢣꢿꢱ꣄,அயல்நாடு
ꢩꢬꢳꢡꢿꢱ꣄,அயல்நாடு
ꢬꢙꣁ,அரசன்
ꢬꢵꢜ꣄,அரசன்
ꢩꢹꢦꣁ,அரசன்
ꢩꢹꢦꢡꢶ,அரசன்
ꢬꢠꢶ,அரசி
ꢬꢵꢜꢳꢶ,அரசி
ꢱꢪ꣄ꢱ꣄ꢢꢵꢦꢥꣁ,அரசியல் சட்டம்
ꢱꢪ꣄ꢮꢶꢤꢵ,அரசியல் சட்டம்
ꢬꢵꢙꢥꢷꢡꢶꢮꢵꢥ꣄,அரசியல்வாதி
ꢱꢬ꣄ꢒꢵꢬ꣄,அரசு
ꢬꢵꢙꢵꢖ꣄ꢔꢸ,அரசு
ꢬꢵꢙ꣄ꢩꢮꢥ꣄,அரசமாளிகை
ꢬꢮꢸꢳ꣄,அரண்மனை
ꢦ꣄ꢬꢵꢱꢵꢣꣁ,அரண்மனை
ꢍꢒꢒ꣄,அலகு
ꢄꢒꢵꢫ꣄,அலகு
ꢭꢵꢜ꣄,அலை
ꢒꢵꢬ꣄ꢫꢵꢭꢫ ꢩꢰꣁ,அலுவலகமொழி
ꢂꢡ꣄ꢒꢵꢬꢶ,அதிகாரி
ꢂꢮ꣄ꢱꢬꢸ ꢱꢵꢱꢥꣁ,அவசரச்சட்டம்
ꢃꢦꢡ꣄ꢒꢵꢭꢸ ꢱꢵꢱꢥꣁ,அவசரச்சட்டம்
ꢂꢮ꣄ꢱꢬ꣄ꢱ꣄ꢢꢶꢡꢶ,அவசரநிலை
ꢨꣁꢮ꣄ꢥꢶꢕꢵꢜ꣄,அழைப்புமணி
ꢦꢬꢶꢪꢵꢠ꣄,பரிமாணம்
ꢦ꣄ꢬꢒꢜꢥꣁ,அறிக்கை
ꢃꢮꢿꢣꢥꣁ,அறிக்கை
ꢮꢶꢰꢫꢒꢳꢞ꣄ꢠꢶ,அறிக்கை
ꢦ꣄ꢬꢒꢞ꣄ꢠꢵꢬ꣄,அறிவிப்பாளர்
ꢦ꣄ꢬꢒꢞꢠꣁꢒꢾꢬ꣄ꢥꢵꢬ꣄,அறிவிப்பாளர்
ꢮꢶꢰꢫꢸ ꢒꢳꢞ꣄ꢥꢵꢬ꣄,அறிவிப்பாளர்
ꢱꢹꢗꢥꣁ,அறிவிப்பு
ꢱꢹꢗꢥꢵ ꢦꣁꢭ꣄ꢒꣁ,அறிவிப்புப் பலகை
ꢂꢥꢸꢪꢡ꣄,அனுமதி
ꢂꢥꢸꢪꢡ꣄ ꢱꢹꢗꢶ,அனுமதிச் சீட்டு
ꢂꢥꢸꢩꢮ꣄,அனுபவம்
ꢒꢨ꣄ꢙꣁ,ஆக்கிரமிப்பு
ꢃꢒ꣄ꢬꢪꢠꣁ,ஆக்கிரமிப்பு
ꢱꢵꢱꢥꣁ,ஆட்சி
ꢱꣃꢱꢱ꣄ꢡꢾ,ஆட்சி
ꢱꣃꢱꢶꢥꢶ,ஆட்சி
ꢬꢵꢙ꣄ꢫ ꢩꢰꣁ,ஆட்சிமொழி
ꢃꢙ꣄ꢛꢾ,ஆணை
ꢥꢶꢫꣂꢔꣁ,ஆணையம்
ꢃꢫꣂꢔ꣄,ஆணையம்
ꢥꢶꢫꣂꢔꢶ,ஆணையர்
ꢃꢫꣂꢒꢶ,ஆணையர்
ꢂꢣ꣄ꢭꢥ꣄,ஆதரவு
ꢂꢣ꣄ꢥꢶ,ஆதரவு
ꢭꢵꢨ꣄,ஆதாயம்
ꢂꢣꢵꢮ꣄,ஆதாயம்
ꢦ꣄ꢬꢩꢸꢡ꣄ꢮꣁ,ஆதிக்கம்
ꢂꢬ꣄ꢒ꣄ꢫꢵꢬ꣄,ஆதிக்கம்
ꢃꢤꢶꢦꢡ꣄ꢫꣁ,ஆதிக்கம்
ꢆꢡ꣄ꢦꢵꢣꢥꢱꢸꢭ꣄ꢒꣁ,ஆயத்தீர்வை
ꢱꢸꢭ꣄ꢒꣁ,ஆயம்
ꢒꢬꣁ,ஆயம்
ꢃꢫꢸꢱ꣄ꢣꢠ꣄ꢞꢥꣁ,ஆயுள் தண்டனை
ꢆꢡ꣄ꢱꢵꢲ꣄,ஆர்வம்
ꢒꢮ꣄ꢡꢸꢒꣁ,ஆர்வம்
ꢃꢭꣂꢱꢥꣁ,ஆலோசனை
ꢂꢩꢶꢦ꣄ꢬꢵꢫꢸ,ஆலோசனை
ꢭꢶꢓꢾꢦꢡ꣄ꢡꢬ꣄,ஆவணம்
ꢭꢿꢓ ꢦ꣄ꢬꢪꢵꢠꣁ,ஆவணம்
ꢱꢵꢱꢥꢦꢒ꣄ꢰꣁ,ஆளுங்கட்சி
ꢬꢵꢙ꣄ꢦꢵꢭ꣄,ஆளுநர்
ꢬꢵꢙ꣄ꢦꢵꢭꢥꣁ,ஆளுமை
ꢏꢦ꣄ꢦꢶꢭꢶꢥꢶ,இசைவு
ꢱꢪ꣄ꢪꢡ꣄,இசைவு
ꢒꢨꢥ꣄ꢣꢸꢱꢬ꣄ꢒꢵꢬ꣄,இடைக்கால அரசு
ꢂꢥ꣄ꢡꢬ꣄ꢥꢶꢰꢾꢤ꣄,இடைக்காலத் தடை
ꢪꢴꢣ꣄ꢣꢶꢪꢸ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,இடைக்காலத் தடை
ꢣꢾꢬ꣄ꢒꢭꢶ,இடைத்தரகர்
ꢪꢴꢣ꣄ꢫꢮꢬ꣄ꢡꢶ,இடைத்தரகர்
ꢂꢮ꣄ꢞꢒꢵꢭꢸ ꢗꢸꢥꢵꢮ꣄,இடைத்தேர்தல்
ꢪꢴꢣ꣄ꢣꢶꢪ꣄ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,இடைநிறுத்தம்
ꢂꢮꢭꢪ꣄ꢨ꣄ꢥꣁ,இடைநிறுத்தம்
ꢡꢡ꣄ꢒꢵꢭꢸ ꢲꢶꢨ꣄ꢨꢞ꣄ꢠꢶ,இடைநிறுத்தம்
ꢌꢠ꣄ꢔꢶꢥꢶ,இணக்கம்
ꢂꢥꢸꢬꢹꢦꢡꣁ,இணக்கம்
ꢱꢲ ꢪꢥ꣄ꢡꢶꢬꢶ,இணையமைச்சர்
ꢱꢾꢬ꣄ꢗꢥ꣄ꢩꢵꢰꣁ,இணைப்புமொழி
ꢱꢥ꣄ꢣꢶ ꢩꢵꢰꣁ,இணைப்புமொழி
ꢱꢪ꣄ꢫꢸꢒ꣄ꢡ ꢱꢖ꣄ꢕꣁ,இணையம்
ꢱꢛ꣄ꢙꢶꢒꢾ,இதழ்
ꢩꢵꢬꢡꢥꢶꢬ꣄ꢮꢵꢲꢸꢱꢿꢮꣁ,இந்திய ஆட்சிப்பணி
ꢩꢵꢬꢡ ꢂꢦꢬꢵꢤꢸ ꢱꢵꢱꢥꣁ,இந்தியக் குற்றவியல் சட்டம்
ꢃꢥ꣄ꢣꣂꢭ꣄,இயக்கம்
ꢒꢵꢬ꣄ꢫꢵꢭꢫ ꢱꢖ꣄ꢔꢪꣁ,இயக்ககம்
ꢥꢶꢬ꣄ꢮꢵꢲꢶ,இயக்குநர்
ꢥꢶꢬ꣄ꢣꢿꢱꢒ꣄,இயக்குநர்
ꢂꢤ꣄ꢫꢒ꣄ꢰꣁ,இயக்குநர்
ꢂꢣ꣄ꢫꢵꢫ꣄,இயல்
ꢗꢬ꣄ꢒꢵ,இராட்டை
ꢆꢬꢵꢮ꣄ꢱꣁꢬꢵꢮ꣄,இருப்பு
ꢭꢒ꣄ꢰꢫꣁ,இலக்கு
ꢪꢸꢣ꣄ꢬꣁ,இலச்சினை
ꢮꢶꢩꢵꢒ,இலாகா
ꢫꢸꢮꢬꢵꢜ꣄,இளவரசன்
ꢫꢸꢮꢬꢵꢠꢶ,இளவரசி
ꢫꢸꢮꢬꢵꢙ꣄ꢛꢶ,இளவரசி
ꢲꢸꢡ꣄ꢡꢸꢬꢵꢮ꣄,இறக்குமதி
ꢲꢸꢡ꣄ꢡꢸꢬꢵꢜ꣄,இறக்குமதி
ꢦ꣄ꢬꢡꢶ ꢧꣁꢳ꣄꣄,ஈடு
ꢆꢖ꣄ꢙꢪꢶꢡꢶ,உச்சவரம்பு
ꢆꢳ꣄ꢳꢸ,உடந்தை
ꢱꢲꢗꢵꢬ꣄,உடன்படிக்கை
ꢱꢥ꣄ꢤꢶ,உடன்படிக்கை
ꢦꢬꢱ꣄ꢦꢬ ꢱꢪ꣄ꢪꢥ꣄ꢣꣁ,உடனுறவு
ꢦꢬꢱ꣄ꢦꢬ ꢏꢱ꣄ꢡꢦꢥ꣄,உடனுறவு
ꢃꢲꢵꢬꢸ ꢮꢶꢩꢵꢔ꣄,உணவுத்துறை
ꢓꢥꢶ ꢮꢶꢩꢵꢔ꣄,உணவுத்துறை
ꢆꢡ꣄ꢡꢬꢮꢵꢣ꣄,உத்தரவாதம்
ꢃꢒ꣄ꢒꢸꢣꣁ,உத்தரவு
ꢱꢲꢒꢵꢬ꣄,உதவி
ꢱꢲꢵꢮ꣄,உதவி
ꢆꢦ ꢪꢥ꣄ꢡꢶꢬꢶ,உதவி அமைச்சர்
ꢆꢦ ꢣꢹꢡ ꢥꢶꢮꢵꢱ꣄,உதவித்தூதரகம்
ꢮꢿꢡꢥꣁ,உதவிப்பணம்
ꢆꢦꢶꢬ꣄,உபரி
ꢮꢿꢥ꣄,உபரி
ꢂꢣ꣄ꢣꢶ,உபரி
ꢂꢡꢶꢬꢶꢒ꣄ꢡ,உபரி
ꢄꢗ꣄ꢗꢵ ꢦꢡ꣄ꢡꢬ꣄,உயில்
ꢂꢥꢸꢒ꣄ꢛꢵ ꢦꢸꢡ꣄ꢬꣁ,உரிமம்
ꢨꢵꢣ꣄ꢫꣁ,உரிமை
ꢨꢞ꣄ꢫꢮꢵꢥ꣄,உரிமையாளர்
ꢙꢸꢥꢡ꣄ꢮꢵꢥ꣄,உழவர்
ꢓꢿꢡꢶ,உழவர்
ꢔ꣄ꢬꢲ ꢮꢶꢩꢵꢔ꣄,உள்துறை
ꢮꢶꢰꢫ ꢱꢸꢗꢶꢒꣁ,உள்ளடக்கம்
ꢂꢥ꣄ꢡꢬ꣄ ꢬꢵꢙ꣄ꢙꢶ,உள்ளாட்சி
ꢥꢶꢮꢿꢰ꣄ꢫꣁ,உள்ளீடு
ꢆꢡ꣄ꢦꢣ꣄,உற்பத்தி
ꢆꢡ꣄ꢦꢵꢣꢥꣁ,உற்பத்தி
ꢤꢶꢞꢮꢵꢒ꣄,உறுதிமொழி
ꢂꢖ꣄ꢔꢱ꣄ꢢꢸ,உறுப்பினர்
ꢱꣁꢪ꣄ꢨꢸꢳꣁ,ஊதியம்
ꢮꢾꢡꢥꣁ,ஊதியம்
ꢮꢵꢲꢥꣁ,ஊர்தி
ꢙꢵꢥ꣄ꢮꢵꢱ꣄,ஊர்வலம்
ꢱꣂꢩꢵꢫꢵꢡ꣄ꢬꣁ,ஊர்வலம்
ꢏꢬꢵꢡ꣄,ஊர்வலம்
ꢗꢸꢜ꣄ꢜꢸ,ஊர்வலம்
ꢔꢶꢬꢵꢪ꣄ꢫꣁ,ஊரகம்
ꢔꢵꢪꢠ꣄ꢗꢥ꣄,ஊரடங்கு
ꢱꢛ꣄ꢗꢵꢬꢸ ꢥꢰꢿꢤꢥꣁ,ஊரடங்கு
