example_sentence_sourashtra,example_sentence_english,example_sentence_tamil
மௌடொ3க் பொ3து3லு ஷாமியானா அவ்டி3யொ,Shamiyana has replaced coconut leaf awning,பந்தலுக்கு பதிலாக ஷாமியானா வந்துவிட்டது
மௌடா3ம் தொரண் லொம்ப3 ஸொட3ஸுன்,They hang the Leaf Hanging on the awning,பந்தலில் தோரணத்தை தொங்கவிடுகிறார்கள்
மௌடா3க் பொ3ங்கு3 கா2ம்பு3 ப்ரயோக்3 கெரஸுன்,They use Bamboo pillars for awnings,பந்தலுக்கு மூங்கில் கம்புகளை பயன்படுத்துகிறார்கள்
மாய்பா3புன் அபுல் ஒஸ்துனுக் பத்திரிக்கெ தொ2வி பொ3வஸுன்,Parents invite their relatives with invitation,பெற்றோர்கள் தங்கள் உறவினர்களை அழைப்பிதழுடன் அழைக்கிறார்கள்
நொவ்ரொ நொவ்ரி கெ3லாம் பொ3ட்டு ப4ந்த3ராஸ்,Groom ties the holy thread around the bride's neck,மணமகன் மணமகளின் கழுத்தில் தாலி கட்டுகிறார்
நொவ்ரி கொ3ண்ட்யாவ்ஹால் ஹாத் ஸிங்க3ல்ரிஸ்,The bride has adorned her hand with henna,மணமகள் மருதாணியால் கையை அலங்கரித்துள்ளாள்
நஸ்தியானுக் சொக்கட் கௌ3ஞ்சுலுவொ,Take good care of the groom's friends,மணமகனின் நண்பர்களை நன்றாக கவனித்துக் கொள்ளுங்கள்
அட்பின் நொவ்ரிக் ஸிங்க3ர்லேத் ஹொத்3யாஸ்,The bride's friends were decorating the bride,மணமகளின் தோழிகள் மணமகளை அலங்கரித்துக்கொண்டிருந்தனர்
தொ3ரிம்பொ3ட்டு ஹொராட்3 ஹொயாத்தெகா3 லெக்ஷன்,The sacred thread is a symbol of marriage,தாலி திருமணம் ஆனதற்கான அடையாளமாகும்
ஹொராட்3 ஹொயெ பெ3ய்லன் பாய்ஞிம் மிஞ்ஜி க4ல்லன்,Married women wear rings on their feet,திருமணமான பெண்கள் காலில் மோதிரம் அணிவார்கள்
ஸுப4 காமுனுக் தொ4ண்டொ3 தெட்டஸுன்,Drums are played for auspicious activities,சுப காரியங்களுக்கு மேளம் அடிக்கப்படுகிறது
நஸுரால் பு2வத்தெ ஜு2க்குகன் த3ல்லானூஸ்,Nathswaram is mostly played by men,நாதஸ்வரம் வாசிப்பது பெரும்பாலும் ஆண்கள்தான்
ப4ஜன் கெரத்தெனு கி4ங்கம் தெட்டஸுன்,Those who perform bhajans play Cymbols,பஜனை செய்பவர்கள் ஜால்ரா இசைக்கின்றனர்
ஹொராட்3 மெனரியொ 1000 ஒர்ஸு பீகு,Marriage is a 1000 year crop,திருமணம் என்பது 1000 வருட பயிர்
லெய்னு ஸௌளொ ஒண்டெ லெக்கு ருவாயிக் மெல்லொ அப்3ப3யி,Wedding sarees are available for lakh rupees too,திருமணப் புடவைகள் ஒரு லட்சம் ரூபாய்க்கு கூட கிடைக்கும்
லெகினு தெந்து3ஸ் அஸ்கி ஊகுனுக் மிளுவாயி,We can meet all the relatives on the day of marriage,திருமணத்தன்று அனைத்து உறவினர்களையும் சந்திக்கலாம்
அஸ்கிதெனு ஹொராட்3ஹொயெ த3ம்பதினுக் ஆஶிர்வாத்3 கெரராஸி,All bless the married couple,அனைவரும் திருமணமான தம்பதிகளை ஆசீர்வதிக்கிறார்கள்
ப3து3லாம் தூப் ஸொடி3 ஹோம் கெரஸுன்,Sacrifice is performed by pouring ghee in Oma Kund,ஓம குண்டத்தில் நெய் ஊற்றி ஹோமம் நடத்தப்படுகிறது
வர்த்து நொவ்ரா நொவ்ரினு கொஞ்சுதொ ஜவட3ஸு,Nalangu relieves the shyness of the Groom and bride,நலங்கு மணமகன் மணமகளின் வெட்கத்தை போக்குகிறது
உத்தர பா4ரது ஹொராடு3 ப4வனிம் நொவ்ரொ கொ4டொ3 ஹொல்லொ அவயி,"In North Indian wedding processions, the groom arrives on horseback","வட இந்திய திருமண ஊர்வலத்தில், மாப்பிள்ளை குதிரையில் வருவார்"
தே3வு சுட்டும் ஐஸ்துகின் முயி முது3ல்லொ அவயி,Elephant and camel come first in Deity procession,சாமி ஊர்வலத்தில் யானையும் ஒட்டகமும் முதலில் வரும்
நொவ்வொ த3ம்பதின் ஒராத் சுட்டும் ஸொவ்ரானுக் மிளஸுன்,"The newlyweds meet relatives on a ""One night procession""",புதுமணத் தம்பதிகள் ஓரிரவு ஊர்வலத்தில் உறவினர்களைச் சந்திக்கிறார்கள்
மியாரொ ந்ஹாத்தொ கொன்னி ஹொராட்3 சல்னா,"No marriage takes place without ""Marriage presents""",சீர்வரிசை இல்லாமல் எந்த திருமணமும் நடக்காது
ஒண்டெ ம்ஹூர்த்து 90 நிமுஷ் லெந்து ர்ஹாயி,One auspicious time will be up to 90 minutes,ஒரு முஹூர்த்த நேரம் 90 நிமிடங்கள் வரை இருக்கும்
மொரெ பெ3ய் ஹொல்ல வாரும் ர்ஹவென் அவன்,My sister will be staying as a guest next week,என் அக்கா அடுத்த வாரம் விருந்தினராக தங்குவார்
தெ2வ்டெ3 பொ2வ்னான் கொ2ப்3பி3ம் சூக் ஸங்க3ன்,Some guests always complain,சில விருந்தினர்கள் எப்போதும் குறை சொல்வார்கள்
ஜு2க்கு ஸௌராஷ்டிரர்னு ஹொராடு3 தீ3தி3 ஜெமன் ஸெந்தொ மட3ஸுன்,Most Sourashtrians celebrate the wedding with a two-day feast,பெரும்பாலான சௌராஷ்டிரர்கள் திருமணத்தை இரண்டு நாள் விருந்துகளுடன் கொண்டாடுகிறார்கள்
ஜொமனு பிள்சார் சொக்கட் ருசிகன் ர்ஹாயி,The feast Rasam will be very tasty,விருந்து ரசம் மிகவும் சுவையாக இருக்கும்
ருசிகன் ர்ஹியெத் தெல்லெ ஒண்டெ உஜ்ஜெமனூஸி,"If delicious, it is a grand feast","சுவையாக இருந்தால், அது ஒரு சிறந்த விருந்து"
து3ர்ப3ள்னுன் ஸிஜ்ஜெமன் கெரஸுன்,Poor people eat leftovers,ஏழைகள் எஞ்சியதை சாப்பிடுகிறார்கள்
ஶிஞ்ஜெமன் கெரத்தெ முது3ல்லா சா2ளி போ2ளு,Eating leftovers is the result of previous birth karma,எஞ்சியதை உண்பது முற்பிறவியின் பலன்
ஜு2க்கு பொ2வ்னான் கென்னல்கன் ஹன்னவ் தே3ஸுன்,Most guests give money as a wedding gift,பெரும்பாலான விருந்தினர்கள் திருமண பரிசாக பணம் கொடுக்கிறார்கள்
அமி ஶிக்3ரம்கன் ருப்பா தெட்டொ தி3யாஸ்,We gave a silver plate as a marriage gift,நாங்கள் சீர் பாத்திரமாக வெள்ளி தட்டு கொடுத்தோம்
விடொ3 ஸெரொ ஜேம் தே3த்தெ வட்கெ ஹொய்யொ,A gift with the Vido has become routine,தாம்பூலத்துடன் பரிசு வழங்குவது வாடிக்கையாகிவிட்டது
சதுர்விடொ3 மெனத்தெ மொர்க்3யாத் தெ3க்கடத்தெயொ,Chaturvidho is a show of respect,தாம்பூலம் என்பது மரியாதையைக் காட்டுவதாகும்
ஹொராடு3 ப2லார்கன் தெந்துலொகின் மைஸுர்பாக் தே3ஸுன்,Murukku and Mysorepak are given as part of marriage gift,"திருமண சீராக முறுக்கும், மைசூர்பாகும் கொடுப்பார்கள்"
ஸம்போ4க3ம் மெனரியொ ஜித்ரவும் ஒண்டெ பா4கு3,Intercourse is a part of life,உடலுறவு என்பது வாழ்க்கையின் ஒரு பகுதி
மைது2னம் தெ4ரி கொங்கிஜொவள் வத்தொ கெரஹோனா,Should never talk to anyone about intercourse,உடலுறவு பற்றி யாரிடமும் பேசக்கூடாது
மிள்னி தெ4ரி ஹுட3ப்பன்கொ வத்தொ கெரஹோனா,Intercourse should not be spoken openly,உறவை வெளிப்படையாக பேசக்கூடாது
தெ2வ்டெ3 கெ4ர்பினுக் மொஸ்கொ லக3யி,Some expectant mothers get morning sickness,சில கர்ப்பிணி தாய்மார்களுக்கு மசக்கை வரும்
பெ3ய்லனுன் ரமாரமி 40 வாருன் கெ4வ்ரார் ர்ஹானு,Women are pregnant for almost 40 weeks,பெண்கள் கிட்டத்தட்ட 40 வாரங்கள் கர்ப்பம் இருப்பார்கள்
கெ4வ்ரரின் ஶிபாரிஸு கெரெ ஸொம்மர் வேன் பா4ர் பொட3ஹோனா,Pregnant women should not gain more weight than recommended,கர்ப்பிணிப் பெண்கள் பரிந்துரைக்கப்பட்டதை விட அதிகம் எடை போடக்கூடாது
கெ4ர்பினுக் அஸ்கிதெனு மொர்க்3யாத்கன் சல்த கெரராஸ்,Everyone treats a pregnant woman with respect,கர்ப்பிணிப் பெண்ணை அனைவரும் மரியாதையுடன் நடத்துகிறார்கள்
பல்லினி பா3தொ3 பல்லினிக் ஒண்டேஸ் களாய்,Only pregnant women know the pain of a pregnant woman,கர்ப்பிணிப் பெண்ணின் வலி கர்ப்பிணிகளுக்கு மட்டுமே தெரியும்
க3ர்பி4ணீ வேன் ஸீஸொரி சலஸு,A pregnant woman walks very carefully,கர்ப்பிணிப் பெண் மிகவும் கவனமாக நடக்கிறாள்
தெனொ பஞ்ச்வா ம்ஹடா3ம் வெஸனி கெரிஸி,She fulfilled her vow of prayer in the 5th month of pregnancy,கர்ப்பத்தின் 5 வது மாதத்தில் அவள் தனது நேர்த்திக்கடனை நிறைவேற்றினார்
ஸாத் ம்ஹடொ3 முஸல்லி கே4ர் பொ3ல்லி அவ்யாஸி,"After the baby shower, they brought her home",வளைகாப்பு முடிந்து தாய் வீட்டிற்கு அழைத்து வந்தனர்
ஸாத் ம்ஹடா3 விஶேஷும் கெ4ர்பினுக் கைனொ பி2ரட3னு,"In baby shower function, bangles are worn on pregnant women",வளைகாப்பு நிகழ்ச்சியில் கர்ப்பிணிப் பெண்ணுக்கு வளையல் அணிவிப்பார்கள்
ஸாத் ம்ஹடா3 விஶேஷும் ஹொவ்டி3 பொ4வ்ரனு,Godh bharai is done at baby shower function,வளைகாப்பு நிகழ்ச்சியில் மடி நிரப்புவார்கள்
தொ4வ்லா ஜொமன் சொக்கட்3 விஶேஷ்கன் சலெஸி,The pudding party went very well,கொழுக்கட்டை விருந்து மிக சிறப்பாக நடந்தது
கால் தெகொ3 ஸுகோ2ம்கன் ஜர்க்யம் ஹொய்யொ,She gave birth yesterday,நேற்று அவளுக்கு சுகப்பிரசவம் ஆனது
ப3ள்டின் அபுல் க2வ்னமு நிகொகன் ர்ஹனொ,Postnatal mother should be careful with her diet,பிரசவத்த தாய் தனது உணவில் கவனமாக இருக்க வேண்டும்
ஜு2கு3 பில்லல்னுக் ஸுதி3 தொ2வ்லரியொ வட்கெ ர்ஹாயி,Many children have a habit of Thumb-sucking,நிறைய குழந்தைகளுக்கு கை சூப்பும் பழக்கம் இருக்கும்
ஸெட்டி விஶேஷும் அஸ்கி ஒஸ்துன் அவ்யாஸி,All relatives attended the naming ceremony,பெயர் சூட்டும் விழாவில் அனைத்து உறவினர்களும் வந்தனர்
ந்ஹுரு பள்ளாம் நிஞ்ஜிரஸ்,The baby is sleeping in the cloth cradle,குழந்தை தூளியில் தூங்குகிறது
பள்ளாக் ஹிந்த3லெத் பில்லொ நிஞ்ஜுல்ட3யி,If we rock the cradle the baby falls asleep,தூளியை ஆட்டினால் குழந்தை தூங்கிவிடும்
துங்கொ3 லாலி க3வத்தக் களாய்யா?,Do you know how to sing a lullaby?,உங்களுக்கு தாலாட்டுப் பாடத் தெரியுமா?
"நொவத்து ம்ஹடா3ம், பில்லல்னு கொ4ணாம் கொ4ணி க2ளஸு",Babies crawl in the ninth month,ஒன்பதாவது மாதத்தில் குழந்தைகள் தவழும்
பில்லாக் ஒண்டெ ஒர்ஸு ஹோத்த வேள் ஜொவள் ஹெட்3யாஸி,The child's head was shaved when it was one year old,குழந்தைக்கு ஒரு வருடம் ஆனபோது முடியிறக்கப்பட்டது
பில்லாக் மமா மடி3ம் பி3ஸடி3 கான் மிந்த3னு,The child is made to sit on the uncle's lap and the ear is pierced,குழந்தையை தாய் மாமா மடியில் உட்கார வைத்து காது குத்துவார்கள்
ஸேல் கெர்னாத்த பில்லல்னு ஸேயா?,Is there a child who has not done mischief?,குறும்பு செய்யாத குழந்தை உண்டா?
ஹிந்தொ3 தெங்கா3 பஞ்ச்வா ஹொராடு3 ஒர்ஸு தி3ன்னு,Today is his 5th wedding anniversary,இன்று அவரது 5வது திருமண ஆண்டுவிழா
தெனு பெத்தெ ஜிவராஸி,They live as a separate family,அவர்கள் தனிக் குடும்பமாக வாழ்கிறார்கள்
தெனு அபுல் மாய்பா3புக் ஸாட்டு ஹொராட்3 கெர்யாஸி,They performed their parents' sixtieth wedding,அவர்கள் தங்கள் பெற்றோருக்கு அறுபதாம் கல்யாணத்தை நடத்தினார்கள்
தெனு அஶீதி ஹொராட்3 கெர்லியாஸி,They celebrated their 80th wedding anniversary,அவர்கள் எண்பதாம் கல்யாணம் செய்து கொண்டாடினர்
ந்ஹன்ன மல்லினி ஹொராட்3 துட்டினி லெந்து ஜேட3ஸு,Small quarrel leads to divorce,சிறிய சண்டை விவாகரத்து வரை சென்றுவிடுகிறது
பெ3ய்லன் முர்க்3யம் கே2ஸுக் வெணி ஸெரொ ப4ந்து3லஸுன்,Women wear the wig hair with braids,பெண்கள் சவுரி முடியை ஜடையுடன் பின்னுவார்கள்
வெணி கொனாம் குச்சு ப4ந்து3லனு,A tassel is tied at the end of the braid,பின்னலின் முனையில் குஞ்சம் கட்டிக்கொள்வார்கள்
எல்லெ சித்ரு மொரெ செர்ச்சினிம் பூ4ஷனொ,This painting is the jewel of my collection,இந்த ஓவியம் என் சேகரிப்பின் நகை
மென்க்யான் ஸொம்முனுக் மெனி ஜு2க்கு ஹன்னவ் வேஸ் கெரராஸ்,People spend lot of money on jewels,மக்கள் நகைகளுக்காக நிறைய பணம் செலவழிக்கிறார்கள்
பூ4ஸுன் கௌதுக் வேன் கெரஸு,Jewelry adds beauty,நகைகள் அழகை கூட்டுகிறது
பெ3ய்லன் ஆப4ரணொ க4ல்லிகின் விஶேஷுக் அவனு,Women come to the function wearing jewelry,பெண்கள் நகை அணிந்து விழாவுக்கு வருவார்கள்
தொ3ஸ்காம் பஸ்கட் ஜெட்3பு3ளொ தொ2வன்,The jedbulo is placed at the back of the head,தலையின் பின்புறத்தில் ஜடை வில்லை வைப்பார்கள்
தொரன் பா4ங்கு3 ஹொல்லொ தகன்,Thoran is an ornament placed on the hair parting,ராக்கொடி மாட்டல் வகிட்டின் மேல் போடப்படும் நகை ஆகும்
ஸுரிது பி3ந்து3 தொ3ஸ்காக் ஜைனொ பொகட் தொ2வன்,Sun jewel is placed on the right side of the head,சூரிய பிறை நகையை தலையின் வலது பக்கம் வைப்பார்கள்
செந்தா3மு பி3ந்து3 தொ3ஸ்காக் தை3ரொ பொகட் தொ2வன்,A crescent moon necklace is placed on the left side of the head,சந்திர பிறை நகையை தலையின் இடது பக்கம் வைப்பார்கள்
கபா3ல்டு3 ம்ஹத்3தி3 தொ2வரியொ பி3ந்தி3 ஹிந்து3 தெ4ருமு லெக்ஷன்,Bindi placed in the center of the forehead is a symbol of Hinduism,நெற்றியின் மையத்தில் வைக்கப்படும் பொட்டு இந்து மதத்தின் சின்னம்
பிம்ப3ளம் மெனரியொ கபா3ல்டு3ர் லொம்ப3ரியொ ஸொம்மு,Pimbalam is a jewel that hangs on the forehead,நெத்திச்சுட்டி என்பது நெற்றியில் தொங்கும் நகை
மிர்கான் மெனரியொ கானும் ஸொவ்ண்டல்லரியொ ஸொம்மு,Mirkan is a jewelry worn over the ears,காது மாட்டல் என்பது காதுகளில் மாட்டிக்கொள்ளும் நகை
அஸ்கி பெ3ய்ல்மெனின் தவ்னட் க4ல்லனு,All girls wear earrings,அனைத்து பெண்களும் காதணிகளை அணிவார்கள்
தர்மட்3 ஜு2கு3 ரூபுனும் அப்3ப3ரஸி,Earrings are available in various designs,பல்வேறு வடிவமைப்புகளில் காதணிகள் கிடைக்கின்றன
"தவ்னடு ஸொரெ தெ3ள்கொ ர்ஹியெத், தெல்லெ தய்லத்த வேள் து3க்காயி","If the shaft of the stud is too big, it will be painful to wear it","கம்மல் தண்டு பெரியதாக இருந்தால், அதை அணியும் போது வலி ஏற்படும்"
பி3ல்லொ தவ்னடுக் கெ4ட்டி தெ3ல்லஸு,The washer holds the earring tightly,வாஷர் காதணியை இறுக்கமாகப் பிடிக்கிறது
தவ்னட் தி4ல்லொ பொட்னாத்தக் ர்ஹாத்தொ திர்க்கணி நுக3ஸு,Screw is used to keep the earrings from loosening,காதணிகள் தளர்ந்துவிடாமல் இருக்க திருகாணி பயன்படுத்தப்படுகிறது
பில்லல்னு கானும் ஸாலு குந்த3ளம் க4லனு,A small earrings is worn in the child's ear,குழந்தையின் காதில் சிறிய கம்மலை அணிவிப்பார்கள்
ஒந்துனுன் குந்த3ளம் க4ல்லனு,Women wear Kundalam in ther ear,பெண்கள் கம்மல் அணிவார்கள்
த3ல்லமெனின் கானும் பொங்கு3ளொ தய்லனு,Men wear Pongulo in the ear,ஆண்கள் காதில் கடுக்கன் அணிவார்கள்
ஜு2ங்கள் ஸ்த்ரீனு ஸிங்க்3யார் வேன் கெரயி,Fancy earrings enhance the beauty of women,ஜிமிக்கிகள் பெண்களின் அழகை அதிகரிக்கும்
அளின் ஜைனொ நாகு3ம் வஜ்ஜிரு நாகுதளொ க4ல்லனு,Women wear a diamond nose ring on the right nose,பெண்கள் வலது மூக்கில் வைர மூக்குத்தி அணிவார்கள்
முக்குர் ஒண்டெ கலமு நாவ்பொட3யொகன் ஹொதெ3ஸ்,Triangular nosering was popular once,முக்கோண மூக்குத்தி ஒரு காலத்தில் பிரபலமாக இருந்தது
பி3ல்லாக்கு க4ல்லத்தெ ஹிந்தா3 ரீதி,Wearing nose pendant is style these days,மூக்கணி அணிவது இன்றைய பாணி
ஒர்ஸுஹொயெ பெ3ய்ல்மெனின் தீ3 நாகு3ம் பே3ஸ்திரி க4ல்லி ர்ஹானு,Older women wear Baesthiri on both noses,வயதான பெண்கள் இரு மூக்கிலும் பேசரி அணிந்திருப்பார்கள்
கெ3ஜ்ஜெல் மெனரியொ கெ3லா ஸெர்மான் ர்ஹாத்திஸா ஆபரணொ,A necklace is an ornament around the neck,அட்டிகை என்பது கழுத்தை ஒட்டி இருக்கும் ஆபரணம்
ஹொராடு3 விஶேஷுக் ஜு2கு3 பெ3ய்ல்மெனின் அட்3க்3யல் க4ல்லனு,Many women wear necklace for wedding ceremony,திருமண விழாவிற்கு பல பெண்கள் அட்டிகை அணிவார்கள்
த3ல்லமெனின் மெல்லொ ஸொர்ணு தெ3ண்டொ3 க4ல்லனு,Men also wear gold chains,ஆண்களும் தங்கச் சங்கிலிகளை அணிவார்கள்
ஸரட்3 தொ2வெ தெ3ண்டொ3 ஜு2க்கு நாவ் பொட3யொ,The chain with red stone is very popular,சிவப்பு கல் கொண்ட சங்கிலி மிகவும் பிரபலமானது
ஹாரம் தெ3ண்டொ3 ஸொம்மர் லம்பொ3கின் பா4ர்கன் ர்ஹாயி,A golden garland is longer and heavier than chain,தங்கமாலை சங்கிலியை விட நீளமாக மற்றும் கனமாக இருக்கும்
வங்கி3 மெனரியொ கொ2பா3க் உஞ்சொ க4ல்லத்திஸா ஸொம்மு,Vangi is a jewelery worn by women above the elbow,கொந்திக்காய் என்பது முழங்கைக்கு மேல் பெண்கள் அணியும் நகை
நமுத்து மெனரியொ கொ2பா3க் க2ல்லொ க4ல்லத்திஸா ஸொம்மு,Namuththu is a jewelery worn by women above the elbow,நமுத்து என்பது முழங்கைக்கு கீழே பெண்கள் அணியும் ஒரு வகை நகை
பிஸ்னி கைனான் ல்ஹெகூ3வரும் பு2ட்டை,Plastic bangles break easily,பிளாஸ்டிக் வளையல்கள் எளிதில் உடையும்
கெங்க3ண் தை3ரொ கங்க்3ராம் ப4ந்த3னு,The bracelet is tied on the right wrist,கைக் காப்பை வலது கை மணிக்கட்டில் கட்டுவார்கள்
