sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,தொவ்டொ3,tovDo,,,,Peel,பழத்தோல்,ஒஜனான் பொள்ளாம்பா3 தொவ்டா3க் கா2ஸுன்,Some eat mango peel,சிலர் மாம்பழத்தோலை சாப்பிடுவார்கள்,fruits,corpus_sourashtradictionary
,,எல்லிர்,ellir,,,,Tender Coconut,இளநீர்,எல்லிர் ஆங்கு3 ஹுன்னாக் க2ட3யி,Tender Coconut reduces stomach heat,இளநீர் உடல் சூட்டை குறைக்கும்,fruits,corpus_sourashtradictionary
,,கௌனல்,kaunal,,,,Green tender coconut,பச்சை இளநீர்,கௌனல் ஸோக் அண்சயி,Green tender coconut quenches thirst,பச்சை இளநீர் தாகத்தை தணிக்கும்,fruits,corpus_sourashtradictionary
,,ஸௌனல்,saunal,,,,Mature tender coconut,முதிர்ந்த இளநீர்,ஸௌனல் ஆங்கு3க் சொக்கடு3,Mature tender coconut is better for the body,சிவப்பு இளநீர் உடலுக்கு மிகவும் நல்லது,fruits,corpus_sourashtradictionary
,,நரெள்,nareL,,,,Coconut,தேங்காய்,நரெள் ஹட்கானுக் பொ3லம் கெரயி,Coconut strengthens bones,தேங்காய் எலும்புகளை பலப்படுத்தும்,fruits,corpus_sourashtradictionary
,,கெளொ,keLo,,,,"Banana, Ripe Plantain",வாழைப்பழம்,கெளொ தெ3ள்கொ பொட3த்தக் ஸஹாவ் கெரஸு,Banana helps in weight gain,வாழைப்பழம் எடை அதிகரிக்க உதவுகிறது,fruits,corpus_sourashtradictionary
,,கச்சம்பொ3,kaccambo,,,,Mango,மாங்காய்,கச்சம்பொ3 வேன் க2யெத் போட் து3க்காயி,Eating too much mango will cause stomach ache,மாங்காய் அதிகம் சாப்பிட்டால் வயிறு வலிக்கும்,fruits,corpus_sourashtradictionary
,,பொள்ளாம்பொ3,poLLaambo,,,,Ripe Mango,மாம்பழம்,பொள்ளாம்பொ3 பா4ரது ராஷ்ட்ரீயொ பொள்ளொ,Mango is the national fruit of India,மாம்பழம் இந்தியாவின் தேசிய பழம்,fruits,corpus_sourashtradictionary
,,பெ3ஸமு,besamu,,,,Fleshy part of the fruit,பழத்தின் சதைப்பகுதி,பெ3ஸம் கொ2ப்3பி3ம் கு3ள்ளெகன் ர்ஹாயி,The fleshy part of the fruit is always sweet,பழத்தின் சதைப்பகுதி எப்போதும் இனிப்பாக இருக்கும்,fruits,corpus_sourashtradictionary
,,கீத்,keet,,,,Slice of a fruit,"சுளை, பழத்துண்டு",பிள்ளல்னுக் கச்சம்பா3 கீத் ஒப்பாயி,Kids like mango slice,குழந்தைகளுக்கு மாம்பழத் துண்டு பிடிக்கும்,fruits,corpus_sourashtradictionary
,,பொ2ன்னிஸு பொள்ளொ,phonnisu poLLo,,,,Jackfruit,பலாப்பழம்,மை ருசி பொ2ன்னிஸு பொள்ளா விஶேஷணொ,Honey flavor is the specialty of jackfruit,தேன் சுவை பலாப்பழத்தின் சிறப்பு,fruits,corpus_sourashtradictionary
,,கிச்2சி2ர்,kichchir,,,,Orange,ஆரஞ்சு,கிச்2சி2ர் விட்டமின் - சி தே3ஸு,An orange provides vitamin C,ஒரு ஆரஞ்சு வைட்டமின் சி அளிக்கிறது,fruits,corpus_sourashtradictionary
,,தி3ராக்ஷெ,diraakshe,,,,Grape,திராட்சை,தி3ராக்ஷென் கு3சொ கு3சொகன் ஹொட3யி,Grapes grow in bunches,திராட்சைகள் கொத்து கொத்தாக வளரும்,fruits,corpus_sourashtradictionary
,,த3க்கு,dakku,,,,Grape,"கொடிமுந்திரி, திராட்சைப்பழம்",த3க்கு ரெஸ்ஸு மொதொ3 தே3யி,Grape juice is intoxicating,திராட்சை ரசம் போதை தரும்,fruits,corpus_sourashtradictionary
,,ஸீதல்பொள்ளொ,seetalpoLLo,,,,"Custard Apple, Sugar-apple",சீதாப்பழம்,ஸீதல்பொள்ளொ ஜீர்ணுக் பி4ள்ளொ கெரஸு,Sugar-apple improves digestion,சீதாப்பழம் செரிமானத்தை மேம்படுத்துகிறது,fruits,corpus_sourashtradictionary
,,த4னிம் பொள்ளொ,dhanim poLLo,,,,Pomegranate,மாதுளம்பழம்,த4னிம் பொள்ளொ ரெகது3 கி3ண்ணிக் வேன் கெரஸு,Pomegranate increases blood count,மாதுளை இரத்த எண்ணிக்கையை அதிகரிக்கிறது,fruits,corpus_sourashtradictionary
,,த3ளிம் பொள்ளொ,daLim poLLo,,,,Pomegranate,மாதுளம்பழம்,த3ளிம் பொள்ளொ ரெகது3க்ஷயமுக் சொக்கடு3,Pomegranate is good for anemia,மாதுளை இரத்த சோகைக்கு நல்லது,fruits,corpus_sourashtradictionary
,,த3ணிங்கைலொ,daNingkailo,,,,Unripe Pomegranate,மாதுளங்காய்,த3ணிங்கைலா பி3ஜ்ஜட் கை2ராஸ்யா?,Have you eaten Pomegranate Pickles?,மாதுளங்காய் ஊறுகாய் சாப்பிட்டதுண்டா?,fruits,corpus_sourashtradictionary
,,சி2க்கொ,chikko,,,,"Sapodilla, Chikoo fruit",சப்போட்டா,சி2க்கொ கெண்டா3க் புஷ்டி கெரஸு,Sapodilla nourishes the skin,சப்போட்டா சருமத்திற்கு ஊட்டமளிக்கிறது,fruits,corpus_sourashtradictionary
,,கி4ராஸு பொள்ளொ,ghiraasu poLLo,,,,Pineapple,அன்னாசிப்பழம்,கி4ராஸு பொள்ளொ கு3ண்டெ3ன் து3ன்னொ அவ்னாத்தக் கப3ட3ஸு,Pineapple protects against heart attacks,அன்னாசிப்பழம் மாரடைப்பு வராமல் பாதுகாக்கிறது,fruits,corpus_sourashtradictionary
,,ஜா2டு3 பொள்ளொ,jhaaDu poLLo,,,,Pineapple,அன்னாசிப்பழம்,ஜா2டு3 பொள்ளா ருசி அம்ப3ட் கு3ள்ளெகன் ர்ஹாயி,The taste of pineapple is sour and sweet,அன்னாசிப்பழத்தின் சுவை புளிப்பு இனிப்பாக இருக்கும்,fruits,corpus_sourashtradictionary
,,ல்ஹொவொ பொள்ளொ,lhovo poLLo,,,,Apple,ஆப்பிள்,நிச்சு ஒண்ட ல்ஹொவொ பொள்ளொ க2யெத் ஒய்து3க் து3தூ3ர் தொ2வாய்,An apple a day can keep the doctor away,ஒரு நாளைக்கு ஒரு ஆப்பிள் சாப்பிட்டால் மருத்துவரைத் தள்ளி வைக்கலாம்,fruits,corpus_sourashtradictionary
,,கொய்யாபொள்ளொ,koyyaapoLLo,,,,Guaua,கொய்யாபழம்,"கொய்யாபொள்ளாம் ல்ஹொவொ, ஹுஜால் மெனி தீ3 ப்ரகார்னு ஸே","There are two varieties of guava fruit, red and white","கொய்யாப் பழத்தில் சிவப்பு, வெள்ளை என இரண்டு வகைகள் உள்ளன",fruits,corpus_sourashtradictionary
,,இம்ப்3ளொ,imbLo,,,,Guaua,கொய்யாப்பழம்,இம்ப்3ளொ மல ப4ந்தி3னிக் திர்ச்சயி,Guava helps relieve constipation,கொய்யாப்பழம் மலச்சிக்கலைத் தீர்க்கும்,fruits,corpus_sourashtradictionary
,,பியரி பொள்ளொ,piyari poLLo,,,,Pear,பேரிக்காய்,ஒர்ஸும் தீ3 ம்ஹடொ3 ஒண்டேஸ் பியரி பொள்ளொ அப்3ப3யி,Pears are available only two months of the year,வருடத்தில் இரண்டு மாதங்கள் மட்டுமே பேரிக்காய் கிடைக்கும்,fruits,corpus_sourashtradictionary
,,போ4ரு பொள்ளொ,bhOru poLLo,,,,"Jujube, Red date",இலந்தைப்பழம்,போ4ரு பொள்ளொ ஆங்கு3க் ஸில்லொ கெரயி,Jujube cools the body,இலந்தைப்பழம் உடலை குளிர்ச்சியாக்கும்,fruits,corpus_sourashtradictionary
,,ஜெம்பு3 பொள்ளொ,jembu poLLo,,,,Blackberry,நாவற்பழம்,ஜெம்பு3 பொள்ளொ களொநிளா வனிம் ர்ஹாயி,The Blackberry is dark blue in color,நாவற்பழம் கருநீல நிறமுடையதாக இருக்கும்,fruits,corpus_sourashtradictionary
,,லிமுஸு பொள்ளொ,limusu poLLo,,,,Madras Thorn,கொடுக்காப்புளி,லிமுஸு பொள்ளொ க2யெத் தோன் வஸுஞ்சயி,Mouth stinks if you eat madras thorn,கொடுக்காப்புளி சாப்பிட்டால் வாய் துர்நாற்றம் அடிக்கும்,fruits,corpus_sourashtradictionary
,,லிம்பு3 பொள்ளோ,limbu poLLO,,,,Lemon,எலுமிச்சம்பழம்,லிம்பு3 பி3ஜ்ஜட் அஸ்கி கொ4ம்மானும் ர்ஹாயி,Lemon pickle is available in every home,எலுமிச்சை ஊறுகாய் எல்லா வீட்டிலும் இருக்கும்,fruits,corpus_sourashtradictionary
,,கொவுட்டு பொள்ளொ,kovuTTu poLLo,,,,Wood-apple,விளாம்பழம்,வினாயிக் கொவுட்டு பொள்ளொ தொ2வி மட3னு,Vinayaka Chaturthi is celebrated with wood-apple,விநாயக சதுர்த்தியை விளாம்பழம் வைத்து கொண்டாடுவார்கள்,fruits,corpus_sourashtradictionary
,,ஸும்புடு3 பொள்ளொ,sumpuDu poLLo,,,,"Assyrian plum, Cordia myxa","மூக்குசளி பழம், நறுவிலி",ஸும்புடு3 பொள்ளொ நீமு பொள்ளொ ஸொகன் ர்ஹாயி,Assyrian plum looks like neem fruit,மூக்குசளி பழம் பார்ப்பதற்கு வேப்பம் பழம் போல் இருக்கும்,fruits,corpus_sourashtradictionary
,,கோ2ஜா,khOjaa,,,,Watermelon,தர்பூசணி,கோ2ஜாம் பனி போஷணொ ஜு2க்கு ஸே,Watermelon has a very high water content,தர்பூசணியில் நீர்ச்சத்து மிக அதிகம் உள்ளது,fruits,corpus_sourashtradictionary
,,உம்ப்3ளொ,umbLo,,,,Fig,அத்திப்பழம்,உம்ப்3ளொ ஆங்கு3க் புஷ்டி கெரஸு,Figs nourish the body,அத்திப்பழம் உடலுக்கு ஊட்டமளிக்கிறது,fruits,corpus_sourashtradictionary
,,"உம், உம்ப3னொ","um, umbano",,,,Fig,அத்தி,உம்ப3னொ கு3ண்டெ3க் பொ3லம் கெரயி,Figs strengthen the heart,அத்திப்பழம் இதயத்தை பலப்படுத்தும்,fruits,corpus_sourashtradictionary
,,பீ4ஸு,bheesu,,,,Black dates,சிற்றீச்சம்பழம்,பீ4ஸு தா3து3 க்ஷயமு ர்ஹீ கப3ட3ஸு,Black dates protect teeth against decay,சிற்றீச்சம்பழம் பல் சிதைவிலிருந்து பாதுகாக்கிறது,fruits,corpus_sourashtradictionary
,,பெச்சம் பொள்ளொ,peccam poLLo,,,,"Date fruit, Dates",பேரீச்சம்பழம்,பெச்சம் பொள்ளாம் ல்ஹொணு போஷணொ ஸே,Date fruit is rich in iron,பேரிச்சம் பழத்தில் இரும்புச்சத்து அதிகம்,fruits,corpus_sourashtradictionary
,,"க2ஸுலா பொள்ளொ, க2ஸ்லொ","khasulaa poLLo, khaslo",,,,"Date fruit, Dates",பேரீச்சம்பழம்,அரபு3 தே3ஶும் க2ஸ்லொ ஜு2க்கு பிக்கஸு,Dates are widely grown in Arab countries,அரபு நாடுகளில் பேரிச்சம்பழம் அதிகம் விளைகிறது,fruits,corpus_sourashtradictionary
,,கீ2ஸ்,khees,,,,"Date fruit, Dates",பேரீச்சம்பழம்,கீ2ஸ் க2யிகின் ஓக3த் முஸட3த்தெ ப3ரொ,It is good to end the fast by eating dates,பேரீச்சம்பழம் சாப்பிட்டு விரதத்தை முடிப்பது நல்லது,fruits,corpus_sourashtradictionary
,,கீ4ஸ்,ghees,,,,"Date fruit, Dates",பேரீச்சம்பழம்,கீ4ஸுக் மைம் பி3ஜ்ஜடி3 க2வாயி,Dates can be soaked in honey and eaten,பேரீச்சம்பழத்தை தேனில் ஊறவைத்து சாப்பிடலாம்,fruits,corpus_sourashtradictionary
,,க2ஜ்ஜுர்,khajjur,,,,"Date fruit, Dates",பேரீச்சம்பழம்,க2ஜ்ஜுரும் ர்ஹீ ஹல்வா கெருவாயி,Halva can be made from dates,பேரிச்சம் பழத்தில் அல்வா செய்யலாம்,fruits,corpus_sourashtradictionary
,,துங்க,tungka,,,,"Tender Palmyra fruit, Ice apple",நுங்கு,போடு3க் ஸில்லொ கெரத்தெமாம் துங்க ஸிரேஶ்டு,Tender Palmyra fruit is the best in cooling the stomach,வயிற்றுக்கு குளிர்ச்சி தருவதில் நுங்கு சிறந்தது,fruits,corpus_sourashtradictionary
,,தும்ப2ல்,tumphal,,,,Palmyra fruit,பனம்பழம்,தும்ப2ல் தாக் தாக்கன் ர்ஹாயி,Palmyra fruit is highly fibrous,பனம்பழம் நார் நாராக இருக்கும்,fruits,corpus_sourashtradictionary
,,தாடி3 கெளங்கு,taaDi keLangku,,,,Palmyra tuber,பனங்கிழங்கு,தாடி3 கெளங்குகுக் ஸுவ்ஜிகின் கா2னு,Palmyra tuber is boiled and eaten,பனங்கிழங்கை வேகவைத்து சாப்பிடுவார்கள்,fruits,corpus_sourashtradictionary
,,தாடி3 பு3ள்ளொ,taaDi buLLo,,,,Palmyra tuber,பனங்கிழங்கு,தாடி3 பு3ள்ளொ க2யெத் போட்பு2கி3 ஹிம்ஸொ அவயி,Eating palmyra tuber can cause flatulence,பனங்கிழங்கு சாப்பிட்டால் வாயுத்தொல்லை ஏற்படும்,fruits,corpus_sourashtradictionary
