sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard_kyoto,iast,ipa,meaning_english,meaning_tamil,example_sentence_sourashtra,example_sentence_english,example_sentence_tamil,category,source
,,பூட்,pooT,,,,One time meal,ஒரு வேளை உணவு,தீ2ன் பூட் பா4துக் இக்கொ கெஷ்டம் பொட்3ன ஹோஸ்,How much have to suffer for three meals,மூன்று வேளை உணவுக்கு எவ்வளுவு கஷ்டப்பட வேண்டியுள்ளது,food,corpus_sourashtradictionary
,,கா4ஸ்,ghaas,,,,A big rice ball,சோற்று உருண்டை,தௌ4ராம் பொங்க3ல் ம்ஹொட்டொ கா4ஸ்கன் தே3ஸுன்,Pongal is served in a big ball in the temple,கோவிலில் பொங்கலை பெரிய உருண்டையாக கொடுப்பார்கள்,food,corpus_sourashtradictionary
,,உண்டொ3,uNDo,,,,"Ball, Orb",உருண்டை,தீளு உண்டா3க் அஸ்கி ஒர்ஸு கெரின் க2வாயி,People of all ages can eat sesame balls,எள்ளு உருண்டையை அனத்து வயதினரும் சாப்பிடலாம்,food,corpus_sourashtradictionary
,,பொ3ர்க்குலு உண்டொ3,borkkulu uNDo,,,,Puffed rice ball,பொரி உருண்டை,பொ3ர்க்குலு உண்டா3க் பில்லல்னுன் ப்ராமொ பொடி3 கா2ஸுன்,Children love to eat fried balls,பொரி உருண்டையை குழந்தைகள் விரும்பி சாப்பிடுவார்கள்,food,corpus_sourashtradictionary
,,பா4த்,bhaat,,,,Cooked rice,"சோறு, சாதம்",அங்கு3 ரொவ்வொ பா4த் தாய்,Put some more rice,இன்னும் கொஞ்சம் சோறு போடு,food,corpus_sourashtradictionary
,,ஸில்லபா4த்,sillabhaat,,,,"A meal of leftover rice soaked in water at night, Stale meal","பழையசோறு, பழைய சாதம்",அத்தொ அஸ்கி கோன் ஸில்லபா4த் கா2ராஸ்?,Who eats stale meal these days?,இப்போதெல்லாம் யார் பழையசோறு சாப்பிடுகிறார்கள்?,food,corpus_sourashtradictionary
,,கென்னி பேஸ்,kenni pEs,,,,Rice Porridge,"நொய்க்கஞ்சி, அரிசிக் கஞ்சி",ஆங்கு3 ஹுன்னொ ஸுட்டலெங்கு3 கென்னி பேஸ் ஒண்டேஸ்,Only rice porridge until the fever subsides,காய்ச்சல் விடும்வரை நொய்க்கஞ்சி மட்டும் தான்,food,corpus_sourashtradictionary
,,ஸுகு3ட்,suguT,,,,Pudding,களி,பெ3ய்லனுக் கேடு பொ3லமுக் உடி3து3 ஸுகு3ட் தே3னு,"For women, they give dal pudding to strengthen their hips",பெண்களுக்கு இடுப்பு பலத்திற்கு உளுந்து களி கொடுப்பார்கள்,food,corpus_sourashtradictionary
,,அம்பி3ல்,ambil,,,,"Gruel, Pulp, Mush",கூழ்,ஆடி3 ம்ஹடா3ம் மாரியம்மா தௌ4ராம் அம்பி3ல் தே3ஸுன்,"In the month of Aadi, they serve gruel in the Mariamman temple",ஆடி மாதம் மாரியம்மன் கோவிலில் கூழ் ஊற்றுவார்கள்,food,corpus_sourashtradictionary
,,அம்ருத்,amrut,,,,"Nectar, Elixir","அமிழ்தம், அமுதம்",ஸோகும் பனி மெல்லொ அம்ருத் ஸொகன் லக3யி,Even water seems like elixir in thirst,தாகத்தில் தண்ணீர் கூட அமுதம் போல் தெரியும்,food,corpus_sourashtradictionary
,,ரும்பி,rumpi,,,,"Nectar, Elixir","அமிழ்தம், அமுதம்",பு4க்லாக் ஸுக்கெ ரொட்டி மெல்லொ ரும்பி,Even dry bread is elixir for the hungry,பசித்தவனுக்கு காய்ந்த ரொட்டியும் அமுதம்,food,corpus_sourashtradictionary
,,ஸம்பா3ர்,sambaar,,,,"Spicy gravy, stew, broth",சாம்பார்,ஸெவாக்கய்லா ஸம்பா4ர் ருசிகன் ஸே,Drumstick sambar is delicious,முருங்கைக்காய் சாம்பார் ருசியாக உள்ளது,food,corpus_sourashtradictionary
,,அவ்ண்டி,avNTi,,,,"Tamarind gravy, stew, broth","குழம்பு, புளிக்குழம்பு",அவ்ண்டி தீ3தி3 ஹொயெத் மெள்ளி நஜ்ஜானி,The tamarind gravy does not spoil even for two days,புளிக்குழம்பு இரண்டு நாளானாலும் கெடுவதில்லை,food,corpus_sourashtradictionary
,,அம்டி,amTi,,,,"Tamarind gravy, stew, broth","குழம்பு, புளிக்குழம்பு",அம்டி ககொ3 கொடு3 லக3ரியோ?,Why does tamarind gravy taste bitter?,புளிக்குழம்பு ஏன் கசப்பாக இருக்கிறது?,food,corpus_sourashtradictionary
,,கொ3ஜ்ஜு,gojju,,,,"Tamarind gravy, stew, broth","குழம்பு, புளிக்குழம்பு",கொ3ஜ்ஜு ஸெர்க்க தப்பிரனி. தாடொ3 ஸே !,The tamarind gravy is not boiled properly. It is watery!,புளிக்குழம்பு சரியாக கொதிக்கவில்லை. தண்ணீராக இருக்கிறது !,food,corpus_sourashtradictionary
,,கொள்கர்,koLkar,,,,"Chilli Gravy, stew, broth",காரக்குழம்பு,கொள்கர்யா? வஸுனொ துக்கரஸ் !,Chilli gravy? Smells good!,காரக்குழம்பா? வாசனை நன்றாக வருகிறது !,food,corpus_sourashtradictionary
,,மிரி கொள்கர்,miri koLkar,,,,"Pepper Gravy, stew, broth",மிளகு குழம்பு,மிரி கொள்கர் வேன் ஸொட்3லியெத் போட் து3க்காய்,Pouring too much pepper broth will cause stomach ache,மிளகு குழம்பு அதிகம் ஊற்றினால் வயிறு வலிக்கும்,food,corpus_sourashtradictionary
,,லொஸனு கொள்கர்,losanu koLkar,,,,"Garlic Gravy, stew, broth",பூண்டு குழம்பு,லொஸனு கொள்கர் போட்பு2கி3க் சொக்கடு3,Garlic gravy is good for flatulence,பூண்டு குழம்பு வாய்வுக்கு நல்லது,food,corpus_sourashtradictionary
,,சைனா அவ்ண்டி,cainaa avNTi,,,,"Mutton gravy, stew, broth",கறிக்குழம்பு,ஜு2கு3 தெனு ஐதார்தி3 சைனா அவ்ண்டி கெரஸுனு,Many people make mutton gravy on Sunday,நிறைய பேர் ஞாயிறன்று கறிக்குழம்பு செய்கிறார்கள்,food,corpus_sourashtradictionary
,,ப4ஜ்ஜி சார்,bhajji caar,,,,"Spinach gravy, Green Stew, broth",கீரை குழம்பு,ப4ஜ்ஜி சாரு ருசி கொம்மன்கன் ர்ஹாயி,Spinach gravy tastes unfermented,கீரைக் குழம்பு இளஞ்சுவையில் இருக்கும்,food,corpus_sourashtradictionary
,,தெ4ய்ஞ் அவ்ண்டி,dheynj avNTi,,,,"Whey gravy, stew, broth",மோர்க்குழம்பு,தெ4ய்ஞ் அவ்ண்டிம் பி3ஜ்ஜெ வடொ3 ருசிகன் ர்ஹாயி,Donut soaked in whey gravy is delicious,மோர்க்குழம்பில் ஊறிய வடை சுவையாக இருக்கும்,food,corpus_sourashtradictionary
,,தெ4ஞி அம்டி,dhenji amTi,,,,"Whey gravy, stew, broth",மோர்க்குழம்பு,தெ4ஞி அம்டி ரொவ்வொ கெ4டி3ம் கெர்த்துவாய்,Whey gravy can be made in little time,மோர்க்குழம்பை சிறிது நேரத்தில் செய்துவிடலாம்,food,corpus_sourashtradictionary
,,திம்டி,timTi,,,,Indian Soup,ரசம்,ஒதெனுன் திம்டிக் போ3னிம் சொட்3லி பேஸுன்,Some people pour Indian soup into a tumbler and drink it,சிலர் ரசத்தை குவளையில் ஊற்றி குடிக்கிறார்கள்,food,corpus_sourashtradictionary
,,பிள்சார்,piLcaar,,,,Indian Soup,ரசம்,ஜெமனு பிள்சார் பெ4ளி ருசிகன் ர்ஹாயி,Indian soup is very delicious in wedding feast,திருமண விருந்தில் ரசம் மிகச் சுவையாக இருக்கும்,food,corpus_sourashtradictionary
,,சீஸ் அம்டி,cees amTi,,,,Indian soup,ரசம்,சீஸ் அம்டி ஜீர்ணுக் ஸஹாவ் கெரயி,Indian soup helps in digestion,ரசம் செரிமானத்திற்கு உதவும்,food,corpus_sourashtradictionary
,,கெட்டு பிள்சார்,keTTu piLcaar,,,,Lentle Indian Soup,பருப்பு ரசம்,ஒதெனுன் கெட்டு பிள்சார் ஒண்டேஸ் ஸொட்3லன்,Some people take only lentle Indian Soup,சிலர் பருப்பு ரசம் மட்டுமே ஊற்றிக்கொள்வார்கள்,food,corpus_sourashtradictionary
,,தெ4ய்ஞ்,dheynj,,,,"Curd, Yogurt",தயிர்,ஜு2கு3தெங்கொ3 தெ4ய்ஞ் அம்ப3ட்கன் ர்ஹியெதி3ஸ் ஒப்பாய்,Many people like yogurt only if it is fermented,பலருக்கு தயிர் புளித்திருந்தால் தான் பிடிக்கும்,food,corpus_sourashtradictionary
,,தெ4ஞி,dhenji,,,,"Curd, Yogurt",தயிர்,தெ4ஞி அம்ப3ட்கன் ர்ஹியெத் மீட் செர்ச்சுல்னொ,Add salt if curd is sour,தயிர் புளிப்பாக இருந்தால் உப்பு சேர்க்கவேண்டும்,food,corpus_sourashtradictionary
,,தெ4ய்ஞ் பனி,dheynj pani,,,,Butter milk,மோர்,தின்னாள் வேள் தெ4ய்ஞ் பனி மௌடொ3 தக3ஸுன்,During the festival they put up buttermilk bunting,திருவிழாவின் போது மோர் பந்தல் போடுவார்கள்,food,corpus_sourashtradictionary
,,தெ4ஞி பனி,dhenji pani,,,,Butter milk,மோர்,ஹூனுகலமு தெ4ஞி பனி பேத்தெ சொக்கடு3,It is good to drink buttermilk in summer,வெயில்காலத்தில் மோர் குடிப்பது நல்லது,food,corpus_sourashtradictionary
,,தாகு,taaku,,,,Butter milk,மோர்,தாகு வேன் பியெத் ஹக்3கு3னொ ஹொய்யாய்,Drinking too much buttermilk can cause diarrhoea,மோர் அதிகம் குடித்தால் வயிற்றுப்போக்கு ஏற்படும்,food,corpus_sourashtradictionary
,,கெ2ரஸ்,kheras,,,,Cottage cheese,பாலாடை (பனீர்),தூ3த் சொக்கட் அடாத்திஸொ தப்படி3 கெ2ரஸ் கெரஸுன்,Cottage cheese is made by boiling milk thoroughly until it coagulates,பால் நன்றாக சுண்டும்படி கொதிக்க வைத்து பாலாடை செய்கிறார்கள்,food,corpus_sourashtradictionary
,,லொனி,loni,,,,Butter,வெண்ணை,தெ4ய்ஞிக் கு3ஸிலி லொனி ஹெட3ஸுனு,Butter is extracted by churning the curd,தயிரைக் கடைந்து வெண்ணெய் எடுப்பார்கள்,food,corpus_sourashtradictionary
,,தூப்,toop,,,,"Clarified butter, Ghee","எண்ணை, நெய்",சோட் தூப் இக்கெதி3 ஹொயெத் மெல்லொ நஜ்ஜானா,Ghee does not go bad no matter how long it lasts,நெய் எவ்வளவு நாள் ஆனாலும் கெடாது,food,corpus_sourashtradictionary
,,கய்லொகெஸுர் க2வ்னம்,kaylokesur khavnam,,,,Salad,காய்கறி உணவு,"துங்கொ3 கய்லொகெஸுர் க2வ்னம்தி3, ரெஸ்ஸுதி3 காய்தி3 பஜெயா?",Would you like some salad or soup ?,உங்களுக்கு காய்கறி உணவு அல்லது சாறு ஏதாவது வேண்டுமா?,food,corpus_sourashtradictionary
,,குட்கிரி,kuTkiri,,,,Bottle gourd Curry,சுரைக்காய் கூட்டு,ஹிந்தொ3 அவ்ரெ கொ4ம்மொ பொட்கு3லா குட்கிரி,"Today, we have bottle gourd curry at home",இன்று எங்கள் வீட்டில் புடலங்காய் கூட்டு,food,corpus_sourashtradictionary
,,பொள்டினி,poLTini,,,,Fries,பொரியல்,துங்கொ3 க3வுரு பொள்டினி ஒப்பாய்யா?,Do you like carrot fries?,உங்களுக்கு காரட் பொரியல் பிடிக்குமா?,food,corpus_sourashtradictionary
,,தெள்னி,teLni,,,,Deep frying,எண்ணை பொரியல்,தெள்னியொ க2யெத் பா4ர் தக3யி,"Eating something deep fried in oil, will gain weight",எண்ணெயில் பொரித்ததை சாப்பிட்டால் எடை போடும்,food,corpus_sourashtradictionary
,,பு4ஞ்ஜினி,bhunjjini,,,,Roasting,வறுத்தல்,பொ2ன்னிஞ்சென்னாக் ஹுலாம் பு4ஞ்ஜனு,Corn is roasted on fire,சோளத்தை நெருப்பில் வறுப்பார்கள்,food,corpus_sourashtradictionary
,,அம்ப3ட்,ambaT,,,,Curry masala,கறி மசாலா,கென்னுனுக் அம்ப3ட் கெரி பா4த் ஸெரொ கா2ஸுனு,Grains are cooked as curry masala and eaten with food,தானியங்களை கறியாக சமைத்து உணவுடன் சாப்பிடுகிறார்கள்,food,corpus_sourashtradictionary
,,கச்சென்னா அம்ப3ட்,kaccennaa ambaT,,,,Chickpea curry,கொண்டைக்கடலை கறி,கச்சென்னா அம்ப3ட் ரொவ்வொ கெ4டி3ம் ஸெஜ்ஜாய்,The chickpea curry runs out in no time,கொண்டைக்கடலை கறி சிறிது நேரத்தில் தீர்ந்துவிடும்,food,corpus_sourashtradictionary
,,கென்னு அம்ப3ட்,kennu ambaT,,,,Lima bean curry,மொச்சைப் பயறு கறி,வாரும் ஒண்டெதி3 கென்னு அம்ப3ட் கெர்னொ,One day in a week should make Lima beans curry,வாரத்தில் ஒரு நாள் மொச்சைப் பயறு கறி செய்யவேண்டும்,food,corpus_sourashtradictionary
,,ராஜ்மா அம்ப3ட்,raajmaa ambaT,,,,Kidney bean curry,சிவப்பு காராமணி கறி,ஜெமனும் ராஜ்மா அம்ப3ட் ஹொவ்ட்3யாஸி,Kidney bean curry was served at the feast,விருந்தில் சிவப்பு காராமணி கறி பரிமாறினார்கள்,food,corpus_sourashtradictionary
,,"பு3ள்ளா அம்ப3ட், கெளங்கு3 அம்ப3ட்","buLLaa ambaT, keLanggu ambaT",,,,Potato curry,உருளைக்கிழங்கு கறி,"பு3ள்ளா அம்ப3ட் பை4ரி, சப்பாத்தி ஸெரொ மெல்லொ க2வாயி",Potato curry can be eaten with poori and chapati,"உருளைக்கிழங்கு கறியை பூரி, சப்பாத்தியுடனும் சாப்பிடலாம்",food,corpus_sourashtradictionary
,,சொவ்ளா பொள்டினி,covLaa poLTini,,,,Red cowpea fries,"தட்டாம் பயறு பொரியல், காராமணி பொரியல்",அம்ப3ட் பா4துக் சொவ்ளா பொள்டினி தொ2வனு,Red cowpea fries is served with tamarind rice,புளியோதரையுடன் தட்டாம் பயறு பொரியல் வைப்பார்கள்,food,corpus_sourashtradictionary
,,தா3ல்,daal,,,,Lentil curry,பருப்பு துவையல்,உத்தர் பா4ரதும் சப்பாத்தி ஸெரொ தா3ல் ஒத்திலி கா2ஸுன்,"In North India, chapatis are eaten with lentil curry",வட இந்தியாவில் சப்பாத்தியை பருப்பு கூட்டு தொட்டு சாப்பிடுவார்கள்,food,corpus_sourashtradictionary
,,தா3ல் பனி,daal pani,,,,Lentil stew,பருப்பு நீர்,தா3ல் பனிகின் தூப் ஸொட்3லி பா4த் கா2ஸுனு,People eat rice with lentil stew and ghee,பருப்பு மற்றும் நெய்யுடன் சாதம் சாப்பிடுவார்கள்,food,corpus_sourashtradictionary
,,சென்னா தா3ல்,cennaa daal,,,,Roasted gram split curry,பொட்டுக்கடலை துவையல்,கொள்கர் ஸெரொ சென்னா தா3ல் செரி ஜாஸு,Roasted gram curry with Chilli gravy goes well,காரக்குழம்புடன் பொட்டுக்கடலை துவையல் நன்றாக இருக்கும்,food,corpus_sourashtradictionary
,,லுப்3பி3ன்,lubbin,,,,Gooseberry paste,நெல்லிக்காய் மசியல்,அம்பு3லாக் சொக்கட் லுப்3பி3கின் லுப்3பி3ன் கெரஸுன்,Gooseberry paste made by mashing Gooseberry well,நெல்லிக்காயை நன்றாக மசித்து நெல்லிக்காய் மசியல் செய்கிறார்கள்,food,corpus_sourashtradictionary
,,லிப்3பி3ன்,libbin,,,,Gooseberry paste,நெல்லிக்காய் மசியல்,பிள்சாரு பா4த் ஸெரொ லிப்3பி3ன் ருசிகொ ர்ஹாஸு,Gooseberry paste is delicious with rasam rice,ரசம் சாதத்துடன் நெல்லிக்காய் மசியல் சுவையாக இருக்கும்,food,corpus_sourashtradictionary
,,லொஷ்டொ,loshTo,,,,Mint curry,புதினா துவையல்,"ப2லார், தி4டொ3 ஸெராடி3 லொஷ்டொ தொ2வ்லி கா2ஸுனு",People take mint curry with idli and dosa,"இட்லி, தோசையுடன் புதினா துவையலை வைத்து சாப்பிடுகிறார்கள்",food,corpus_sourashtradictionary
,,கெ3ஸி,gesi,,,,Pickle,ஊறுகாய்,தெ4ய்ஞ் பா4த் ஸெரொ காய் கெ3ஸி பயெத் தொ2வ்லுவாய்,You can have any pickle with curd rice,தயிர் சாதத்துடன் எந்த ஊறுகாயையும் வைத்துக்கொள்ளலாம்,food,corpus_sourashtradictionary
,,பு4டி3த்,bhuDit,,,,Mash,மசியல்,பு4டி3த் மெனத் தெல்லெ வங்கி3 பு4டி3தூஸ்,Mash means it is mashed brinjal only,மசியல் என்றால் அது கத்தரிக்காய் மசியல் தான்,food,corpus_sourashtradictionary
,,வங்கி3 பு4டி3த்,vanggi bhuDit,,,,"Mashed brinjal, Mashed Eggplant",கத்தரிக்காய் மசியல்,ஜெமனும் பொங்க3ல் ஸெரொ வங்கி4 பு4டி3த் தொ2வஸுனு,"In the feast, mashed brinjal is served with Pongal",விருந்தில் பொங்கலுடன் கத்தரிக்காய் மசியல் வைப்பார்கள்,food,corpus_sourashtradictionary
,,க4டி3னி,ghaDini,,,,"Churning Spinach etc.,",கடையல்,ப4ஜ்ஜி க4டி3னி ந்ஹன்ன பில்லல்னுக் சொக்கடு3,Churned spinach is good for small children,கீரை கடையல் சிறு குழந்தைகளுக்கு நல்லது,food,corpus_sourashtradictionary
,,"ஸிஜ்வெத்தெ, ஸிவ்ஜத்தெ","sijvette, sivjatte",,,,Boiling,வேகவைத்தல்,ஹந்த3த்தக் முது3ல்லொ பூ2லுகோ3பி3க் ஸிஜ்வத்தெ ப3ரொ,It is better to boil cauliflower before cooking,சமைப்பதற்கு முன் காலிஃபிளவரை வேகவைப்பது நல்லது,food,corpus_sourashtradictionary
,,பொ2ன்னி தே3த்தெ,phonni dEtte,,,,"Seasoning, Garnishing",தாளித்தல்,பொ2ன்னி தெ3னிம் ஜு2கு3 ஹிதௌவுன் ஸே,Seasoning has many benefits,தாளிப்பதில் நிறைய நன்மைகள் உள்ளன,food,corpus_sourashtradictionary
,,கூ2ர்,khoor,,,,Pungent smell,நெடி,ல்ஹொவொ மிர்க்கைலா கூ2ர் வேன் ஸே,The red chilli is smelling very pungent,சிவப்பு மிளகாயின் நெடி அதிகமாக இருக்கிறது,food,corpus_sourashtradictionary
,,ஒடி3,oDi,,,,"Fried rice ball, Rice vadakam",அரிசி வடகம்,பா4து3 ஒடி3 கெர்ன மெனெத் காம் லம்பொ3 உட்சயி,Making fried rice ball prolongs the work,அரிசி வடகம் செய்யவேண்டும் என்றால் வேலையை நீட்டி இழுக்கும்,food,corpus_sourashtradictionary
,,அப்புடா3ல்,appuDaal,,,,Papad,அப்பளம்,பில்லல்னுக் அப்புடா3ல் ஜு2க்கு ஒப்பாயி,Children like papad very much,குழந்தைகளுக்கு அப்பளம் மிகவும் பிடிக்கும்,food,corpus_sourashtradictionary
,,பொ4ஸுலொ,bhosulo,,,,"Meat, Non-veg","இறைச்சி, மாமிசம், கறி, அசைவம்",பொ4ஸுலாக் வர்ஜத்தெ ப3ரொ,It is better to avoid meat,மாமிசத்தை தவிர்ப்பது நல்லது,food,corpus_sourashtradictionary
,,சைனொ,caino,,,,"Meat, Non-veg","இறைச்சி, மாமிசம், கறி, அசைவம்",புரட்டாஸி ம்ஹடா3ம் கோன் சைனொ கா2ன்?,Who eats meat in Puratasi month?,புரட்டாசி மாதத்தில் யார் கறி சாப்பிடுவார்கள்?,food,corpus_sourashtradictionary
,,குடி3 சைனொ,kuDi caino,,,,Chicken meat,கோழி இறைச்சி,கென்டக்கி பு4ஞ்ஜெ குடி3 சைனொ நாவ் பொடெ3யொ,Kentucky fried chicken is popular,கென்டக்கி வறுத்த கோழி இறைச்சி பிரபலமானது,food,corpus_sourashtradictionary
,,பெ4ண்டு3 சைனொ,bheNDu caino,,,,Mutton,ஆட்டிறைச்சி,தெகொ3 பெ4ண்டு3 சைனொ ஜு2க்கு ஒப்பாயி,He likes to eat mutton which was seasoned with garlic,அவனுக்கு ஆட்டிறைச்சியை மிகவும் பிடிக்கும்,food,corpus_sourashtradictionary
,,கொ3ரு சைனொ,goru caino,,,,Beaf,மாட்டிறைச்சி,கொ3ரு சைனொ க2யி தூ தெ3ள்கொ பொள்டி3ரஸ்,You have gained weight by eating beef,மாட்டுக்கறி சாப்பிட்டு நீ குண்டாகி விட்டாய்,food,corpus_sourashtradictionary
,,து3க்கரு சைனொ,dukkaru caino,,,,Pork,பன்றி இறைச்சி,தெ2வ்டெ3 தெ4ருமு து3க்கரு சைனொ அஸுத்3த4ம் மெனி மென்லஸுனு,"In some religions, pork is considered impure","சில மதங்களில், பன்றி இறைச்சி தூய்மையற்றதாக கருதப்படுகிறது",food,corpus_sourashtradictionary
,,ஹரிணு சைனொ,hariNu caino,,,,Venison,மான் இறைச்சி,பா4ரதும் ஹரிணு சைனொ கா2த்தெ அபராத்4 ஹோஸு,Eating venison is a crime in India,இந்தியாவில் மான் கறி சாப்பிடுவது குற்றம் ஆகும்,food,corpus_sourashtradictionary
,,மெயம்,meyam,,,,Fat,கொழுப்பு,து3க்கரு சைனாம் மெயம் வேன் ஸே,Pork is high in fat,பன்றி இறைச்சியில் அதிக கொழுப்பு உள்ளது,food,corpus_sourashtradictionary
,,மந்தொ3,mando,,,,Fat,கொழுப்பு,குளித் க2யெத் மந்தொ3 உன்னொ பொட3யி,Eating horse gram reduces fat,கொள்ளு சாப்பிட்டால் கொழுப்பு குறையும்,food,corpus_sourashtradictionary
,,அண்டொ3,aNDo,,,,Egg,முட்டை,குடி3 ஒண்டெ தி3ன்னுக் ஒண்டெ அண்டொ3 தக3யி,A hen lays one egg per day,கோழி ஒரு நாளுக்கு ஒரு முட்டை இடும்,food,corpus_sourashtradictionary
,,கொட்3டி3,koDDi,,,,Dried fish,கருவாடு,கொட்3டி3 ஜு2கு3 தி3ன்னு நஜ்ஜனாத்தக் ர்ஹாஸு,Dried fish will last longer,கருவாடு நீண்ட நாட்கள் கெடாமல் இருக்கும்,food,corpus_sourashtradictionary
,,ஸுக்கட்,sukkaT,,,,"Dry mutton, Jerky",உப்புக்கண்டம்,ஸுக்கட் ப்ராமொபொடி3 க2னார் ஜு2கு3 தெனு ஸே,There are many people who like to eat dry mutton,உப்புக்கண்டத்தை விரும்பி சாப்பிடுபவர்கள் நிறைய பேர் உண்டு,food,corpus_sourashtradictionary
,,"சகுலத்தெ, சைலத்தெ","cakulatte, cailatte",,,,Side dish,"வெஞ்சனம், தொட்டுக்கொள்ளல்",சைலத்தக் ந்ஹாத்தக் கா2த்த முஸய்யா?,Can you eat without side dish?,தொட்டுக்கொள்ள இல்லாமல் சாப்பிட முடியுமா?,food,corpus_sourashtradictionary
,,பீட்,peeT,,,,Batter,மாவு,அங்கி3டி3ம் க2ட3ரியொ பீடும் அம்ப3ட் வேன் ர்ஹாஸ்,Store-bought batter is highly leavened,கடையில் வாங்கும் மாவில் அதிக புளிப்பு உள்ளது,food,corpus_sourashtradictionary
,,அப்பம்,appam,,,,Jaggery dosa,கருப்பட்டி ஆப்பம்,தெ2வ்டெ3 தெனு நாஸ்தாக் அப்பம் கா2ஸுன்,Some eat jaggery dosa for breakfast,சிலர் காலை உணவிற்கு ஆப்பம் சாப்பிடுகிறார்கள்,food,corpus_sourashtradictionary
